field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;ab8jzmb5h0lh7mt66h3zgm5ex;1;31;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;GK;B. Scott;;;;;;
2;7suq9shgwa8fyip80f1zy1mhg;2;97;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;DR;V. Casillas;;;;;;
2;4blue6g56i3t9iffjcmjs6hhw;3;50;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;DC;R. Dalgado;;;;;;
3;2eoftsi3eznjjmhu8ybft11ck;4;72;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;MC;N. Schelotto;;;;;;
2;e6ocmgjfubq6qvg4wfp8zipsk;5;67;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;DL;C. Tchouante;;;;ct1a7ex39pnemouuv4klyj85w;45,0;2,0
2;e23yyl43xtcve09dx234uuj8;6;51;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;DC;A. Essengue;;;;;;
3;3c1xz4vpfoum0jbq6bmtdrtux;7;78;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;MR;I. Achara;;;;2io6rajwkftjli8i14hf606ei;84,0;2,0
3;58akq0ojntf5n123msb1tzeok;8;87;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;MC;G. Arnold;;;;;;
4;6d45ccicyo6dregi9cm4ad4kq;9;63;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;FW;I. Paul;;;;;;
4;4o8ulvahxfb06x5xhvflvwhzo;10;84;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;FW;R. Ramos;;;;;;
3;5zawuirp825t4brhaj90k9duy;11;61;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;ML;S. Karani;;;;74bhj4xi5zgq6evsr4c766p04;72,0;2,0
5;74bhj4xi5zgq6evsr4c766p04;0;65;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;Sub;H. Avayevu;5zawuirp825t4brhaj90k9duy;72,0;2,0;;;
5;al111zqt4j4b3yg8064d9cep6;0;48;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;Sub;;;;;;;
5;4283da2hccprbybkv4nvmos2c;0;95;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;Sub;;;;;;;
5;pldpnmzoo867jhdvamuhp9n8;0;91;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;Sub;;;;;;;
5;ct1a7ex39pnemouuv4klyj85w;0;68;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;Sub;M. Middleby;e6ocmgjfubq6qvg4wfp8zipsk;45,0;2,0;;;
5;2io6rajwkftjli8i14hf606ei;0;71;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;Sub;E. Hernandez;3c1xz4vpfoum0jbq6bmtdrtux;84,0;2,0;;;
5;bcs7e70jbxio5xhj9fu2g5ces;0;57;2;8ijkk62897so5r3bq0wgwx4bu;16y9dyf2ajb30oea9x14iot0;away;1;Sub;;;;;;;
1;3my8ymhvy1bysbllwpoj3qctm;1;12;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;GK;N. Hansen;;;;;;
2;1snfyu5dmv164k5cl87chjlsk;2;30;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;DR;I. Mwakutuya;;;;;;
2;ck9v5tgscw65gsjfo00u9p0q1;3;22;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;DC;T. Schmitt;;;;2wj1w4opn7f0jyz1ps6ebvc6i;83,0;2,0
3;77kab5634937x4txa891wg2s4;4;15;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;MC;B. Raines;;;;;;
2;2jzuij8p7eoy42aqem688ltuy;5;6;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;DL;F. Awodesu;;;;;;
2;48p3wcjai97tpt50ia7bi7ok4;6;14;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;DC;J. Medina;;;;;;
3;7yt2ddw0yntv9xq1hrv1jx05w;7;43;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;AMR;M. Dimareli;;;;bp0a3bvzsxokh4nu3bq96yx3o;65,0;2,0
3;bfsjxpmiflhdz2162ulqlo0lw;8;13;8;7pmw399vh2v44cjle4fkklp1w;16y9dyf2ajb30oea9x14iot0;home;1;MC;J. Valverde;;;;;;
