id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Resume;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_Zone;value_Angle;value_PassEndY;value_KickOff;value_Length;value_Offensive;value_OppositeRelatedEventId;value_TouchTypePass;value_Defensive;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_Chipped;value_TakeOnOvertake;value_TouchTypeClearance;value_IntentionalAssist;value_Assist;value_Blocked;value_GoalmouthZ;value_BlockedY;value_RegularPlay;value_BoxLeft;value_Assisted;value_GoalmouthY;value_LowRight;value_BlockedX;value_GkX;value_GkY;value_RelatedEventId;value_RightFooted;value_DefBlock;value_HeadPass;value_DeletedEventType;value_TouchTypeControl;value_IntendedTackleTarget;value_LayOff;value_SoloRun;value_GoalShotGameClock;value_KeeperTouched;value_HighLeft;value_IndividualPlay;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_OutOfBoxCentre;value_LongBall;value_SwitchOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Launch;value_Head;value_Cross;value_LeftFooted;value_InSwinger;value_NextEventGoalKick;value_NotVisible;value_GoalKick;value_Low;value_LowCentre;value_FlickOn;value_DrivenCross;value_Straight;value_MediumGkIntervention;value_KeeperThrow;value_Direct;value_ShirtPull/Holding;value_Foul;value_OutSwinger;value_AttemptedTackle;value_OutOfPlay;value_BlockedPass;value_TakeOnSpace;value_TempMissed;value_BoxCentre;value_Left;value_CornerTaken;value_Right;value_FirstTouch;value_FromCorner;value_NotAssisted;value_BigChance;value_SavedOffLine;value_LastLine;value_SmallBoxLeft;value_Collected;value_LowGkIntervention;value_Feet;value_Stooping;value_ThroughBall;value_FastBreak;value_CloseRight;value_BlockedClearance;value_Shove/Push;value_BoxDeepRight;value_SixYardBlocked;value_ThrowInSetPiece;value_GkStart;value_FollowsADribble;value_HighRight;value_RecklessOffence;value_YellowCard;value_BoxRight;value_HighClaim;value_HighGkIntervention;value_Hands;value_Diving;value_OverhitCross;value_Minutes;value_Overrun;value_High;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_CaptainChange;value_Strong;value_HitWoodwork;value_HitBar;value_Penalty;value_PenaltyTakerId;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_GkKickFromHands;value_NotPastGoalLine;value_SecondYellow;value_NotRetreating;value_OverArm;value_LeadingToAttempt;value_1On1;value_RelatedError1Id;value_ParriedDanger;value_Deflection;value_Standing;value_GkHoof;value_ParriedSafe;value_HighCentre;value_Handball;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718495267;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-08T18:22:19.012Z;2024-09-08T19:06:41Z;[{'id': 5201072317, 'qualifierId': 30, 'value': '4ac61l7qt4s63hv34g8zsihgp, 3hoj338a7cxhckcsc9g5tpa7d, 4ecgnoxeou0m46yw8hwisbrx0, e2olfsduxvaqsx6rdbaasa356, 1795jw1oc3pkthyq0kqexh65m, 58839nfw30jxxroffd3a7q0wk, 1gmj4ge2sog221wqkmap8kidw, c3f7oxhzkegam5g1cn1j8j7jd, tc5nl1hz1w06jobp5ckktr3e, byelagxi3qg0rb06tjl3fodn8, iu61re9bbusv2w7fu7w6505w, dbc343lsh3l20pi4a4gmd94wk, 6e688gqc8qzt0h9cutptkcd90, f4gpras1h3k8qfz71u84iyyok, cz98wcy8nq9hqncb2z33p4hec, 98tyw392rp4ow3apn0ygrbtp0, 39kv8a6a82fos9hw9esb84k16, 2mpx1zzsiryzqjqqnko17jzmc, 4tcyjpnhwsxlay9mqedrpspp0'}, {'id': 5201072329, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201072325, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201121449, 'qualifierId': 194, 'value': '3hoj338a7cxhckcsc9g5tpa7d'}, {'id': 5201072321, 'qualifierId': 59, 'value': '30, 27, 13, 44, 35, 24, 50, 19, 99, 57, 90, 45, 42, 49, 51, 59, 98, 65, 66'}, {'id': 5201072319, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5201072327, 'qualifierId': 197, 'value': '23805'}, {'id': 5201072323, 'qualifierId': 130, 'value': '4'}];;;;;2elx99ldlrlgb7csggsp5w4;Team set up;;;;;;;23805,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Austin II;0;;
2718495387;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-08T18:23:10.365Z;2024-09-08T19:05:18Z;[{'id': 5201072941, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, ec3xdenc4ncg4sc8ni4kkyln8, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, 7u1lf62rqlgzban2dwy6c1rmc, d0riqrsz7ojwb9m94rbvx7r6y, 35ds2xu43z6jccyhlr8jsomzu, ov91zkisppven9tp72gfbjf8, elvrjpt1jlko4henaqvfid7o4, 4o2lk5bkmyxe8ji3lqjo69qtw, 53ufl7f1lbwnr7klx9ofxufbo, 4wgjayv8s85dueh5l88im6lwq, 8ly83pm2mbtz4u7jwsv0o96qy, 7nxqbiq6fics5w3qnwhz249as, dcypf9mqtlcn5wetj1z7g3mui, 641bsr9un81t6sds51fhvijh0, 6xz6vcc6i4eussf9053w3xn2s'}, {'id': 5201113371, 'qualifierId': 197, 'value': '23347'}, {'id': 5201072947, 'qualifierId': 130, 'value': '4'}, {'id': 5201072943, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5201116721, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 5201072951, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201072949, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5201072945, 'qualifierId': 59, 'value': '1, 4, 3, 6, 14, 5, 17, 18, 32, 77, 7, 11, 2, 8, 20, 10, 38'}];;;;;2elx99ldlrlgb7csggsp5w4;Team set up;;;;;;;23347,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2718504031;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-08T19:05:37.939Z;2024-09-08T19:05:38Z;[{'id': 5201119413, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;2elx99ldlrlgb7csggsp5w4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2718504025;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-08T19:05:37.939Z;2024-09-11T07:04:32Z;[{'id': 5201119387, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;2elx99ldlrlgb7csggsp5w4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Austin II;0;;
2718504057;3;1;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;50,0;50,0;2024-09-08T19:05:37.940Z;2024-09-08T19:05:41Z;[{'id': 5201119521, 'qualifierId': 140, 'value': '32.3'}, {'id': 5201119519, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201119527, 'qualifierId': 213, 'value': '3.09'}, {'id': 5201119523, 'qualifierId': 141, 'value': '51.3'}, {'id': 5201119529, 'qualifierId': 279, 'value': 'S'}, {'id': 5201119525, 'qualifierId': 212, 'value': '18.6'}];c3f7oxhzkegam5g1cn1j8j7jd;S. Shashoua;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;32,3;;3,09;51,3;;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;32,3;51,3;;;;;;;;0;0;0;Austin II;0;MC;1,0
2718504073;4;1;1;0;3;1pc6sx2h4rp113ldkbp5d2xas;1;32,3;51,3;2024-09-08T19:05:41.328Z;2024-09-08T19:05:43Z;[{'id': 5201119663, 'qualifierId': 141, 'value': '14.9'}, {'id': 5201119667, 'qualifierId': 213, 'value': '5.31'}, {'id': 5201119661, 'qualifierId': 140, 'value': '48.3'}, {'id': 5201119659, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201119665, 'qualifierId': 212, 'value': '29.9'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;48,3;;5,31;14,9;;29,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;48,3;14,9;;;;;;;;0;0;3;Austin II;3;MC;1,0
2718504089;5;1;1;0;5;1pc6sx2h4rp113ldkbp5d2xas;1;46,9;14,7;2024-09-08T19:05:43.648Z;2024-09-08T19:05:47Z;[{'id': 5201119759, 'qualifierId': 213, 'value': '2.86'}, {'id': 5201119755, 'qualifierId': 141, 'value': '23.5'}, {'id': 5201119757, 'qualifierId': 212, 'value': '21.4'}, {'id': 5201119753, 'qualifierId': 140, 'value': '27.3'}, {'id': 5201119751, 'qualifierId': 56, 'value': 'Back'}];3hoj338a7cxhckcsc9g5tpa7d;D. Taylor;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;27,3;;2,86;23,5;;21,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;27,3;23,5;;;;;;;;0;0;5;Austin II;5;DR;1,0
2718504105;6;1;1;0;9;1pc6sx2h4rp113ldkbp5d2xas;1;26,7;24,4;2024-09-08T19:05:47.232Z;2024-09-08T19:05:49Z;[{'id': 5201119823, 'qualifierId': 140, 'value': '28.2'}, {'id': 5201119827, 'qualifierId': 212, 'value': '27.3'}, {'id': 5201119821, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201119829, 'qualifierId': 213, 'value': '1.51'}, {'id': 5201119825, 'qualifierId': 141, 'value': '64.5'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;28,2;;1,51;64,5;;27,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;28,2;64,5;;;;;;;;0;0;9;Austin II;9;DL;1,0
2718504121;7;1;1;0;11;1pc6sx2h4rp113ldkbp5d2xas;1;31,5;65,9;2024-09-08T19:05:49.344Z;2024-09-08T19:05:52Z;[{'id': 5201119909, 'qualifierId': 212, 'value': '21.0'}, {'id': 5201119905, 'qualifierId': 140, 'value': '43.5'}, {'id': 5201119911, 'qualifierId': 213, 'value': '0.93'}, {'id': 5201119903, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201119907, 'qualifierId': 141, 'value': '90.6'}];58839nfw30jxxroffd3a7q0wk;Hugo Bacharach;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;43,5;;0,93;90,6;;21,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;43,5;90,6;;;;;;;;0;0;11;Austin II;11;DC;1,0
2718504131;8;1;1;0;14;1pc6sx2h4rp113ldkbp5d2xas;1;43,8;81,5;2024-09-08T19:05:52.080Z;2024-09-08T19:05:56Z;[{'id': 5201119967, 'qualifierId': 140, 'value': '30.1'}, {'id': 5201119963, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201119971, 'qualifierId': 141, 'value': '71.6'}, {'id': 5201119975, 'qualifierId': 212, 'value': '15.9'}, {'id': 5201119979, 'qualifierId': 213, 'value': '3.58'}];4ecgnoxeou0m46yw8hwisbrx0;A. Markanich;;;2elx99ldlrlgb7csggsp5w4;Pass;;;;;;;;;;30,1;;3,58;71,6;;15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;30,1;71,6;;;;;;;;0;0;14;Austin II;14;DC;1,0
