field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;5f1j0xharn07q39c0ymwcdu6s;1;41;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;GK;M. Shour;;;;;;
2;7mnh4dln104xhunf6u9f2546i;2;33;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;DR;C. Baker;;;;lrkkhk8u32krmb0n4wtg1las;45,0;2,0
2;7zr3gif60ntltgt3s5yi6qjca;3;31;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;DC;T. Sousa;;;;;;
3;5jal3zhkwodffivsq89wfd15g;4;80;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;MC;C. Aquino;;;;do5nsl65m35sog9vcp0j3kbh0;77,0;2,0
2;dil2b9u1omrsdbxba5swbe9gq;5;35;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;DL;A. Lopez;;;;;;
2;e1e506479mqo8j3geie6amuj8;6;39;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;DC;S. Hawkins;;;;;;
3;ez0t0pl5qxy0sa3zp1l77sjro;7;37;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;MC;S. Brunell;;;;;;
3;2iusvkm9t8r1widsfvbesnjf8;8;85;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;MC;K. Kossa-Rienzi;;;;;;
4;b0xuwec3m6rvxwx7gygv34o6i;9;81;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;FW;G. Miglietti;;;;s9a51dj3nkad2e53b2jbgl5g;60,0;2,0
4;3007iihmvmlzgpgtxri3v3hg4;10;96;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;FWR;B. Bowen;;;;;;
4;9fbj8njpn0q6j87le4rnafjf8;11;36;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;FWL;Y. Tsukanome;;;;chiwsyjdyk4sn4vxqu9mdr0x6;69,0;2,0
5;lrkkhk8u32krmb0n4wtg1las;0;44;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;Sub;E. Veillard;7mnh4dln104xhunf6u9f2546i;45,0;2,0;;;
5;4s56s6f9nw96wergw7ix5zp0q;0;32;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;Sub;;;;;;;
5;chiwsyjdyk4sn4vxqu9mdr0x6;0;27;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;Sub;Braudílio Rodrigues;9fbj8njpn0q6j87le4rnafjf8;69,0;2,0;;;
5;s9a51dj3nkad2e53b2jbgl5g;0;90;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;Sub;S. Gomez;b0xuwec3m6rvxwx7gygv34o6i;60,0;2,0;;;
5;5rcj1mef6u2jbosy1urou0d7t;0;30;4;5icuo8utnztpsd9l03gdd68dl;2ozmjy5udf26psx6oqgybyms;home;1;Sub;;;;;;;
