id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_JerseyNumber;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_PlayerPosition;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_Angle;value_Tap;value_PassEndX;value_Length;value_KickOff;value_PassEndY;value_LongBall;value_Launch;value_BlockedPass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_TouchTypeControl;value_ShirtPull/Holding;value_Foul;value_Direct;value_FreeKickTaken;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_DeletedEventType;value_HeadPass;value_LayOff;value_MediumGkIntervention;value_KeeperThrow;value_OverArm;value_IntendedTackleTarget;value_TouchTypePass;value_AttemptedTackle;value_RightFooted;value_Cross;value_OutSwinger;value_LeftFooted;value_IntentionalAssist;value_Assist;value_BlockedY;value_LowRight;value_Blocked;value_GkY;value_GkX;value_GoalmouthY;value_RegularPlay;value_OutOfBoxCentre;value_GoalmouthZ;value_BlockedX;value_Assisted;value_RelatedEventId;value_DefBlock;value_DrivenCross;value_Straight;value_BoxCentre;value_GkXTimeOfGoal;value_NotAssisted;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_Deflection;value_HighRight;value_Head;value_Left;value_InSwinger;value_CornerTaken;value_BoxDeepRight;value_High;value_FromCorner;value_FirstTouch;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnSpace;value_LowCentre;value_BoxLeft;value_Stooping;value_LowGkIntervention;value_Hands;value_Collected;value_NotVisible;value_BlockedCross;value_Right;value_FlickOn;value_HighGkIntervention;value_HighClaim;value_GkKickFromHands;value_Standing;value_ThrowInSetPiece;value_SixYardBlocked;value_BoxRight;value_Volley;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_ThroughBall;value_BigChance;value_Shove/Push;value_LowLeft;value_IndividualPlay;value_CloseHigh;value_SmallBoxCentre;value_Minutes;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_EndType;value_NotPastGoalLine;value_OverhitCross;value_Diving;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_FairPlay;value_Injury;value_FreeKick;value_HighLeft;value_SwerveRight;value_SmallBoxLeft;value_Feet;value_ParriedDanger;value_Dissent;value_Handball;value_PullBack;value_HighCentre;value_OwnPlayer;value_OwnShotBlocked;value_BlockedClearance;value_InjuredPlayerId;value_ParriedSafe;value_OtherBodyPart;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2736977883;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-10-21T01:09:58.915Z;2024-10-25T15:30:00Z;[{'id': 5302032865, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, 2iusvkm9t8r1widsfvbesnjf8, e2t6sxwsa5ll4zvsxh96512zu, ez0t0pl5qxy0sa3zp1l77sjro, dil2b9u1omrsdbxba5swbe9gq, e1e506479mqo8j3geie6amuj8, e5oov2tctv9yrbh5uldfyrey2, 8khtu1w0lp1f5d5t4zmfxiei, b0xuwec3m6rvxwx7gygv34o6i, 5jal3zhkwodffivsq89wfd15g, s9a51dj3nkad2e53b2jbgl5g, 5rcj1mef6u2jbosy1urou0d7t, 4s56s6f9nw96wergw7ix5zp0q, do5nsl65m35sog9vcp0j3kbh0, 7zr3gif60ntltgt3s5yi6qjca, 9fbj8njpn0q6j87le4rnafjf8, chiwsyjdyk4sn4vxqu9mdr0x6, 3y5rrahty1k0l1hnww3bcozmy, 3007iihmvmlzgpgtxri3v3hg4'}, {'id': 5302032869, 'qualifierId': 59, 'value': '29, 85, 83, 37, 35, 39, 99, 77, 81, 80, 90, 30, 32, 97, 31, 36, 27, 95, 96'}, {'id': 5302061691, 'qualifierId': 194, 'value': 'ez0t0pl5qxy0sa3zp1l77sjro'}, {'id': 5302032873, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5302071339, 'qualifierId': 197, 'value': '23614'}, {'id': 5302032875, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5302032867, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5302032871, 'qualifierId': 130, 'value': '8'}];;;;;4nfcytxp4agwk4lizfxw5d78;Team set up;;;;;23614,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;0;Ventura County;0;;
2736978515;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-10-21T01:12:58.551Z;2024-10-25T15:30:38Z;[{'id': 5302071777, 'qualifierId': 197, 'value': '23342'}, {'id': 5302035871, 'qualifierId': 59, 'value': '91, 75, 50, 21, 64, 51, 61, 87, 63, 84, 65, 60, 72, 95, 97, 71, 53, 73, 49'}, {'id': 5302035873, 'qualifierId': 130, 'value': '2'}, {'id': 5302035867, 'qualifierId': 30, 'value': 'pldpnmzoo867jhdvamuhp9n8, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, 1o0ew8fp44fuo3o7c8ef8pd2i, ckqdb14rd2i1scytlygbsncb8, e23yyl43xtcve09dx234uuj8, 5zawuirp825t4brhaj90k9duy, 58akq0ojntf5n123msb1tzeok, 6d45ccicyo6dregi9cm4ad4kq, 4o8ulvahxfb06x5xhvflvwhzo, 74bhj4xi5zgq6evsr4c766p04, 7daffq7yhd9nfyisa544glzbo, 2eoftsi3eznjjmhu8ybft11ck, 4283da2hccprbybkv4nvmos2c, 7suq9shgwa8fyip80f1zy1mhg, 2io6rajwkftjli8i14hf606ei, b2sl4wp77nrynvodb6k19yfze, 1k1vw0upmpekjnh6mmfhqz8yc, 92k301czub8hcyhqa10qvpt04'}, {'id': 5302035875, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5302074515, 'qualifierId': 194, 'value': '1o0ew8fp44fuo3o7c8ef8pd2i'}, {'id': 5302035877, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5302035869, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;4nfcytxp4agwk4lizfxw5d78;Team set up;;;;;23342,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2736986427;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-10-21T02:05:26.233Z;2024-10-25T13:30:36Z;[{'id': 5302073487, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;4nfcytxp4agwk4lizfxw5d78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;0;0;Ventura County;0;;
2736986433;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-10-21T02:05:26.233Z;2024-10-21T02:05:27Z;[{'id': 5302073513, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;4nfcytxp4agwk4lizfxw5d78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2736986439;3;1;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;49,9;50,1;2024-10-21T02:05:26.234Z;2024-10-21T02:05:29Z;[{'id': 5302073539, 'qualifierId': 56, 'value': 'Center'}, {'id': 5302073547, 'qualifierId': 213, 'value': '0.00'}, {'id': 5302073551, 'qualifierId': 278}, {'id': 5302073541, 'qualifierId': 140, 'value': '50.5'}, {'id': 5302073545, 'qualifierId': 212, 'value': '0.6'}, {'id': 5302073549, 'qualifierId': 279, 'value': 'S'}, {'id': 5302073543, 'qualifierId': 141, 'value': '50.1'}];b0xuwec3m6rvxwx7gygv34o6i;G. Miglietti;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;0,0;1,0;50,5;0,6;;50,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;50,5;50,1;;;;;;;0;0;0;0;Ventura County;0;FW;1,0
2736986441;4;1;1;0;1;5icuo8utnztpsd9l03gdd68dl;0;50,5;50,1;2024-10-21T02:05:27.779Z;2024-10-25T13:31:08Z;[{'id': 5302073567, 'qualifierId': 1}, {'id': 5302073557, 'qualifierId': 56, 'value': 'Center'}, {'id': 5302073563, 'qualifierId': 212, 'value': '29.1'}, {'id': 5302073565, 'qualifierId': 213, 'value': '0.43'}, {'id': 5302073555, 'qualifierId': 157}, {'id': 5302073561, 'qualifierId': 141, 'value': '67.9'}, {'id': 5302073559, 'qualifierId': 140, 'value': '75.7'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;0,43;;75,7;29,1;;67,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;75,7;67,9;;;;;;;0;0;0;1;Ventura County;1;MC;1,0
2736986447;3;1;1;0;2;8ijkk62897so5r3bq0wgwx4bu;0;26,8;41,9;2024-10-21T02:05:29.179Z;2024-10-25T13:44:17Z;[{'id': 5302073591, 'qualifierId': 157}, {'id': 5302073593, 'qualifierId': 56, 'value': 'Center'}, {'id': 5302073605, 'qualifierId': 212, 'value': '28.5'}, {'id': 5302073613, 'qualifierId': 1}, {'id': 5302073609, 'qualifierId': 213, 'value': '6.04'}, {'id': 5302073601, 'qualifierId': 141, 'value': '31.9'}, {'id': 5302073597, 'qualifierId': 140, 'value': '53.2'}];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;6,04;;53,2;28,5;;31,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;53,2;31,9;;;;;;;0;0;0;2;Tacoma Defiance;2;DL;1,0
2736986457;5;1;1;0;7;5icuo8utnztpsd9l03gdd68dl;1;41,3;73,3;2024-10-21T02:05:33.892Z;2024-10-21T02:05:36Z;[{'id': 5302073657, 'qualifierId': 212, 'value': '29.4'}, {'id': 5302073651, 'qualifierId': 56, 'value': 'Left'}, {'id': 5302073655, 'qualifierId': 141, 'value': '96.5'}, {'id': 5302073659, 'qualifierId': 213, 'value': '0.57'}, {'id': 5302073653, 'qualifierId': 140, 'value': '64.9'}];e1e506479mqo8j3geie6amuj8;S. Hawkins;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;0,57;;64,9;29,4;;96,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;64,9;96,5;;;;;;;0;0;0;7;Ventura County;7;DC;1,0
2736986459;6;1;1;0;9;5icuo8utnztpsd9l03gdd68dl;0;64,7;98,3;2024-10-21T02:05:35.362Z;2024-10-25T13:44:40Z;[{'id': 5302073669, 'qualifierId': 212, 'value': '1.4'}, {'id': 5302073663, 'qualifierId': 56, 'value': 'Left'}, {'id': 5302073665, 'qualifierId': 140, 'value': '65.7'}, {'id': 5302073677, 'qualifierId': 236}, {'id': 5302073667, 'qualifierId': 141, 'value': '96.9'}, {'id': 5302073679, 'qualifierId': 233, 'value': '4'}, {'id': 5302073683, 'qualifierId': 286}, {'id': 5302073671, 'qualifierId': 213, 'value': '5.55'}];e2t6sxwsa5ll4zvsxh96512zu;E. Katsaros;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;5,55;;65,7;1,4;;96,9;;;1,0;4,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;65,7;96,9;;;;;;;0;0;0;9;Ventura County;9;DC;1,0
2736986455;4;74;1;0;9;8ijkk62897so5r3bq0wgwx4bu;1;36,7;5,2;2024-10-21T02:05:35.363Z;2024-10-25T13:44:42Z;[{'id': 5302073691, 'qualifierId': 233, 'value': '6'}, {'id': 5302073647, 'qualifierId': 56, 'value': 'Back'}, {'id': 5302073649, 'qualifierId': 285}];5zawuirp825t4brhaj90k9duy;S. Karani;;;4nfcytxp4agwk4lizfxw5d78;Blocked Pass;;;;;;;;;;;;;;;;;;;;6,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;9;Tacoma Defiance;9;MR;1,0
