field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;9i2pmc50q29y560ojvik3sdg4;1;99;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;GK;A. Sutton;;;;;;
2;74x5zysb9qkyyxuha65102z56;2;2;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;DR;D. Chica;;;;;;
2;5zhvp39a530j8j03lsrtk8bv8;3;22;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;DC;C. Gregoire;;;;3acyax22zfwdjw0cpgg4x7dre;73,0;2,0
3;clvcgt5ofonse0q96sppu7hg4;4;29;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;MC;S. Cambindo;;;;1d3o1u737jwck27g5ql2pp3vt;82,0;2,0
2;f0jwa1a61lxs31g47csjv7itw;5;20;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;DL;I. Covi;;;;;;
2;2d9cw6dcm2wsgrr8mj5rt6zje;6;4;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;DC;K. Thomas;;;;;;
3;4t078b0rnzmi8u83wzmdwze38;7;17;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;AMR;C. Díaz;;;;;;
3;f3uzkdl46t1mujsddhr5tg07o;8;12;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;MC;M. Alenga;;;;;;
4;1nbbgew67td8zayaffvr1zcb8;9;13;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;FW;Joshua Rodríguez;;;;8p0k65b4c26ssfk0zh43lme7e;82,0;2,0
3;3jx1f1s8r150i6qo2juzooro4;10;24;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;AMC;F. Canete;;;;;;
3;6oia90bi52zwmgdlvcvfnj1pm;11;10;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;AML;J. Evans;;;;ami9xddgghvnly4mwtdj2tlyi;93,0;2,0
5;8qgdg40qe62yreujy7rueil0p;0;1;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;Sub;;;;;;;
5;3acyax22zfwdjw0cpgg4x7dre;0;14;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;Sub;J. Juarez;5zhvp39a530j8j03lsrtk8bv8;73,0;2,0;;;
5;4n2c7qt6r6qqhzjs64nvytqs;0;25;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;Sub;;;;;;;
5;ami9xddgghvnly4mwtdj2tlyi;0;11;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;Sub;L. Lugo;6oia90bi52zwmgdlvcvfnj1pm;93,0;2,0;;;
5;8p0k65b4c26ssfk0zh43lme7e;0;15;8;2nnef9tr9g7m2s6n873qif95g;50r1ri4sye74kl9g9wzu8r9w;home;1;Sub;D. Polanco;1nbbgew67td8zayaffvr1zcb8;82,0;2,0;;;
