id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Resume;value_Involved;value_JerseyNumber;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_Zone;value_KickOff;value_PassEndX;value_PassEndY;value_Length;value_Angle;value_Chipped;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_IntendedTackleTarget;value_Defensive;value_TakeOnSpace;value_Offensive;value_LeadingToAttempt;value_Assist;value_IntentionalAssist;value_RelatedEventId;value_BlockedX;value_Blocked;value_GkX;value_GkY;value_LeftFooted;value_BoxCentre;value_RegularPlay;value_GoalmouthZ;value_LowCentre;value_FirstTouch;value_GoalmouthY;value_BlockedY;value_Assisted;value_DefBlock;value_Left;value_Cross;value_CornerTaken;value_InSwinger;value_RightFooted;value_TouchTypeClearance;value_NotVisible;value_OutOfPlay;value_HeadPass;value_DrivenCross;value_Straight;value_TouchTypePass;value_DeletedEventType;value_LayOff;value_OutSwinger;value_MediumGkIntervention;value_GkKickFromHands;value_Injury;value_InjuredPlayerId;value_SwitchOfPlay;value_Volley;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_KeeperTouched;value_GoalShotTimestamp;value_LowLeft;value_GoalShotGameClock;value_PlayersCaughtOffside;value_FreeKickTaken;value_Direct;value_AttemptedTackle;value_Foul;value_ShirtPull/Holding;value_BlockedPass;value_Head;value_HighGkIntervention;value_TouchTypeControl;value_BoxLeft;value_Hands;value_Diving;value_Collected;value_LowGkIntervention;value_KeeperThrow;value_Indirect;value_LeadingToGoal;value_NotAssisted;value_RelatedError1Id;value_IndividualPlay;value_FastBreak;value_SoloRun;value_Tap;value_BlockedCross;value_NextEventGoalKick;value_GoalKick;value_Low;value_Shove/Push;value_High;value_SetPiece;value_FlickOn;value_OutOfBoxCentre;value_LowRight;value_Overrun;value_TakeOnOvertake;value_35Centre;value_Standing;value_OverArm;value_BigChance;value_Minutes;value_Right;value_FromCorner;value_NotPastGoalLine;value_MisHit;value_SmallBoxCentre;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_RecklessOffence;value_YellowCard;value_FreeKick;value_PullBack;value_SmallBoxLeft;value_AerialFoul;value_ThroughBall;value_ProfessionalFoulLastMan;value_RedCard;value_HighLeft;value_ParriedSafe;value_Reaching;value_SixYardBlocked;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2746600393;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-11-10T00:42:45.674Z;2024-11-12T13:35:28Z;[{'id': 5354625471, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5354625479, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5354625469, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, rtca480n5ehey5ffvt8nudck, 9acojrco6dg2i9otq02gj6904, 74rnjizxzn5a0oag6sue0ja7e, 1j010cibh247p8kjchww6ny3u, 7al9w77ailhli8g487tkl32tw, 6ggqe5gi2w2jjclmbjev6dd78, 14sld3djevxpcce9co1aqxn9w, bijyc7qlb2849vos6kn7kd0yc, 32c9e26wcnr5kmab8ep4zph5g, 3h8rx5wumr7hktll4hnvx7or8, 608d9yxcn99up33girsspyaga, e7vsajjh4e7t51ciycjg0skd0, 3risld5mac5ns2rrv6namc2l0, f3bqitwkt3mitemcjd61hi044, akgtib8zyv5lrvh9mxunj2rdg, 8vnnownnzz2ksuuitbw3ax5yi, 741wavjzdmc04j4i8a3chq9zo, 19ckwd2oz9uyfjznuq2c41btg, fgue58g7u6f2c53ggb0r2oa2'}, {'id': 5354625473, 'qualifierId': 59, 'value': '30, 27, 12, 18, 5, 6, 10, 32, 23, 50, 99, 13, 4, 7, 8, 35, 51, 14, 41, 36'}, {'id': 5354625475, 'qualifierId': 130, 'value': '8'}, {'id': 5354753707, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5354625477, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5354753709, 'qualifierId': 197, 'value': '23315'}];;;;;5ksp4ss5y5uibvn9hr3jps0es;Team set up;;;;;8,0;;;23315,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2746602241;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-11-10T00:46:32.398Z;2024-11-10T01:35:27Z;[{'id': 5354749449, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 5354634515, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 872ifpo3qufi9vv9vy7ty6uj8, 2qz3ojbfedl8psp1tvq0183ro, 993vihjmsn70q9w237fatzgbu, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, 45v94x6b8g7n4xa3lsfdp6pzo, 20wmdzih6b1t0ekt1v2qd4b2s, ngmdu10fjli45jvddeljv8yc, 9j3va21w5i9ypf8qmt4g1vggk, 7bodno8j3qjiqp9wy8kobwmqc, 7nd2w9ipveb6nfo413i8focus, 5aszabja459117mqykvfpajh0, cbpm8k301adrmft5fd0kaeiuh, 434xf7moiduhzy9ivp7jxr10, 15v2azulwhof0p216i7bjp250, 1ceqwz4ozqi6ft5l4hf5a04r8, cjhjwaelyypl3ca9gpzu61vys, d4spt2529fmys8d26x61lk36c, sqm6jwnogmzp7u7rsv3rtel0'}, {'id': 5354634519, 'qualifierId': 59, 'value': '76, 58, 39, 24, 44, 29, 41, 6, 35, 77, 56, 32, 42, 88, 55, 30, 57, 38, 47, 62'}, {'id': 5354749451, 'qualifierId': 197, 'value': '23521'}, {'id': 5354634517, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5354634521, 'qualifierId': 130, 'value': '3'}, {'id': 5354634523, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5354634525, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;5ksp4ss5y5uibvn9hr3jps0es;Team set up;;;;;3,0;;;23521,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2746625597;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-11-10T01:41:28.856Z;2024-11-12T06:04:38Z;[{'id': 5354763889, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;5ksp4ss5y5uibvn9hr3jps0es;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2746625593;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-11-10T01:41:28.856Z;2024-11-10T01:41:29Z;[{'id': 5354763863, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;5ksp4ss5y5uibvn9hr3jps0es;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2746625629;3;1;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;49,9;49,9;2024-11-10T01:41:28.857Z;2024-11-10T01:41:31Z;[{'id': 5354764027, 'qualifierId': 56, 'value': 'Back'}, {'id': 5354764037, 'qualifierId': 279, 'value': 'S'}, {'id': 5354764029, 'qualifierId': 140, 'value': '32.2'}, {'id': 5354764031, 'qualifierId': 141, 'value': '53.6'}, {'id': 5354764033, 'qualifierId': 212, 'value': '18.8'}, {'id': 5354764035, 'qualifierId': 213, 'value': '3.01'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;32,2;53,6;18,8;3,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;32,2;53,6;;;;;;;0;0;0;0;North Texas;0;FW;1,0
2746625653;4;1;1;0;2;1zgjjyruyufrkh4xjvryqsb1i;1;32,3;53,3;2024-11-10T01:41:31.637Z;2024-11-10T01:41:34Z;[{'id': 5354764151, 'qualifierId': 140, 'value': '33.6'}, {'id': 5354764155, 'qualifierId': 212, 'value': '17.9'}, {'id': 5354764153, 'qualifierId': 141, 'value': '79.6'}, {'id': 5354764149, 'qualifierId': 56, 'value': 'Back'}, {'id': 5354764157, 'qualifierId': 213, 'value': '1.49'}];993vihjmsn70q9w237fatzgbu;N. Pariano;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;33,6;79,6;17,9;1,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;33,6;79,6;;;;;;;0;0;0;2;North Texas;2;DMC;1,0
2746625671;5;1;1;0;5;1zgjjyruyufrkh4xjvryqsb1i;1;33,6;79,6;2024-11-10T01:41:34.197Z;2024-11-10T01:41:52Z;[{'id': 5354764211, 'qualifierId': 212, 'value': '11.0'}, {'id': 5354764207, 'qualifierId': 140, 'value': '34.1'}, {'id': 5354764209, 'qualifierId': 141, 'value': '95.7'}, {'id': 5354764205, 'qualifierId': 56, 'value': 'Back'}, {'id': 5354764213, 'qualifierId': 213, 'value': '1.52'}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;34,1;95,7;11,0;1,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;34,1;95,7;;;;;;;0;0;0;5;North Texas;5;ML;1,0
2746625699;6;1;1;0;7;1zgjjyruyufrkh4xjvryqsb1i;1;34,1;95,7;2024-11-10T01:41:35.876Z;2024-11-10T01:41:38Z;[{'id': 5354764339, 'qualifierId': 141, 'value': '81.4'}, {'id': 5354764335, 'qualifierId': 56, 'value': 'Back'}, {'id': 5354764341, 'qualifierId': 212, 'value': '15.6'}, {'id': 5354764337, 'qualifierId': 140, 'value': '22.5'}, {'id': 5354764343, 'qualifierId': 213, 'value': '3.82'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;22,5;81,4;15,6;3,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;22,5;81,4;;;;;;;0;0;0;7;North Texas;7;DC;1,0
2746625715;7;1;1;0;9;1zgjjyruyufrkh4xjvryqsb1i;0;22,5;81,4;2024-11-10T01:41:38.260Z;2024-11-10T01:41:39Z;[{'id': 5354764411, 'qualifierId': 141, 'value': '86.5'}, {'id': 5354764409, 'qualifierId': 140, 'value': '70.5'}, {'id': 5354764415, 'qualifierId': 213, 'value': '0.07'}, {'id': 5354764413, 'qualifierId': 212, 'value': '50.5'}, {'id': 5354764405, 'qualifierId': 155}, {'id': 5354764407, 'qualifierId': 56, 'value': 'Left'}, {'id': 5354764417, 'qualifierId': 1}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;70,5;86,5;50,5;0,07;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;70,5;86,5;;;;;;;0;0;0;9;North Texas;9;DC;1,0
2746625741;3;1;1;0;11;99l7fsj6ykgbyqcb9zqqu9dgq;0;37,3;12,8;2024-11-10T01:41:40.108Z;2024-11-10T01:41:42Z;[{'id': 5354764565, 'qualifierId': 141, 'value': '11.3'}, {'id': 5354764571, 'qualifierId': 1}, {'id': 5354764563, 'qualifierId': 140, 'value': '53.6'}, {'id': 5354764569, 'qualifierId': 213, 'value': '6.22'}, {'id': 5354764561, 'qualifierId': 56, 'value': 'Right'}, {'id': 5354764559, 'qualifierId': 157}, {'id': 5354764567, 'qualifierId': 212, 'value': '17.1'}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;5ksp4ss5y5uibvn9hr3jps0es;Pass;;;;;;;;;;;;53,6;11,3;17,1;6,22;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;53,6;11,3;;;;;;;0;0;0;11;Philadelphia Union II;11;DL;1,0
