id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_Captain;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_Angle;value_KickOff;value_Zone;value_PassEndY;value_Length;value_Chipped;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_TouchTypeClearance;value_RightFooted;value_GoalmouthZ;value_NotAssisted;value_BlockedX;value_Blocked;value_GkY;value_GoalmouthY;value_LowCentre;value_FirstTouch;value_GkX;value_RegularPlay;value_BoxCentre;value_BlockedY;value_DefBlock;value_Left;value_Right;value_CornerTaken;value_Cross;value_OutSwinger;value_Head;value_FlickOn;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_Launch;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_TakeOnOvertake;value_BlockedPass;value_IntendedTackleTarget;value_Straight;value_DrivenCross;value_PullBack;value_SwitchOfPlay;value_LayOff;value_Assist;value_IntentionalAssist;value_Assisted;value_LeftFooted;value_RelatedEventId;value_Feet;value_ParriedDanger;value_Stooping;value_LowGkIntervention;value_PlayersCaughtOffside;value_Indirect;value_OutOfPlay;value_FastBreak;value_35Centre;value_NotPastGoalLine;value_IndividualPlay;value_Shove/Push;value_OutOfBoxCentre;value_MediumGkIntervention;value_Collected;value_Diving;value_Hands;value_KeeperThrow;value_OverArm;value_PenaltyTakerId;value_Penalty;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_High;value_BigChance;value_Missed;value_Standing;value_HighRight;value_FromCorner;value_ParriedSafe;value_GkXTimeOfGoal;value_GoalShotGameClock;value_SmallBoxCentre;value_LowRight;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_1On1;value_RefereeDelay;value_DrinksBreak;value_CloseLeft;value_BoxRight;value_TakeOnSpace;value_InjuredPlayerId;value_Injury;value_ShirtPull/Holding;value_LowLeft;value_BoxLeft;value_OverhitCross;value_OwnPlayer;value_OwnShotBlocked;value_Minutes;value_Volley;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Unchallenged;value_InSwinger;value_HighLeft;value_SetPiece;value_HitWoodwork;value_HitLeftPost;value_YellowCard;value_TimeWasting;value_NotVisible;value_GkHoof;value_Sliding;value_ThroughBall;value_KeeperTouched;value_RecklessOffence;value_CornerNotTaken;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721109331;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-09-15T18:16:29.683Z;2024-09-15T19:04:20Z;[{'id': 5215266649, 'qualifierId': 30, 'value': '2m7xhno7xnktvmzwa6j7wlgfe, 5qfwg7j8xrfv19ouu4gvrs00k, 7w2rw1jd8ouhu8bbvswvysu8k, 2figny7hhxiw29vizhlyta3o4, 8pvvljn4uasfjxdleh56pm38, d8u6lnk9lmbrgv9obcshpec8a, e8i5fg3tp35k8iys32eiv7jmc, czu9f4sxl5hpe05isdexmiy2, c760g3hvhvi7nra7gpdrynn1m, 6xu5v7x5zge1k83w40mmbxyzu, 7z57s6veqr3k87quyd6i7fgx6, 3wn0nn5q8g2mjzuc8yb4dvu2, b1fzb3n41gtxqnv6pcaug88pg, bje8wvncnbbx5w0l08uno88ru, 5l9js12tsf18c7st0oac3swes, 7q8y6gbmg9j75zgm3nhs3bfh0, cgcpmpetc768pyqb51qthq61g, 9n4pw401dtt30wlnwrxvads7o, dqxh3f9qy6lhrwabvnbb6erro, 73bs64w2up6ogimg7ujhv2dxw'}, {'id': 5215266651, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5215266653, 'qualifierId': 59, 'value': '50, 95, 73, 58, 51, 85, 89, 23, 82, 81, 72, 71, 74, 70, 92, 68, 96, 80, 79, 98'}, {'id': 5215266657, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5215266659, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5215484565, 'qualifierId': 197, 'value': '19221'}, {'id': 5215488425, 'qualifierId': 194, 'value': 'c760g3hvhvi7nra7gpdrynn1m'}, {'id': 5215266655, 'qualifierId': 130, 'value': '13'}];;;;;5s71ofslswqruvqhxjk1ur6c;Team set up;;;;;;19221,0;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;0;New York City II;0;;
2721109425;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-15T18:16:34.912Z;2024-09-15T21:12:23Z;[{'id': 5215267127, 'qualifierId': 130, 'value': '4'}, {'id': 5215267123, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5'}, {'id': 5216017345, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5215267129, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5215267131, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5215267121, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 4k6c9nnzytq9qhc9uol64wg7o, 7uk47vm92xsvwdofmw1ppawyy, 2676930j149yvanqev61emh62, eiyzqnfh8r8aduel0seou7nu2, 1ni0mewxcbo26d1xxetkdy3ca, cwyml9l4tfvb4ceh8tv3au0wk, duj699i9620tuf3ii9z06bqsq, 1d20nyyvmp0doobj6heejkowk, 1p4rbf4wumfagv2ntlewdxey, 4h2k5kwclhlgjk2koqin5r2fo, 3o4uxnvpnf3cwjs3srwegxp90, eq98gflais2v26wgbkw9wrxg4, 7kgd3h3ch4ww875mhr98afims, a0do5kh5akr89kst2p1hohixg, 2s085s5fgmzsmf7oup7aekm0a'}, {'id': 5215484085, 'qualifierId': 197, 'value': '19205'}, {'id': 5215267125, 'qualifierId': 59, 'value': '44, 37, 68, 70, 31, 63, 29, 42, 99, 74, 64, 75, 47, 36, 83, 57'}];;;;;5s71ofslswqruvqhxjk1ur6c;Team set up;;;;;;19205,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Toronto II;0;;
2721147351;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-09-15T19:03:32.144Z;2024-09-19T06:38:37Z;[{'id': 5215484647, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;5s71ofslswqruvqhxjk1ur6c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;0;New York City II;0;;
2721147317;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-15T19:03:32.144Z;2024-09-15T19:03:32Z;[{'id': 5215484467, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;5s71ofslswqruvqhxjk1ur6c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Toronto II;0;;
2721147405;3;1;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;50,2;50,1;2024-09-15T19:03:32.145Z;2024-09-15T19:03:37Z;[{'id': 5215484925, 'qualifierId': 140, 'value': '33.6'}, {'id': 5215484931, 'qualifierId': 213, 'value': '3.04'}, {'id': 5215484933, 'qualifierId': 279, 'value': 'S'}, {'id': 5215484923, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215484927, 'qualifierId': 141, 'value': '52.8'}, {'id': 5215484929, 'qualifierId': 212, 'value': '17.5'}];c760g3hvhvi7nra7gpdrynn1m;J. Altobelli;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;33,6;3,04;;;52,8;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;33,6;52,8;;;;;;;;0;0;0;New York City II;0;FW;1,0
2721147459;4;1;1;0;5;29nx7yxy1rdqv2oobqn5pjf8p;1;33,9;62,6;2024-09-15T19:03:38.015Z;2024-09-15T19:58:54Z;[{'id': 5215485183, 'qualifierId': 155}, {'id': 5215485187, 'qualifierId': 140, 'value': '63.7'}, {'id': 5215485195, 'qualifierId': 1}, {'id': 5215485189, 'qualifierId': 141, 'value': '11.7'}, {'id': 5215485193, 'qualifierId': 213, 'value': '5.45'}, {'id': 5215485185, 'qualifierId': 56, 'value': 'Right'}, {'id': 5215485191, 'qualifierId': 212, 'value': '46.7'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;63,7;5,45;;;11,7;46,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;63,7;11,7;;;;;;;;0;0;5;New York City II;5;DC;1,0
2721147463;5;44;1;0;7;29nx7yxy1rdqv2oobqn5pjf8p;1;71,2;12,4;2024-09-15T19:03:39.906Z;2024-09-15T20:07:22Z;[{'id': 5215485213, 'qualifierId': 56, 'value': 'Right'}, {'id': 5215485215, 'qualifierId': 286}, {'id': 5215485265, 'qualifierId': 233, 'value': '3'}];5qfwg7j8xrfv19ouu4gvrs00k;N. Edwards;;;5s71ofslswqruvqhxjk1ur6c;Aerial;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;;;;;;;;;;0;0;7;New York City II;7;DMR;1,0
2721147443;3;44;1;0;7;6ddsx316t3j0z6nolrky9k4r8;0;28,8;87,6;2024-09-15T19:03:39.907Z;2024-09-15T20:07:22Z;[{'id': 5215485123, 'qualifierId': 285}, {'id': 5215485293, 'qualifierId': 233, 'value': '5'}, {'id': 5215485121, 'qualifierId': 56, 'value': 'Back'}];4h2k5kwclhlgjk2koqin5r2fo;J. Lacher;;;5s71ofslswqruvqhxjk1ur6c;Aerial;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;7;Toronto II;7;FWL;1,0
2721147497;6;1;1;0;8;29nx7yxy1rdqv2oobqn5pjf8p;0;65,9;16,6;2024-09-15T19:03:40.197Z;2024-09-19T13:22:48Z;[{'id': 5215485385, 'qualifierId': 141, 'value': '29.9'}, {'id': 5215485389, 'qualifierId': 213, 'value': '0.82'}, {'id': 5215485379, 'qualifierId': 3}, {'id': 5215485387, 'qualifierId': 212, 'value': '12.3'}, {'id': 5215485383, 'qualifierId': 140, 'value': '73.9'}, {'id': 5215485381, 'qualifierId': 56, 'value': 'Center'}];5qfwg7j8xrfv19ouu4gvrs00k;N. Edwards;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;73,9;0,82;;;29,9;12,3;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;home;73,9;29,9;;;;;;;;0;0;8;New York City II;8;DMR;1,0
2721147475;4;1;1;0;9;6ddsx316t3j0z6nolrky9k4r8;1;23,1;91,8;2024-09-15T19:03:41.898Z;2024-09-15T21:12:15Z;[{'id': 5215485281, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215485287, 'qualifierId': 212, 'value': '22.0'}, {'id': 5215485283, 'qualifierId': 140, 'value': '42.6'}, {'id': 5215485289, 'qualifierId': 213, 'value': '5.91'}, {'id': 5215485285, 'qualifierId': 141, 'value': '79.9'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;5s71ofslswqruvqhxjk1ur6c;Pass;;;;;;;;;;42,6;5,91;;;79,9;22,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;42,6;79,9;;;;;;;;0;0;9;Toronto II;9;DC;1,0
