field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;2v9pdg70kewaarbz4jzsh00a2;1;26;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;GK;C. Odunze;;;;;;
2;ds4avrkvrp4jxq9lp02ssci22;2;35;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;DR;N. Scardina;;;;;;
2;3xd2kq7cxmvdbqsfzgi644c4q;3;44;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;DC;J. Bravo;;;;;;
3;3ve0xap9f0gjsslhgjsmakx04;4;48;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;MC;A. John;;;;;;
2;exk9svcdgcbn05ms00fhorvv8;5;39;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;DL;J. Neeley;;;;;;
2;avxfzgoe2y0opif75qu3aeb6c;6;43;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;DC;W. Sangoquiza;;;;;;
3;603sxl8xsij9kep03px6s85m2;7;36;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;AMR;B. Cambridge;;;;;;
3;doqbp8fg8hke6hhifdr4jzklw;8;56;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;MC;E. Peña;;;;drt65b9m2f494wnoyep49bn1m;81,0;2,0
4;4dri4lv9b4w3mz8aj3329qjh0;9;17;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;FW;I. Toklomati;;;;7ofdnarha4k4b8nggld7gxnqi;94,0;2,0
3;9qhpi9y9iujvkbocafhgrj04q;10;60;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;AMC;C. Duke;;;;f12wt1v2qf2siv8p6q6x2bxuc;45,0;2,0
3;9ohy24mxhsqao5kymh0lbxxck;11;27;8;6ubc4y1v6hr63mca7ica4hp90;5zbl8kzmkn3lbs2amkku9rlec;away;1;AML;N. Berchimas;;;;4ywn289r9mrs444sgkgduyivo;63,0;2,0
