field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;6j4ibkpbos6w5ikle58u2vo;1;27;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;GK;M. Weinstein;;;;;;
2;dbyiafdyf93b8rtpceqitgopg;2;30;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;DR;D. McIntosh;;;;;;
2;bzv3yqbc7ttf7fftbm2nelxck;3;32;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;DC;M. Fry;;;;dc8u2bssrhxycx8vtn0kutp4a;57,0;2,0
3;c8wq3ofarkeeisqr49fhrvwno;4;35;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;MC;C. Oliveira;;;;d043ppr554ym2j2xf3fcmbqsq;57,0;2,0
2;ahgclh3e05evznhrpa32z6g6i;5;5;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;DL;V. Souza;;;;9a5pacvk3wisje1491zslwkr8;57,0;2,0
2;357vd87hv0jvljqtt2qf4vmz8;6;43;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;DC;S. Suárez;;;;;;
3;5adul4r3hifu5x4tv8efr05ey;7;13;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;MC;Maciel;;;;5e00w1rqym73habcl01wm7jtg;77,0;2,0
3;et772m1f5cqceeffckpnty1p0;8;31;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;MC;E. Klein;;;;;;
4;69ypla76c710iv0yegix1maz8;9;39;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;FW;Marcos Dias;;;;;;
4;anysxg2z6niqapc5m3f4tzims;10;16;4;csntc7hucmo21gknxc5y0kc4q;65leoog76wm7q0pq2mg0osgk;away;1;FWR;J. Bolma;;;;;;
