field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;1o5qnb5ktq4u6t11lj3fqntg;1;31;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;GK;A. Beaudry;;;;;;
3;8qqehla9xvhut6uua4a0zcju2;2;22;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;DMR;S. Anderson;;;;1ss7pdaxmlk0sijax5brwpkyy;61,0;2,0
3;4wu5ystem7t4d7veep83j2qne;3;53;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;DML;S. Flores;;;;;;
2;8p3y7tm4lzwp39tojonnohaay;4;56;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;DC;N. Jones;;;;;;
2;dw8iyfupgsqkt8ogxssmtss4q;5;34;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;DC;M. Edwards;;;;a9w6952jyw6x83gxp94zs8ro4;45,0;2,0
2;at9jab3qv8j4azup6qd5ggui2;6;35;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;DC;D. Chacón;;;;btqe4tigm004n7dj039au2sfe;30,0;1,0
3;6kfmf44wdx1btf9mwqdmo36z8;7;24;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;MC;W. Frederick;;;;f1oc42nax0yel4gblge49py7e;61,0;2,0
3;38z2cuwmbeanujqho9cqwozmy;8;40;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;MC;R. Aguirre;;;;;;
4;45nz5h9qtf9bnucuxuh3b4qhg;9;90;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;FW;C. Swan;;;;;;
4;7pegcq6kh8s6naujxky714ys4;10;80;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;FWR;N. Strellnauer;;;;;;
4;ajrr99t1qsj4sy5zcx0t5ksgk;11;27;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;FWL;K. Stewart-Baynes;;;;aa5n9va0fkquh5xqfdgbijvv8;45,0;2,0
5;aa5n9va0fkquh5xqfdgbijvv8;0;78;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;Sub;M. Simpson;ajrr99t1qsj4sy5zcx0t5ksgk;45,0;2,0;;;
5;etyqw24tl6zko0qarctyv6ane;0;42;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;Sub;;;;;;;
5;a9w6952jyw6x83gxp94zs8ro4;0;44;13;iiolvosiuokkrl5iuoxcjo4p;7nv5kgb5v9dol1bu3vhk6hhw;home;1;Sub;J. Belluz;dw8iyfupgsqkt8ogxssmtss4q;45,0;2,0;;;
