id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_Captain;value_TeamKit;value_Resume;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_DeletedEventType;value_PassEndX;value_Zone;value_PassEndY;value_Angle;value_KickOff;value_Length;value_Launch;value_LongBall;value_BlockedPass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_IntendedTackleTarget;value_SwitchOfPlay;value_Cross;value_Head;value_FlickOn;value_PullBack;value_HighClaim;value_KeeperThrow;value_NotVisible;value_Assist;value_OutOfBoxCentre;value_LowRight;value_GoalmouthZ;value_LeftFooted;value_GoalmouthY;value_RegularPlay;value_BlockedX;value_BlockedY;value_Assisted;value_RelatedEventId;value_IndividualPlay;value_Hands;value_Stooping;value_Collected;value_PlayersCaughtOffside;value_Handball;value_Indirect;value_NextEventGoalKick;value_Low;value_GoalKick;value_GkX;value_RightFooted;value_Blocked;value_LowLeft;value_GkY;value_DefBlock;value_Injury;value_InjuredPlayerId;value_Penalty;value_PenaltyTakerId;value_Diving;value_Right;value_Scored;value_FantasyAssistTeam;value_GoalShotTimestamp;value_FantasyAssistId;value_NotAssisted;value_BigChance;value_FantasyAssistedBy;value_FantasyAssistType;value_BoxCentre;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotGameClock;value_RefereeDelay;value_DrinksBreak;value_OverArm;value_ShirtPull/Holding;value_Standing;value_BallHitsReferee;value_Minutes;value_YellowCard;value_RecklessOffence;value_IncorrectOutOfPlayDecision;value_Left;value_IntentionalAssist;value_CornerTaken;value_InSwinger;value_High;value_SmallBoxCentre;value_FromCorner;value_FirstTouch;value_Shove/Push;value_EndType;value_BlockedClearance;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_LowCentre;value_LayOff;value_OutSwinger;value_BlockedCross;value_TacticalFoul;value_PersistentInfringement;value_Unchallenged;value_BoxLeft;value_FastBreak;value_SwerveLeft;value_HighRight;value_SwerveRight;value_FreeKick;value_LeadingToGoal;value_KeeperTouched;value_RelatedError1Id;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724764953;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-22T21:07:26.513Z;2024-09-22T23:02:01Z;[{'id': 5235268899, 'qualifierId': 59, 'value': '51, 53, 72, 45, 35, 56, 24, 40, 90, 80, 57, 47, 48, 55, 44, 42, 71, 78'}, {'id': 5235268901, 'qualifierId': 130, 'value': '4'}, {'id': 5235268903, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235674925, 'qualifierId': 194, 'value': '7vhhtm49u9nzdpc9d60empxxw'}, {'id': 5235482973, 'qualifierId': 197, 'value': '23380'}, {'id': 5235268905, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235268895, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, f1oc42nax0yel4gblge49py7e, at9jab3qv8j4azup6qd5ggui2, 8p3y7tm4lzwp39tojonnohaay, 6kfmf44wdx1btf9mwqdmo36z8, 38z2cuwmbeanujqho9cqwozmy, 45nz5h9qtf9bnucuxuh3b4qhg, 7pegcq6kh8s6naujxky714ys4, 1p1ektnr3l7lj518cbs2dnmdw, 28kg6zbpgbb8zrnhidogpxi0a, 1ss7pdaxmlk0sijax5brwpkyy, 86piuxs9tep01rcbsp3t8vx90, a9w6952jyw6x83gxp94zs8ro4, etyqw24tl6zko0qarctyv6ane, 9j4bb1s2mxtk3d4vmtvv081lg, aa5n9va0fkquh5xqfdgbijvv8'}, {'id': 5235268897, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}];;;;;appu6wz6erst0nzrm9znazo4;Team set up;;4,0;;;23380,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2724764991;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-09-22T21:07:30.886Z;2024-09-22T22:21:54Z;[{'id': 5235269107, 'qualifierId': 130, 'value': '13'}, {'id': 5235506755, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5235269103, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5235269105, 'qualifierId': 59, 'value': '1, 18, 22, 14, 6, 50, 19, 48, 9, 43, 21, 11, 4, 33, 3, 7, 12, 31, 13, 20'}, {'id': 5235483121, 'qualifierId': 197, 'value': '23619'}, {'id': 5235269101, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, 4uuq2zuhmlbg7kh85v5l8723u, ck9v5tgscw65gsjfo00u9p0q1, 48p3wcjai97tpt50ia7bi7ok4, 2jzuij8p7eoy42aqem688ltuy, 2p2lvzr6lk92tevfvb5u6uiac, aa4ut2fmswha43fxnrxp1obo4, 1es4nynrpc8sz3enj46i9zeok, 9ph8wasuz3ndre586gople49g, 7yt2ddw0yntv9xq1hrv1jx05w, 7qt4r82kyz05r8kd8cmdh1xqs, azzpjrq2pndxuz0waw25p7r6y, e4vvdd1cn5ezrocpequewmwic, 3ehrq9mryoug8osgxkpg4eo7o, 2wj1w4opn7f0jyz1ps6ebvc6i, 9qyg5hre038m06bzzupzgmsk4, 3my8ymhvy1bysbllwpoj3qctm, bp0a3bvzsxokh4nu3bq96yx3o, bfsjxpmiflhdz2162ulqlo0lw, 2fd1h6vo86yjqqlzostdipq1g'}, {'id': 5235269111, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235269109, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;appu6wz6erst0nzrm9znazo4;Team set up;;13,0;;;23619,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2724805633;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-22T22:03:36.782Z;2024-09-22T22:03:38Z;[{'id': 5235484299, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;appu6wz6erst0nzrm9znazo4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2724805623;3;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-09-22T22:03:36.782Z;2024-09-22T22:03:36Z;[{'id': 5235484245, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;appu6wz6erst0nzrm9znazo4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2724839667;445;43;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-09-22T22:03:36.782Z;2024-09-22T22:58:56Z;[{'id': 5235665671, 'qualifierId': 144, 'value': '27'}];;;;;appu6wz6erst0nzrm9znazo4;Deleted event;;;;;;;;;;27,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2724805639;4;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;49,7;49,7;2024-09-22T22:03:36.783Z;2024-09-22T22:03:39Z;[{'id': 5235484329, 'qualifierId': 140, 'value': '38.4'}, {'id': 5235484327, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235484331, 'qualifierId': 141, 'value': '47.2'}, {'id': 5235484335, 'qualifierId': 213, 'value': '3.28'}, {'id': 5235484337, 'qualifierId': 279, 'value': 'S'}, {'id': 5235484333, 'qualifierId': 212, 'value': '12.0'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;38,4;;47,2;3,28;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;38,4;47,2;;;;;;;;0;0;0;Colorado Rapids II;0;FWL;1,0
2724805669;5;1;1;0;2;7pmw399vh2v44cjle4fkklp1w;1;38,4;47,5;2024-09-22T22:03:39.098Z;2024-09-22T22:03:42Z;[{'id': 5235484473, 'qualifierId': 212, 'value': '16.2'}, {'id': 5235484475, 'qualifierId': 213, 'value': '2.19'}, {'id': 5235484471, 'qualifierId': 141, 'value': '66.9'}, {'id': 5235484467, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235484469, 'qualifierId': 140, 'value': '29.4'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;29,4;;66,9;2,19;;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;29,4;66,9;;;;;;;;0;0;2;Colorado Rapids II;2;DMR;1,0
2724805697;6;1;1;0;5;7pmw399vh2v44cjle4fkklp1w;1;27,8;66,6;2024-09-22T22:03:42.586Z;2024-09-22T22:03:46Z;[{'id': 5235484569, 'qualifierId': 212, 'value': '13.7'}, {'id': 5235484571, 'qualifierId': 213, 'value': '4.62'}, {'id': 5235484567, 'qualifierId': 141, 'value': '46.6'}, {'id': 5235484563, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235484565, 'qualifierId': 140, 'value': '26.6'}];48p3wcjai97tpt50ia7bi7ok4;J. Medina;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;26,6;;46,6;4,62;;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;26,6;46,6;;;;;;;;0;0;5;Colorado Rapids II;5;DC;1,0
2724805773;7;1;1;0;9;7pmw399vh2v44cjle4fkklp1w;1;27,1;47,8;2024-09-22T22:03:46.522Z;2024-09-22T22:03:56Z;[{'id': 5235484917, 'qualifierId': 213, 'value': '6.12'}, {'id': 5235484913, 'qualifierId': 141, 'value': '33.3'}, {'id': 5235484915, 'qualifierId': 212, 'value': '61.4'}, {'id': 5235484911, 'qualifierId': 140, 'value': '84.8'}, {'id': 5235484909, 'qualifierId': 56, 'value': 'Center'}, {'id': 5235484907, 'qualifierId': 157}, {'id': 5235484919, 'qualifierId': 1}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;84,8;;33,3;6,12;;61,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;84,8;33,3;;;;;;;;0;0;9;Colorado Rapids II;9;DC;1,0
2724805783;8;1;1;0;19;7pmw399vh2v44cjle4fkklp1w;0;97,8;16,1;2024-09-22T22:03:56.026Z;2024-09-22T22:03:57Z;[{'id': 5235484969, 'qualifierId': 140, 'value': '96.7'}, {'id': 5235484975, 'qualifierId': 213, 'value': '3.43'}, {'id': 5235484985, 'qualifierId': 236}, {'id': 5235484973, 'qualifierId': 212, 'value': '1.2'}, {'id': 5235484987, 'qualifierId': 233, 'value': '3'}, {'id': 5235484967, 'qualifierId': 56, 'value': 'Right'}, {'id': 5235484971, 'qualifierId': 141, 'value': '15.6'}, {'id': 5235484991, 'qualifierId': 286}];9ph8wasuz3ndre586gople49g;S. Annor Gyamfi;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;96,7;;15,6;3,43;;1,2;;;1,0;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;96,7;15,6;;;;;;;;0;0;19;Colorado Rapids II;19;FW;1,0
