id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_JerseyNumber;value_PlayerPosition;value_Involved;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_Zone;value_Angle;value_KickOff;value_PassEndY;value_Length;value_DeletedEventType;value_VideoCoverageLost;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_IntendedTackleTarget;value_TouchTypePass;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_FlickOn;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_TakeOnOvertake;value_ShirtPull/Holding;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_NextEventGoalKick;value_Low;value_GoalKick;value_Shove/Push;value_TouchTypeClearance;value_Left;value_Right;value_Cross;value_LeftFooted;value_InSwinger;value_CornerTaken;value_Head;value_TakeOnSpace;value_OutOfPlay;value_LayOff;value_BoxLeft;value_GkX;value_IndividualPlay;value_GoalmouthZ;value_RegularPlay;value_NotAssisted;value_GkY;value_GoalmouthY;value_RightFooted;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_Assisted;value_BoxCentre;value_FirstTouch;value_Defensive1V1;value_IncorrectOutOfPlayDecision;value_High;value_OutOfBoxCentre;value_NotVisible;value_BlockedPass;value_Volley;value_HighLeft;value_LowGkIntervention;value_GkHoof;value_Deflection;value_LowCentre;value_BlockedX;value_BlockedY;value_HighGkIntervention;value_Caught;value_Standing;value_Hands;value_LastLine;value_KeeperThrow;value_OverhitCross;value_PullBack;value_LowLeft;value_Blocked;value_DefBlock;value_DrivenCross;value_Straight;value_FromCorner;value_35Centre;value_BoxRight;value_CloseLeft;value_SmallBoxLeft;value_Minutes;value_OutSwinger;value_BlockedCross;value_HighClaim;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Handball;value_FantasyAssistId;value_FantasyAssistTeam;value_GoalShotGameClock;value_GkYTimeOfGoal;value_FantasyAssistedBy;value_GkXTimeOfGoal;value_BigChance;value_FantasyAssistType;value_GoalShotTimestamp;value_Overrun;value_Diving;value_ParriedDanger;value_SixYardBlocked;value_SavedOffLine;value_FastBreak;value_PlayersCaughtOffside;value_Indirect;value_InjuredPlayerId;value_Injury;value_Collected;value_Stooping;value_MediumGkIntervention;value_RefereeDelay;value_DrinksBreak;value_RecklessOffence;value_FreeKick;value_OverArm;value_GkKickFromHands;value_AerialFoul;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700192105;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-07-10T18:14:06.513Z;2024-07-10T19:24:36Z;[{'id': 5100152143, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 5100108203, 'qualifierId': 59, 'value': '70, 64, 41, 35, 43, 42, 49, 48, 50, 45, 55, 44, 46, 53, 57, 63, 67, 68, 80'}, {'id': 5100108201, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5100108199, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, b3xoqrbmua9uzr0tw8kmnw9as, 84oe7sbhy91b5xvbo2w28i7f8, 64wbk2nsrs0ru0hjcq0lenwgk, 5d341k1dxhlbetyh965z3q784, 72xktsosbsh2uwkwby59mr6z8, 5ehbz7f56cmfamc29fnk3yuax, b1p6qcv8wjzoxoax3nt13n5gq, 2atsox1bassuexlgta8h3us4p, afdz1ibldn2vc8gtezyw8tqay, 79knhnp7bvpjomzz14k715wtm, 6n0x8t513vmsmgfasovvoj7u2, 2buy6q56o0ixo30fatz7ps9w4, 4agnpztnedb7ql14bo477vspg, ctwn52am38jz5ly1h8ac069lg, 36pc532bmkvnrq9mw4omzh3bo, 1x9uiwhoqu3qumt0urv5trlec, 9ii1zrimesdnqccy8dki8knx0, 4uybjezp5gdqpvkwp8qsdxrf8'}, {'id': 5100108209, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100108207, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100108205, 'qualifierId': 130, 'value': '7'}, {'id': 5100140653, 'qualifierId': 197, 'value': '14913'}];;;;;bpv73bw0x4hs5axb7ye4mcn4k;Team set up;;;;;;;7,0;14913,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2700193097;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-07-10T18:21:20.288Z;2024-07-16T12:43:22Z;[{'id': 5100113819, 'qualifierId': 130, 'value': '15'}, {'id': 5100113815, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5100113817, 'qualifierId': 59, 'value': '50, 92, 71, 89, 85, 51, 72, 68, 81, 79, 73, 40, 58, 70, 75, 82, 93, 96, 97, 98'}, {'id': 5100138989, 'qualifierId': 197, 'value': '3386'}, {'id': 5100113813, 'qualifierId': 30, 'value': '2m7xhno7xnktvmzwa6j7wlgfe, 5l9js12tsf18c7st0oac3swes, 3wn0nn5q8g2mjzuc8yb4dvu2, e8i5fg3tp35k8iys32eiv7jmc, d8u6lnk9lmbrgv9obcshpec8a, 8pvvljn4uasfjxdleh56pm38, 7z57s6veqr3k87quyd6i7fgx6, 7q8y6gbmg9j75zgm3nhs3bfh0, 6xu5v7x5zge1k83w40mmbxyzu, dqxh3f9qy6lhrwabvnbb6erro, 7w2rw1jd8ouhu8bbvswvysu8k, dt797hve9mdpnuyy1z4pnpp1w, 2figny7hhxiw29vizhlyta3o4, bje8wvncnbbx5w0l08uno88ru, dfnus4g6zypd1xcec6x7p85ey, c760g3hvhvi7nra7gpdrynn1m, 6y6g4ym1kjt0au0jpys5zhafo, cgcpmpetc768pyqb51qthq61g, u5v1owoegnvaqvk214qlvh90, 5bqykg2h7so4c20htynfp242c'}, {'id': 5100113823, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5106341025, 'qualifierId': 194, 'value': '7z57s6veqr3k87quyd6i7fgx6'}, {'id': 5100113821, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;bpv73bw0x4hs5axb7ye4mcn4k;Team set up;;;;;;;15,0;3386,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2700197275;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-07-10T19:05:33.204Z;2024-07-10T19:06:50Z;[{'id': 5100138373, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bpv73bw0x4hs5axb7ye4mcn4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2700197277;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-07-10T19:05:33.204Z;2024-07-16T09:56:20Z;[{'id': 5100138375, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bpv73bw0x4hs5axb7ye4mcn4k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2701338175;891;1;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;50,0;50,0;2024-07-10T19:05:33.305Z;2024-07-16T12:22:09Z;[{'id': 5106339723, 'qualifierId': 140, 'value': '27.9'}, {'id': 5106339721, 'qualifierId': 56, 'value': 'Back'}, {'id': 5106339729, 'qualifierId': 213, 'value': '3.18'}, {'id': 5106340331, 'qualifierId': 279, 'value': 'S'}, {'id': 5106339725, 'qualifierId': 141, 'value': '48.7'}, {'id': 5106339727, 'qualifierId': 212, 'value': '23.2'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;27,9;;3,18;;48,7;23,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;27,9;48,7;;;;;;;0;0;0;0;Chicago Fire II;0;MC;1,0
2700197281;3;43;1;0;1;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-07-10T19:05:34.547Z;2024-07-16T12:21:26Z;[{'id': 5106340313, 'qualifierId': 144, 'value': '79'}, {'id': 5100138389, 'qualifierId': 344, 'value': '0'}];;;;;bpv73bw0x4hs5axb7ye4mcn4k;Deleted event;;;;;;;;;;;;;;;;79,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;1;Chicago Fire II;1;;
2701338177;892;1;1;0;2;29nx7yxy1rdqv2oobqn5pjf8p;0;27,9;48,7;2024-07-10T19:05:35.905Z;2024-07-16T12:09:31Z;[{'id': 5106339753, 'qualifierId': 56, 'value': 'Left'}, {'id': 5106339763, 'qualifierId': 1}, {'id': 5106339751, 'qualifierId': 157}, {'id': 5106339761, 'qualifierId': 213, 'value': '0.52'}, {'id': 5106339759, 'qualifierId': 212, 'value': '54.6'}, {'id': 5106339757, 'qualifierId': 141, 'value': '88.5'}, {'id': 5106339755, 'qualifierId': 140, 'value': '73.1'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;73,1;;0,52;;88,5;54,6;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;73,1;88,5;;;;;;;0;0;0;2;Chicago Fire II;2;MC;1,0
2701338181;749;44;1;0;5;8o8m08he36u0j4w08aj2iodn8;1;26,9;11,5;2024-07-10T19:05:39.054Z;2024-07-16T12:09:31Z;[{'id': 5106339771, 'qualifierId': 56, 'value': 'Back'}, {'id': 5106339777, 'qualifierId': 233, 'value': '893'}, {'id': 5106339775, 'qualifierId': 285}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;bpv73bw0x4hs5axb7ye4mcn4k;Aerial;;;;;;;;;;;;;;;;;;;;893,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;0;5;Toronto II;5;DR;1,0
2701338179;893;44;1;0;5;29nx7yxy1rdqv2oobqn5pjf8p;0;73,1;88,5;2024-07-10T19:05:39.055Z;2024-07-16T12:13:49Z;[{'id': 5106340107, 'qualifierId': 233, 'value': '749'}, {'id': 5106339769, 'qualifierId': 286}, {'id': 5106339765, 'qualifierId': 56, 'value': 'Left'}];7w2rw1jd8ouhu8bbvswvysu8k;J. Batiz;;;bpv73bw0x4hs5axb7ye4mcn4k;Aerial;;;;;;;;;;;;;;;;;;;;749,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;5;Chicago Fire II;5;AMC;1,0
2701338185;750;1;1;0;6;8o8m08he36u0j4w08aj2iodn8;0;26,9;11,5;2024-07-10T19:05:39.363Z;2024-07-16T12:13:59Z;[{'id': 5106339801, 'qualifierId': 3}, {'id': 5106339811, 'qualifierId': 213, 'value': '5.91'}, {'id': 5106339803, 'qualifierId': 56, 'value': 'Back'}, {'id': 5106339807, 'qualifierId': 141, 'value': '10.4'}, {'id': 5106339805, 'qualifierId': 140, 'value': '28.7'}, {'id': 5106339809, 'qualifierId': 212, 'value': '2.0'}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;28,7;;5,91;;10,4;2,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;28,7;10,4;;;;;;;0;0;0;6;Toronto II;6;DR;1,0
