field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;12wcwqu2liyd0zv8ramcevh1w;1;70;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;GK;P. Los;;;;;;
2;b3xoqrbmua9uzr0tw8kmnw9as;2;64;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;DR;C. Cupps;;;;;;
2;84oe7sbhy91b5xvbo2w28i7f8;3;41;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;DC;J. Diouf;;;;9ii1zrimesdnqccy8dki8knx0;78,0;2,0
3;64wbk2nsrs0ru0hjcq0lenwgk;4;35;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;DMC;S. Oregel;;;;6n0x8t513vmsmgfasovvoj7u2;78,0;2,0
2;5d341k1dxhlbetyh965z3q784;5;43;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;DL;J. Shannon;;;;;;
2;72xktsosbsh2uwkwby59mr6z8;6;42;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;DC;D. Konincks;;;;;;
3;5ehbz7f56cmfamc29fnk3yuax;7;49;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;MR;L. Prpa;;;;ctwn52am38jz5ly1h8ac069lg;66,0;2,0
3;b1p6qcv8wjzoxoax3nt13n5gq;8;48;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;MC;D. Poręba;;;;2buy6q56o0ixo30fatz7ps9w4;96,0;2,0
4;2atsox1bassuexlgta8h3us4p;9;50;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;FW;C. Koffi;;;;1x9uiwhoqu3qumt0urv5trlec;90,0;2,0
3;afdz1ibldn2vc8gtezyw8tqay;10;45;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;MC;H. Osorio;;;;4agnpztnedb7ql14bo477vspg;78,0;2,0
3;79knhnp7bvpjomzz14k715wtm;11;55;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;ML;O. Glasgow;;;;;;
5;6n0x8t513vmsmgfasovvoj7u2;0;44;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;Sub;J. Shokalook;64wbk2nsrs0ru0hjcq0lenwgk;78,0;2,0;;;
5;2buy6q56o0ixo30fatz7ps9w4;0;46;7;8o8m08he36u0j4w08aj2iodn8;bpv73bw0x4hs5axb7ye4mcn4k;home;1;Sub;J. Zapata;b1p6qcv8wjzoxoax3nt13n5gq;96,0;2,0;;;
