id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_Involved;value_PlayerPosition;value_Captain;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_Zone;value_PassEndY;value_PassEndX;value_Length;value_KickOff;value_Chipped;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_Defensive;value_TouchTypeControl;value_TouchTypePass;value_TakeOnSpace;value_FlickOn;value_DeletedEventType;value_Launch;value_TakeOnOvertake;value_BlockedPass;value_BlockedY;value_BoxCentre;value_Deflection;value_GkY;value_LowCentre;value_RegularPlay;value_RightFooted;value_BlockedX;value_GoalmouthZ;value_NotAssisted;value_SixYardBlocked;value_GkX;value_GoalmouthY;value_Blocked;value_DefBlock;value_MediumGkIntervention;value_KeeperThrow;value_IntendedTackleTarget;value_NotVisible;value_TouchTypeClearance;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_OutOfPlay;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_LeftFooted;value_IndividualPlay;value_LowRight;value_SwerveRight;value_ParriedSafe;value_Diving;value_Hands;value_Left;value_Right;value_CornerTaken;value_LayOff;value_InSwinger;value_Assist;value_IntentionalAssist;value_Cross;value_FirstTouch;value_Head;value_Assisted;value_BigChance;value_FromCorner;value_HeadPass;value_OutSwinger;value_Collected;value_Standing;value_HighGkIntervention;value_GkKickFromHands;value_NextEventGoalKick;value_Low;value_GoalKick;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_BallHitsReferee;value_LeadingToGoal;value_GoalShotTimestamp;value_RelatedError1Id;value_GoalShotGameClock;value_GkXTimeOfGoal;value_BoxLeft;value_GkYTimeOfGoal;value_Shove/Push;value_HighClaim;value_OverArm;value_LowLeft;value_Volley;value_HighRight;value_SwitchOfPlay;value_ShirtPull/Holding;value_OutOfBoxCentre;value_CloseHigh;value_FollowsADribble;value_Weak;value_BoxDeepRight;value_High;value_LeadingToAttempt;value_LowGkIntervention;value_FreeKick;value_MisHit;value_Minutes;value_Overrun;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_PlayersCaughtOffside;value_Indirect;value_TacticalFoul;value_YellowCard;value_RecklessOffence;value_TempShotOn;value_Handball;value_PenaltyTakerId;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistId;value_BoxRight;value_HighCentre;value_OwnPlayer;value_FairPlay;value_OwnShotBlocked;value_Strong;value_FantasyAssistTeam;value_OwnGoal;value_FantasyAssistType;value_FantasyAssistedBy;value_HighLeft;value_PullBack;value_GkHoof;value_NotPastGoalLine;value_CloseRight;value_35Centre;value_TimeWasting;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2663249929;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-03-24T19:25:20.285Z;2024-03-24T20:13:50Z;[{'id': 4899216895, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899216891, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899216883, 'qualifierId': 30, 'value': '8m19c2e0raanzp3dzf7aaf6jt, 24rxb4eeoakxkmritog6a7x90, baixarx1kvqgs5c8d0v1xd9g4, do2o6ka25talswmmillufejqi, e2912gyiutvn3aky0z9ijz384, 1pv6xhgaeshfrhzenz7y14glw, er0xm9k5zv8kcvcy7bnwp086i, 8f5h44hnjdt4rdflu8qqhx5d6, 36e17qrefearxp7lxb1eibwbu, 18b4rpeia26xq688ieqaw2z2s, 17ni4ntnt7b6b0bwst3e4djze, d4xd9fxqjwfe7x46byn60dx49, b04uukw5ec0mngnwqjih7oqac, d1w4zs63sx3cc7wnc8wshbfv8, 1efr6u06hvhm9drygb9qsi92i, 1flsu0b92eflc2wkg9m1wwufo, 5reylt0uyetl6qavkvd8inai, m4w1lmkfi8siwrxs9ny5ihhw, 6mm2h3x9hmyea3bu2wt80uo7o'}, {'id': 4899216885, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4899216893, 'qualifierId': 194, 'value': '8f5h44hnjdt4rdflu8qqhx5d6'}, {'id': 4899216889, 'qualifierId': 130, 'value': '4'}, {'id': 4899260007, 'qualifierId': 197, 'value': '18751'}, {'id': 4899216887, 'qualifierId': 59, 'value': '23, 32, 82, 43, 65, 44, 18, 36, 27, 77, 91, 31, 39, 46, 48, 52, 55, 56, 70'}];;;;;bt9kuwc0an4butc39kp7fh9n8;Team set up;;;;;;4,0;18751,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2663251395;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-03-24T19:33:44.869Z;2024-03-24T20:30:01Z;[{'id': 4899225769, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 4899225759, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, 1snfyu5dmv164k5cl87chjlsk, azzpjrq2pndxuz0waw25p7r6y, 3ehrq9mryoug8osgxkpg4eo7o, 2jzuij8p7eoy42aqem688ltuy, 1d43ue54zl1o9rvnwz5zfotm, 9qyg5hre038m06bzzupzgmsk4, aa4ut2fmswha43fxnrxp1obo4, 9ph8wasuz3ndre586gople49g, 4uuq2zuhmlbg7kh85v5l8723u, 22p6n3oird085u2kbkiqp4pg, 3c1xz4vpfoum0jbq6bmtdrtux, 6ooaucn77vw73p514tlq2bnkk, n5otejqjssvxk3bzx06642z8, 70lmb5krx6h8iidmbs6t015hw, be85jzbz3ihrpyt6jvjs56oes, 8jm3jixnmppaccwg39f0yts7o, cwi18tat1u9zy8nby1lfwu61g'}, {'id': 4899260671, 'qualifierId': 197, 'value': '15044'}, {'id': 4899225767, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899225763, 'qualifierId': 59, 'value': '12, 30, 11, 33, 6, 5, 7, 19, 9, 18, 17, 10, 34, 35, 36, 37, 40, 42'}, {'id': 4899225761, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4899225771, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899225765, 'qualifierId': 130, 'value': '8'}];;;;;bt9kuwc0an4butc39kp7fh9n8;Team set up;;;;;;8,0;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2663257287;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-03-24T20:04:06.192Z;2024-03-29T12:27:55Z;[{'id': 4899260687, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bt9kuwc0an4butc39kp7fh9n8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2663257291;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-03-24T20:04:06.192Z;2024-03-24T20:04:07Z;[{'id': 4899260699, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bt9kuwc0an4butc39kp7fh9n8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2663257299;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,0;50,0;2024-03-24T20:04:06.193Z;2024-03-24T20:04:10Z;[{'id': 4899260755, 'qualifierId': 213, 'value': '2.81'}, {'id': 4899260747, 'qualifierId': 56, 'value': 'Back'}, {'id': 4899260751, 'qualifierId': 141, 'value': '57.5'}, {'id': 4899260749, 'qualifierId': 140, 'value': '35.9'}, {'id': 4899260753, 'qualifierId': 212, 'value': '15.7'}, {'id': 4899260757, 'qualifierId': 279, 'value': 'S'}];9ph8wasuz3ndre586gople49g;S. Annor Gyamfi;;;bt9kuwc0an4butc39kp7fh9n8;Pass;;;;;;;;;;2,81;;57,5;35,9;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;35,9;57,5;;;;;;;;0;0;0;Los Angeles II;0;FW;1,0
2663257315;4;1;1;0;4;7pmw399vh2v44cjle4fkklp1w;1;36,8;57,3;2024-03-24T20:04:10.444Z;2024-03-24T20:32:26Z;[{'id': 4899260833, 'qualifierId': 141, 'value': '51.5'}, {'id': 4899260831, 'qualifierId': 140, 'value': '27.6'}, {'id': 4899260835, 'qualifierId': 212, 'value': '10.4'}, {'id': 4899260837, 'qualifierId': 213, 'value': '3.53'}, {'id': 4899260829, 'qualifierId': 56, 'value': 'Back'}];3ehrq9mryoug8osgxkpg4eo7o;O. Bolaños;;;bt9kuwc0an4butc39kp7fh9n8;Pass;;;;;;;;;;3,53;;51,5;27,6;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;27,6;51,5;;;;;;;;0;0;4;Los Angeles II;4;MC;1,0
2663257319;5;1;1;0;8;7pmw399vh2v44cjle4fkklp1w;0;29,9;51,0;2024-03-24T20:04:15.164Z;2024-03-24T20:04:16Z;[{'id': 4899260859, 'qualifierId': 141, 'value': '0.0'}, {'id': 4899260863, 'qualifierId': 213, 'value': '5.63'}, {'id': 4899260853, 'qualifierId': 155}, {'id': 4899260865, 'qualifierId': 1}, {'id': 4899260857, 'qualifierId': 140, 'value': '74.8'}, {'id': 4899260855, 'qualifierId': 56, 'value': 'Right'}, {'id': 4899260861, 'qualifierId': 212, 'value': '59.2'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;bt9kuwc0an4butc39kp7fh9n8;Pass;;;;;;;;;;5,63;;0,0;74,8;59,2;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;74,8;0,0;;;;;;;;0;0;8;Los Angeles II;8;DL;1,0
2663257327;3;5;1;0;10;6gaq85erpkvbyxvivd96wuw44;1;22,2;101,6;2024-03-24T20:04:16.355Z;2024-03-24T20:04:18Z;[{'id': 4899260891, 'qualifierId': 347}, {'id': 4899260889, 'qualifierId': 56, 'value': 'Back'}, {'id': 4899260893, 'qualifierId': 233, 'value': '6'}];baixarx1kvqgs5c8d0v1xd9g4;A. Martin;;;bt9kuwc0an4butc39kp7fh9n8;Out;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;10;Houston Dynamo II;10;DC;1,0
2663257321;6;5;1;0;10;7pmw399vh2v44cjle4fkklp1w;0;77,8;-1,6;2024-03-24T20:04:16.355Z;2024-03-24T20:23:19Z;[{'id': 4899260869, 'qualifierId': 347}, {'id': 4899260899, 'qualifierId': 233, 'value': '3'}, {'id': 4899260867, 'qualifierId': 56, 'value': 'Right'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;bt9kuwc0an4butc39kp7fh9n8;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;10;Los Angeles II;10;DL;1,0
2663257377;4;1;1;0;21;6gaq85erpkvbyxvivd96wuw44;1;18,6;100,0;2024-03-24T20:04:27.212Z;2024-03-24T20:04:32Z;[{'id': 4899261145, 'qualifierId': 56, 'value': 'Back'}, {'id': 4899261143, 'qualifierId': 107}, {'id': 4899261151, 'qualifierId': 212, 'value': '23.3'}, {'id': 4899261147, 'qualifierId': 140, 'value': '38.6'}, {'id': 4899261155, 'qualifierId': 1}, {'id': 4899261153, 'qualifierId': 213, 'value': '5.84'}, {'id': 4899261149, 'qualifierId': 141, 'value': '86.4'}];baixarx1kvqgs5c8d0v1xd9g4;A. Martin;;;bt9kuwc0an4butc39kp7fh9n8;Pass;;;;;;;;;;5,84;;86,4;38,6;23,3;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;38,6;86,4;;;;;;;;0;0;21;Houston Dynamo II;21;DC;1,0
