field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;4ac61l7qt4s63hv34g8zsihgp;1;30;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;GK;A. Smir;;;;;;
2;a1rc6kukly42y5j5smz3w72tw;2;48;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;DR;T. Ibsais;;;;;;
2;2ye36bmajaqbiwf8713uocob8;3;46;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;DC;J. Gasho;;;;cz98wcy8nq9hqncb2z33p4hec;62,0;2,0
3;3ybnbzd94ggt62wtqhtnbb1be;4;67;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;MC;C. Harvey;;;;6e688gqc8qzt0h9cutptkcd90;60,0;2,0
2;1795jw1oc3pkthyq0kqexh65m;5;35;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;DL;B. Fischer;;;;;;
2;aqqjtiyr2nayy6rjq6wxk6ec4;6;23;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;DC;M. Duggan;;;;;;
3;69h930ebovyl7rut5dz4r2iok;7;36;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;MC;M. Khan;;;;;;
3;8hftsf1ff8839jdbe3e6lmm1g;8;38;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;MC;K. Romanshyn;;;;;;
4;tc5nl1hz1w06jobp5ckktr3e;9;99;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;FW;J. Adebayo-Smith;;;;658tknyb70yhkx52dg4ttngus;82,0;2,0
4;iu61re9bbusv2w7fu7w6505w;10;90;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;FWR;L. Mesanvi;;;;btr1fg89bjqk2en1k4vbuxlp0;72,0;2,0
4;byelagxi3qg0rb06tjl3fodn8;11;57;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;FWL;D. Randell;;;;45b72f8szmqnv8tz06j7mj1wq;72,0;2,0
5;45b72f8szmqnv8tz06j7mj1wq;0;29;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;Sub;P. Weah;byelagxi3qg0rb06tjl3fodn8;72,0;2,0;;;
5;6e688gqc8qzt0h9cutptkcd90;0;42;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;Sub;J. Arias;3ybnbzd94ggt62wtqhtnbb1be;60,0;2,0;;;
5;658tknyb70yhkx52dg4ttngus;0;47;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;Sub;A. Heckenlaible;tc5nl1hz1w06jobp5ckktr3e;82,0;2,0;;;
5;f4gpras1h3k8qfz71u84iyyok;0;49;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;Sub;;;;;;;
5;cz98wcy8nq9hqncb2z33p4hec;0;51;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;Sub;D. Mawing;2ye36bmajaqbiwf8713uocob8;62,0;2,0;;;
5;btr1fg89bjqk2en1k4vbuxlp0;0;52;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;Sub;N. Moua;iu61re9bbusv2w7fu7w6505w;72,0;2,0;;;
5;dmeyu5u98jwawdkmyv3a0vi8k;0;61;4;1pc6sx2h4rp113ldkbp5d2xas;bvhdkg2dwnj9oac0tne18pyc4;away;1;Sub;;;;;;;
1;2ig362xub2syd45v3usgymbkk;1;57;4;cbip96wzs3jc2xadoluhhxotl;bvhdkg2dwnj9oac0tne18pyc4;home;1;GK;F. Delgado;;;;;;
2;ahl3kfbfeubf6zfl7x8qrlm38;2;42;4;cbip96wzs3jc2xadoluhhxotl;bvhdkg2dwnj9oac0tne18pyc4;home;1;DR;K. Storlie;;;;;;
2;asy97zdxk0352toy38huzk222;3;33;4;cbip96wzs3jc2xadoluhhxotl;bvhdkg2dwnj9oac0tne18pyc4;home;1;DC;T. Silva;;;;;;
3;dzo2odov052991qseshgfruju;4;41;4;cbip96wzs3jc2xadoluhhxotl;bvhdkg2dwnj9oac0tne18pyc4;home;1;MC;D. Iskenderian;;;;6adi81qxodibea6d0hxa3qxas;80,0;2,0
2;48vc423tkz4mx7oql1ahqneac;5;51;4;cbip96wzs3jc2xadoluhhxotl;bvhdkg2dwnj9oac0tne18pyc4;home;1;DL;O. Alba;;;;;;
