id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_Involved;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_Angle;value_KickOff;value_PassEndY;value_Zone;value_Length;value_IntendedTackleTarget;value_DeletedEventType;value_TakeOnSpace;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_RightFooted;value_OutSwinger;value_Cross;value_LongBall;value_Launch;value_NextEventThrowIn;value_ThrowIn;value_Head;value_HeadPass;value_FlickOn;value_LowGkIntervention;value_KeeperThrow;value_Chipped;value_TakeOnOvertake;value_RegularPlay;value_Assist;value_GoalmouthY;value_GkX;value_Assisted;value_IndividualPlay;value_GkXTimeOfGoal;value_GkY;value_GkYTimeOfGoal;value_OutOfBoxCentre;value_RelatedEventId;value_GoalShotTimestamp;value_HighRight;value_GoalShotGameClock;value_GoalmouthZ;value_OutOfPlay;value_Right;value_CornerTaken;value_SwitchOfPlay;value_LayOff;value_InSwinger;value_BlockedPass;value_BlockedCross;value_LeftFooted;value_MediumGkIntervention;value_ShirtPull/Holding;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_AerialFoul;value_TouchTypePass;value_NotVisible;value_TouchTypeClearance;value_TouchTypeControl;value_Left;value_Blocked;value_BlockedX;value_BlockedY;value_LowLeft;value_BoxLeft;value_DefBlock;value_YellowCard;value_TacticalFoul;value_NextEventGoalKick;value_Low;value_GoalKick;value_Defensive1V1;value_HighGkIntervention;value_Shove/Push;value_PlayersCaughtOffside;value_Indirect;value_BoxCentre;value_LowRight;value_BigChance;value_LastLine;value_HighClaim;value_SwerveRight;value_BoxRight;value_IntentionalAssist;value_HighCentre;value_FromCorner;value_Hands;value_ParriedSafe;value_Reaching;value_FirstTouch;value_High;value_LowCentre;value_DrivenCross;value_Straight;value_Minutes;value_EndType;value_Penalty;value_PenaltyTakerId;value_FantasyAssistId;value_FantasyAssistType;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_NotAssisted;value_FantasyAssistTeam;value_FantasyAssistedBy;value_Scored;value_Diving;value_CloseLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_NotPastGoalLine;value_SixYardBlocked;value_SmallBoxRight;value_SavedOffLine;value_OverArm;value_FairPlay;value_PullBack;value_SmallBoxLeft;value_Dissent;value_CloseRight;value_SwerveLeft;value_Standing;value_InjuredPlayerId;value_Injury;value_GkHoof;value_Overrun;value_GoesToPenalties;value_CloseHigh;value_Missed;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2665090593;1;34;16;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-03-30T20:37:31.364Z;2024-04-19T11:09:13Z;[{'id': 4909194519, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 4909194517, 'qualifierId': 30, 'value': 'aja8uwk6vyjzzd5nvkh7pbtux, a89drfd4adts1cbtqa77l1boq, a5tjyddv4t8eg9wcum3o15qfo, e076q290ab1o6qz9vthl2c0a2, 33l8nq6xbj3pm1lkxo2qs5vfu, d1xlw5bza316m39f9n82hir1m, 7t8o8pe93me2pef74vw21nr6y, druwx3n136woly4objqgk7tp0, 5gvvjvj3aw75jrxcmajcx2b6c, 1qfm9519iq3jailrtnk9c0nbo, 8p8xhni028mqjv6kz6fdz850q, annas28q0luj197ulmy0rwjkk, 36nlk9spjf591wxuzvimi0eay, 3f5g2kijev81v9nzwsyxwiiju, 5lwarg9t4o7hxcq5exe8gwydw, 6zolwstla33ppx84k1o2v8rv8, 4wr32d93f1q1v8qjq2ywmnbze'}, {'id': 4909548075, 'qualifierId': 194, 'value': '33l8nq6xbj3pm1lkxo2qs5vfu'}, {'id': 4909386253, 'qualifierId': 197, 'value': '18753'}, {'id': 4909194525, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 4909194527, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4909194523, 'qualifierId': 130, 'value': '8'}, {'id': 4909194521, 'qualifierId': 59, 'value': '25, 45, 51, 68, 40, 48, 70, 46, 37, 55, 77, 35, 38, 42, 47, 87, 96'}];;;;;bxaox0u3scjlponw3iokbuyok;Team set up;;;;18753,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2665092529;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-03-30T20:39:26.915Z;2024-03-30T23:14:10Z;[{'id': 4909327685, 'qualifierId': 197, 'value': '19280'}, {'id': 4909205307, 'qualifierId': 30, 'value': '6cdhdb44atdm9b3n7swgi002y, 441plehxckmdj5gb2mr6y8ne2, 249t35evpr3aasx0uczjs2j9w, 3yk1gwm7jptmbal0vcwr24is4, 5et4reh22bzqjp1wcr5sqldnu, 57yplpr6jgwlqoon231ydqp04, bhzjqo4qidpkmh7lqqir9h4ic, 8hf35b309tq3wuc59xgshmbro, 84wint64ygxx3pi5fz3mr12j8, dvk85r457e15hg0pw5rig0222, a6i4npit5smx1zcpgucou9y0a, bsufynk2wfvpz40nrndah1kb8, bh7fb8v7o5wynmapdhlth594a, 3jw4ui4rr60p2jb2rt9hhoetw, 4lyhopb6ddaz08hd5tu2pos9g, 1ksu0c3adavx1gqbrhalfpatw, 1hfhnfbma8w2hxiin3dkxos9g'}, {'id': 4909205315, 'qualifierId': 130, 'value': '13'}, {'id': 4909692719, 'qualifierId': 194, 'value': 'dvk85r457e15hg0pw5rig0222'}, {'id': 4909205313, 'qualifierId': 59, 'value': '50, 41, 54, 83, 53, 56, 59, 48, 52, 92, 42, 51, 43, 46, 49, 55, 99'}, {'id': 4909205317, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 4909205311, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 4909205319, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;bxaox0u3scjlponw3iokbuyok;Team set up;;;;19280,0;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;0;0;Portland Timbers II;0;;
2665115887;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-03-30T21:04:27.684Z;2024-04-19T09:07:14Z;[{'id': 4909328895, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bxaox0u3scjlponw3iokbuyok;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;;0;0;0;Portland Timbers II;0;;
2665115899;2;32;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-03-30T21:04:27.684Z;2024-03-30T21:04:29Z;[{'id': 4909328979, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bxaox0u3scjlponw3iokbuyok;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2665115933;3;1;1;0;1;eo64tqkioegeb09iice2hf8bt;1;50,0;50,0;2024-03-30T21:04:28.685Z;2024-04-19T09:20:11Z;[{'id': 4909329155, 'qualifierId': 140, 'value': '38.8'}, {'id': 4909329161, 'qualifierId': 213, 'value': '3.74'}, {'id': 4909329163, 'qualifierId': 279, 'value': 'S'}, {'id': 4909329157, 'qualifierId': 141, 'value': '38.2'}, {'id': 4909329153, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909329159, 'qualifierId': 212, 'value': '14.2'}];8hf35b309tq3wuc59xgshmbro;M. Simmons;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;38,8;3,74;;38,2;;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;38,8;38,2;;;;;;;;0;0;1;Portland Timbers II;1;MC;1,0
2665115949;4;1;1;0;3;eo64tqkioegeb09iice2hf8bt;1;38,8;38,2;2024-03-30T21:04:30.822Z;2024-03-30T21:04:33Z;[{'id': 4909329275, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909329279, 'qualifierId': 141, 'value': '20.8'}, {'id': 4909329283, 'qualifierId': 213, 'value': '4.24'}, {'id': 4909329277, 'qualifierId': 140, 'value': '33.0'}, {'id': 4909329281, 'qualifierId': 212, 'value': '13.3'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;33,0;4,24;;20,8;;13,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;33,0;20,8;;;;;;;;0;0;3;Portland Timbers II;3;MC;1,0
2665115985;5;1;1;0;5;eo64tqkioegeb09iice2hf8bt;1;30,3;17,5;2024-03-30T21:04:32.966Z;2024-03-30T21:04:35Z;[{'id': 4909329475, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909329477, 'qualifierId': 140, 'value': '38.2'}, {'id': 4909329481, 'qualifierId': 212, 'value': '10.4'}, {'id': 4909329483, 'qualifierId': 213, 'value': '5.63'}, {'id': 4909329479, 'qualifierId': 141, 'value': '8.2'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;38,2;5,63;;8,2;;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;38,2;8,2;;;;;;;;0;0;5;Portland Timbers II;5;DC;1,0
2665116009;6;1;1;0;6;eo64tqkioegeb09iice2hf8bt;1;38,2;8,2;2024-03-30T21:04:34.358Z;2024-03-30T21:04:36Z;[{'id': 4909329639, 'qualifierId': 212, 'value': '11.6'}, {'id': 4909329637, 'qualifierId': 141, 'value': '11.6'}, {'id': 4909329633, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909329635, 'qualifierId': 140, 'value': '27.4'}, {'id': 4909329641, 'qualifierId': 213, 'value': '2.94'}];441plehxckmdj5gb2mr6y8ne2;E. Goldthorp;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;27,4;2,94;;11,6;;11,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;27,4;11,6;;;;;;;;0;0;6;Portland Timbers II;6;DMR;1,0
2665116053;7;1;1;0;8;eo64tqkioegeb09iice2hf8bt;1;26,7;16,7;2024-03-30T21:04:36.582Z;2024-03-30T21:04:40Z;[{'id': 4909329883, 'qualifierId': 141, 'value': '49.0'}, {'id': 4909329887, 'qualifierId': 213, 'value': '1.86'}, {'id': 4909329881, 'qualifierId': 140, 'value': '20.4'}, {'id': 4909329885, 'qualifierId': 212, 'value': '22.9'}, {'id': 4909329879, 'qualifierId': 56, 'value': 'Back'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;20,4;1,86;;49,0;;22,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;20,4;49,0;;;;;;;;0;0;8;Portland Timbers II;8;DC;1,0
2665116113;8;1;1;0;12;eo64tqkioegeb09iice2hf8bt;1;21,0;51,1;2024-03-30T21:04:40.277Z;2024-03-30T21:04:45Z;[{'id': 4909330205, 'qualifierId': 212, 'value': '22.6'}, {'id': 4909330203, 'qualifierId': 141, 'value': '18.7'}, {'id': 4909330207, 'qualifierId': 213, 'value': '4.94'}, {'id': 4909330201, 'qualifierId': 140, 'value': '25.9'}, {'id': 4909330199, 'qualifierId': 56, 'value': 'Back'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;25,9;4,94;;18,7;;22,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;25,9;18,7;;;;;;;;0;0;12;Portland Timbers II;12;DC;1,0
