id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_Captain;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_Length;value_KickOff;value_PassEndX;value_PassEndY;value_Zone;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TouchTypePass;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Shove/Push;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_TouchTypeControl;value_TakeOnOvertake;value_NextEventGoalKick;value_GoalKick;value_Low;value_PlayersCaughtOffside;value_Indirect;value_Chipped;value_TouchTypeClearance;value_FlickOn;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_BlockedPass;value_Left;value_Right;value_Assist;value_FromCorner;value_CornerTaken;value_Cross;value_LeftFooted;value_InSwinger;value_IntentionalAssist;value_GoalShotTimestamp;value_GkY;value_GoalShotGameClock;value_FirstTouch;value_Assisted;value_LowCentre;value_SmallBoxLeft;value_GoalmouthY;value_RelatedEventId;value_GoalmouthZ;value_Head;value_GkX;value_RightFooted;value_OutSwinger;value_OutOfPlay;value_IndividualPlay;value_HighRight;value_OutOfBoxCentre;value_SwitchOfPlay;value_RegularPlay;value_FollowsADribble;value_GkYTimeOfGoal;value_BoxLeft;value_LowRight;value_GkXTimeOfGoal;value_NotAssisted;value_SwerveLeft;value_CloseHigh;value_Overrun;value_BlockedCross;value_ThroughBall;value_BlockedX;value_BigChance;value_BoxRight;value_BlockedY;value_Feet;value_Sliding;value_ParriedSafe;value_BoxCentre;value_Blocked;value_DefBlock;value_PullBack;value_Unchallenged;value_HighGkIntervention;value_HighLeft;value_NotVisible;value_NotPastGoalLine;value_SmallBoxCentre;value_CloseLeft;value_High;value_SetPiece;value_RecklessOffence;value_YellowCard;value_TakeOnSpace;value_1On1;value_Standing;value_GkKickFromHands;value_OverhitCross;value_FollowsShotRebound;value_MediumGkIntervention;value_LeadingToGoal;value_RelatedError1Id;value_LeadingToAttempt;value_IncorrectOutOfPlayDecision;value_ShirtPull/Holding;value_Minutes;value_LayOff;value_LowLeft;value_Collected;value_Hands;value_Diving;value_EndType;value_Penalty;value_PenaltyTakerId;value_Argument;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Volley;value_MisHit;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistType;value_FastBreak;value_CloseRightAndHigh;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HighCentre;value_BoxDeepRight;value_Stooping;value_CaptainChange;value_LastLine;value_Handball;value_SixYardBlocked;value_DrivenCross;value_Straight;value_VideoCoverageLost;value_FreeKick;value_Reaching;value_TimeWasting;value_RedCard;value_ProfessionalFoulLastMan;value_ByWall;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2665180283;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-03-30T23:21:11.118Z;2024-03-31T02:12:32Z;[{'id': 4909705883, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, bvmdxx61yedgrgfw586y8dgr8, a12t1zv0y8gzzf6p3jrotkoic, ba9m1xd2b3b2zvuuogn4uxkwk, 1cc8cz8wtm8f05109tjb02xka, 9elhnfsovx9efu5f92mkkls7o, 8warl67c0id3dorr48mn7h82c, 37zynr7fwzqg4c9w5ydefywyy, 8r9uj94efpwgpyin2ol87z0us, 9jy9vyn7y1bomsbjhjujynb4k, 58w3qcq1xrkpq5f9miuxp4ys4, cc7auv8d89ohifqg7qwz62mwa, dgosg1mymhuajg0rz2ts6alpm, aflr59dwf5lj1e5p1kne0ea22, 9xdf8s18m2ldjc76knczksh78, e6mcigtodcpo0fx63zrjupp90, cg3xa5zbx2xz5qi5m1bbso4r8, 290iohuheoqdrdocbg25ipgk4, 4xtukzrrrygv4c17kfczclhxw'}, {'id': 4909705895, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4909705891, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4909705889, 'qualifierId': 130, 'value': '17'}, {'id': 4910260773, 'qualifierId': 194, 'value': '1cc8cz8wtm8f05109tjb02xka'}, {'id': 4909705885, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4909705893, 'qualifierId': 197, 'value': '14907'}, {'id': 4909705887, 'qualifierId': 59, 'value': '13, 19, 45, 5, 3, 6, 8, 10, 47, 20, 17, 2, 18, 41, 42, 48, 44, 43, 70'}];;;;;bxnt8whbk4dag6gjclgqy232s;Team set up;;;;17,0;;;14907,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;Huntsville City;0;;
2665181719;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-03-30T23:24:16.434Z;2024-03-31T00:07:32Z;[{'id': 4909713303, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4909713307, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4909713305, 'qualifierId': 197, 'value': '19319'}, {'id': 4909713301, 'qualifierId': 130, 'value': '4'}, {'id': 4909730893, 'qualifierId': 194, 'value': '6z58yyouaevipxrmrmorcz0no'}, {'id': 4909713295, 'qualifierId': 30, 'value': '8bvwbem3nusjso8jxzrlhbi8k, 1kr4ax5uy3f9gbjzr34u0svf8, bmax1bmduvrpp0lfh4do0yj9w, bshus335cwlnpdzl7ct1gpn9w, ecnah6vlfo0o5cx42il8cegb8, 6jzijlp0e2w4qjan9eto35wd0, d67mnqsp2nri79bpvblsufbis, 6z58yyouaevipxrmrmorcz0no, 6prn3rxp49rsfl8mxq2tqzf9w, dz7v9xfcwdvjioeyv4z54neqy, 6srpw77ejl3bf4v8e2m7z0kd0, 2mmciwk6gllcf11plcch710yc, 5myzzter0uza8ro6hwbqxyntg, 6qe888q8yqq73bxr27jbyu2hg, 68tqdxlstpilrkvyvdnbhy31l, b9f1pwdmp99p5penlqwuwcjkk, 3c7ia3mxthsolwt8ed68e5xck, 3pzd87cugi2uj8hhzgre6od1w, 39c87vzu8v1c05994iykda238'}, {'id': 4909713297, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4909713299, 'qualifierId': 59, 'value': '99, 47, 25, 24, 36, 5, 7, 8, 77, 17, 22, 1, 6, 10, 11, 19, 21, 23, 35'}];;;;;bxnt8whbk4dag6gjclgqy232s;Team set up;;;;4,0;;;19319,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2665201979;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-03-31T00:03:38.302Z;2024-04-05T13:57:44Z;[{'id': 4909825621, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bxnt8whbk4dag6gjclgqy232s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2665201969;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-03-31T00:03:38.302Z;2024-03-31T00:03:42Z;[{'id': 4909825567, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bxnt8whbk4dag6gjclgqy232s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;Huntsville City;0;;
2665202013;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;50,0;50,0;2024-03-31T00:03:38.303Z;2024-03-31T00:37:58Z;[{'id': 4909825803, 'qualifierId': 213, 'value': '2.67'}, {'id': 4909825801, 'qualifierId': 212, 'value': '15.0'}, {'id': 4909825805, 'qualifierId': 279, 'value': 'S'}, {'id': 4909825795, 'qualifierId': 140, 'value': '37.3'}, {'id': 4909825799, 'qualifierId': 141, 'value': '60.0'}, {'id': 4909825793, 'qualifierId': 56, 'value': 'Back'}];bshus335cwlnpdzl7ct1gpn9w;A. Velazquez-Lopez;;;bxnt8whbk4dag6gjclgqy232s;Pass;;;;;;;;;;2,67;15,0;;37,3;60,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;37,3;60,0;;;;;;;;0;0;0;Columbus Crew II;0;MC;1,0
2665202029;4;1;1;0;4;4gymgvqmve0m2vh89v84tt3x0;0;37,5;57,9;2024-03-31T00:03:42.939Z;2024-03-31T00:03:45Z;[{'id': 4909825907, 'qualifierId': 56, 'value': 'Center'}, {'id': 4909825905, 'qualifierId': 157}, {'id': 4909825909, 'qualifierId': 140, 'value': '78.0'}, {'id': 4909825911, 'qualifierId': 141, 'value': '25.6'}, {'id': 4909825915, 'qualifierId': 213, 'value': '5.81'}, {'id': 4909825917, 'qualifierId': 1}, {'id': 4909825913, 'qualifierId': 212, 'value': '47.9'}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;bxnt8whbk4dag6gjclgqy232s;Pass;;;;;;;;;;5,81;47,9;;78,0;25,6;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;78,0;25,6;;;;;;;;0;0;4;Columbus Crew II;4;MC;1,0
2665202055;3;44;1;0;6;5b4ccd62yeeqdl2qk6jzsmjv8;1;24,2;78,6;2024-03-31T00:03:44.921Z;2024-03-31T00:03:46Z;[{'id': 4909826011, 'qualifierId': 285}, {'id': 4909826009, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909826027, 'qualifierId': 233, 'value': '5'}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;bxnt8whbk4dag6gjclgqy232s;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;6;Huntsville City;6;DML;1,0
2665202037;5;44;1;0;6;4gymgvqmve0m2vh89v84tt3x0;0;75,8;21,4;2024-03-31T00:03:44.922Z;2024-03-31T00:43:37Z;[{'id': 4909825961, 'qualifierId': 286}, {'id': 4909825959, 'qualifierId': 56, 'value': 'Center'}, {'id': 4909826059, 'qualifierId': 233, 'value': '3'}];6prn3rxp49rsfl8mxq2tqzf9w;A. Sipic;;;bxnt8whbk4dag6gjclgqy232s;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;6;Columbus Crew II;6;FW;1,0
2665202073;4;1;1;0;7;5b4ccd62yeeqdl2qk6jzsmjv8;0;26,3;82,7;2024-03-31T00:03:45.831Z;2024-03-31T00:03:48Z;[{'id': 4909826123, 'qualifierId': 212, 'value': '25.1'}, {'id': 4909826125, 'qualifierId': 213, 'value': '0.34'}, {'id': 4909826121, 'qualifierId': 141, 'value': '95.0'}, {'id': 4909826117, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909826115, 'qualifierId': 3}, {'id': 4909826119, 'qualifierId': 140, 'value': '48.8'}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;bxnt8whbk4dag6gjclgqy232s;Pass;;;;;;;;;;0,34;25,1;;48,8;95,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;48,8;95,0;;;;;;;;0;0;7;Huntsville City;7;DML;1,0
2665202127;6;1;1;0;11;4gymgvqmve0m2vh89v84tt3x0;1;45,3;16,6;2024-03-31T00:03:49.562Z;2024-03-31T00:03:54Z;[{'id': 4909826477, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909826483, 'qualifierId': 212, 'value': '25.4'}, {'id': 4909826479, 'qualifierId': 140, 'value': '34.4'}, {'id': 4909826485, 'qualifierId': 213, 'value': '2.04'}, {'id': 4909826481, 'qualifierId': 141, 'value': '50.0'}];ecnah6vlfo0o5cx42il8cegb8;S. Cheevers;;;bxnt8whbk4dag6gjclgqy232s;Pass;;;;;;;;;;2,04;25,4;;34,4;50,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;34,4;50,0;;;;;;;;0;0;11;Columbus Crew II;11;DL;1,0
