field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;9bn2zid7u305xii6alm8a58us;1;13;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;GK;S. Lapkes;;;;;;
3;bvmdxx61yedgrgfw586y8dgr8;2;19;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;DMR;J. Knight;;;;aflr59dwf5lj1e5p1kne0ea22;86,0;2,0
3;a12t1zv0y8gzzf6p3jrotkoic;3;45;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;DML;O. Presthus;;;;;;
2;ba9m1xd2b3b2zvuuogn4uxkwk;4;5;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;DC;C. Rogers;;;;;;
2;1cc8cz8wtm8f05109tjb02xka;5;3;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;DC;D. Almeida;;;;;;
2;9elhnfsovx9efu5f92mkkls7o;6;6;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;DC;C. Pearson;;;;;;
3;8warl67c0id3dorr48mn7h82c;7;8;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;DMC;G. De Libera;;;;;;
3;37zynr7fwzqg4c9w5ydefywyy;8;10;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;DMC;A. González;;;;9xdf8s18m2ldjc76knczksh78;86,0;2,0
4;8r9uj94efpwgpyin2ol87z0us;9;47;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;AMC;M. Saad;;;;cc7auv8d89ohifqg7qwz62mwa;74,0;2,0
4;9jy9vyn7y1bomsbjhjujynb4k;10;20;17;5b4ccd62yeeqdl2qk6jzsmjv8;bxnt8whbk4dag6gjclgqy232s;away;1;AMC;N. Rincon;;;;290iohuheoqdrdocbg25ipgk4;74,0;2,0
