id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_PlayerPosition;value_JerseyNumber;value_TeamKit;value_Involved;value_DirectionOfPlay;value_Length;value_PassEndX;value_PassEndY;value_Angle;value_KickOff;value_Zone;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_TouchTypeControl;value_Cross;value_Chipped;value_RightFooted;value_OutSwinger;value_Head;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Overrun;value_TakeOnSpace;value_TouchTypeClearance;value_NextEventGoalKick;value_Low;value_GoalKick;value_FlickOn;value_Foul;value_Shove/Push;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_OutOfPlay;value_HighGkIntervention;value_KeeperThrow;value_AerialFoul;value_DeletedEventType;value_InSwinger;value_MediumGkIntervention;value_TakeOnOvertake;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_GkY;value_GoalmouthZ;value_FirstTouch;value_BigChance;value_RelatedEventId;value_BoxCentre;value_Assisted;value_Left;value_GkX;value_RegularPlay;value_Injury;value_InjuredPlayerId;value_LeftFooted;value_High;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_LayOff;value_OtherObstacle;value_BallHitsReferee;value_OverhitCross;value_LowLeft;value_Deflection;value_BlockedX;value_BlockedY;value_Collected;value_Hands;value_LowGkIntervention;value_Diving;value_NotVisible;value_GkKickFromHands;value_LeadingToAttempt;value_RelatedError1Id;value_LowCentre;value_NotAssisted;value_OutOfBoxCentre;value_IndividualPlay;value_ParriedDanger;value_Standing;value_Fumble;value_Volley;value_Caught;value_TouchTypePass;value_BlockedPass;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BlockedCross;value_HighClaim;value_SetPiece;value_ParriedSafe;value_PlayersCaughtOffside;value_Indirect;value_RedCard;value_SeriousFoul;value_SwitchOfPlay;value_CornerTaken;value_Minutes;value_Right;value_BoxLeft;value_EndType;value_GkChallenge;value_NotPastGoalLine;value_SmallBoxRight;value_Stooping;value_Feet;value_Unchallenged;value_OverArm;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_Blocked;value_SixYardBlocked;value_HitBar;value_LowRight;value_SavedOffLine;value_HitWoodwork;value_DefBlock;value_LastLine;value_CloseLeft;value_Tactical;value_FantasyAssistId;value_FantasyAssistedBy;value_SmallBoxCentre;value_OwnGoal;value_FromCorner;value_FantasyAssistTeam;value_FantasyAssistType;value_FastBreak;value_CloseRight;value_RecklessOffence;value_ThroughBall;value_BoxRight;value_GoalDisallowed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2665860417;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-03-31T20:10:05.742Z;2024-03-31T21:05:54Z;[{'id': 4913330633, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913330627, 'qualifierId': 130, 'value': '8'}, {'id': 4913330631, 'qualifierId': 194, 'value': '910fd7rfysvvfzp2s1ywna5pm'}, {'id': 4913330629, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913330623, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4913330625, 'qualifierId': 59, 'value': '31, 20, 99, 49, 40, 50, 41, 43, 80, 46, 75, 33, 55, 56, 64, 71, 72, 77'}, {'id': 4913490771, 'qualifierId': 197, 'value': '15002'}, {'id': 4913330621, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 272xwghmibw1wnptcoz6xpex, 7zkzjmk1go1u2vi5qkqlmezu, 3dyn7hheqvs3gm3m84jrra9lg, 910fd7rfysvvfzp2s1ywna5pm, 9ulwk81vyj5rbz88h62i2ejv8, 5jigl7kp5d2i5ws1602jm7n1m, dpedfgxin5nc4qmziaokpmiy2, f2nvagw4mjjpn1ytj6rdl5ene, 9k050zmkegfu3gdw2b4g4uwwk, en6q7ddrr22sz6knipkbqhyw9, 2dqtrnq0k1fphyw71yh41gvtg, 37vbc16ejxmfkssydcdxq69zo, 92oqt9q51us5rpmqmvvrdso6i, 632mpv8dpnxjm69f8ip1e4l5g, 7h6a0x05z2laewfq7spicxwd0, bbnk87q7t8pahznohwjjcvu5m, 8bwjj53jwbsi0emx370uka5g4'}];;;;;byfyjpq6t48f2agr97gz7mr6c;Team set up;;8,0;;;;;15002,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2665869843;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-03-31T20:27:13.517Z;2024-03-31T23:13:33Z;[{'id': 4913388597, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4913773141, 'qualifierId': 194, 'value': '1yohdc0hkzkom8hlhw3rjfn8q'}, {'id': 4913388601, 'qualifierId': 130, 'value': '4'}, {'id': 4913491887, 'qualifierId': 197, 'value': '12783'}, {'id': 4913388599, 'qualifierId': 59, 'value': '36, 33, 35, 98, 28, 42, 38, 80, 67, 47, 70, 31, 39, 41, 52, 74, 77, 81, 90, 99'}, {'id': 4913388595, 'qualifierId': 30, 'value': '8xpddjq19wzsf3mdlnjdx6e7e, 1yohdc0hkzkom8hlhw3rjfn8q, 5n0su1a4r7kb7it3ghxbhrf56, vhjelesjaxtgjcgfv7yxp2lm, 4cfvnypovkt900sfxmdhvxtec, 9jczt268kcld72pk5ho4xpzsa, 3tkdn8arq1j3il4ako7rcio2y, 1pm343qga3zwdbrjngpeqhtnu, i15xuf6lug0m5twd06n2pus4, 4oz12ku4mdjsq7y4sgogpwg2y, 32t6g252ti1peycjite40qiy2, bhhdcubw5vyxzf0lc1fcfftka, a8ngovgs2qfu5udzb97kelg16, ek7grk7is4cp4o6zuqqtkyej8, c7luarkv7hwdspd9xhidhisk4, 1wa60ccrpw2zqguj4ayeeacyc, 4sw7pq7xhnf7pqii16lhtf7ro, da8l0zjb57m23t0nsz9e3j40k, 2gawx03wls5vwtlocjir3u7vu, cqmvrx028gh19yh8qh7w01y0a'}, {'id': 4913388605, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913388603, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;byfyjpq6t48f2agr97gz7mr6c;Team set up;;4,0;;;;;12783,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2665886405;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-03-31T21:03:35.742Z;2024-03-31T21:03:36Z;[{'id': 4913484875, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;byfyjpq6t48f2agr97gz7mr6c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2665886407;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-03-31T21:03:35.742Z;2024-04-04T07:58:35Z;[{'id': 4913484885, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;byfyjpq6t48f2agr97gz7mr6c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2665886421;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;49,9;50,0;2024-03-31T21:03:35.743Z;2024-03-31T21:03:40Z;[{'id': 4913484957, 'qualifierId': 212, 'value': '20.6'}, {'id': 4913484953, 'qualifierId': 140, 'value': '30.4'}, {'id': 4913484955, 'qualifierId': 141, 'value': '46.4'}, {'id': 4913484959, 'qualifierId': 213, 'value': '3.26'}, {'id': 4913484961, 'qualifierId': 279, 'value': 'S'}, {'id': 4913484951, 'qualifierId': 56, 'value': 'Back'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;byfyjpq6t48f2agr97gz7mr6c;Pass;;;;;;;;;;20,6;30,4;46,4;3,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;30,4;46,4;;;;;;;0;0;0;0;Sporting KC II;0;FW;1,0
2665886437;4;1;1;0;4;dqx48fglv1l96cyrmjdod0xec;0;31,1;47,5;2024-03-31T21:03:39.766Z;2024-03-31T21:03:44Z;[{'id': 4913485055, 'qualifierId': 157}, {'id': 4913485065, 'qualifierId': 213, 'value': '0.41'}, {'id': 4913485059, 'qualifierId': 140, 'value': '71.6'}, {'id': 4913485063, 'qualifierId': 212, 'value': '46.4'}, {'id': 4913485061, 'qualifierId': 141, 'value': '74.8'}, {'id': 4913485057, 'qualifierId': 56, 'value': 'Center'}, {'id': 4913485067, 'qualifierId': 1}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;byfyjpq6t48f2agr97gz7mr6c;Pass;;;;;;;;;;46,4;71,6;74,8;0,41;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;71,6;74,8;;;;;;;0;0;0;4;Sporting KC II;4;DL;1,0
2665886435;3;44;1;0;6;7fbej4xwoq4imaf5l39304m37;1;30,2;24,6;2024-03-31T21:03:42.690Z;2024-03-31T21:03:45Z;[{'id': 4913485047, 'qualifierId': 56, 'value': 'Back'}, {'id': 4913485105, 'qualifierId': 233, 'value': '5'}, {'id': 4913485049, 'qualifierId': 285}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;byfyjpq6t48f2agr97gz7mr6c;Aerial;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;6;St. Louis City II;6;DR;1,0
2665886441;5;44;1;0;6;dqx48fglv1l96cyrmjdod0xec;0;69,8;75,4;2024-03-31T21:03:42.691Z;2024-03-31T21:06:07Z;[{'id': 4913485085, 'qualifierId': 56, 'value': 'Center'}, {'id': 4913485121, 'qualifierId': 233, 'value': '3'}, {'id': 4913485087, 'qualifierId': 286}];9k050zmkegfu3gdw2b4g4uwwk;C. Glover;;;byfyjpq6t48f2agr97gz7mr6c;Aerial;;;;;;;;;;;;;;;;;;3,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;6;Sporting KC II;6;AMC;1,0
2665886451;4;1;1;0;7;7fbej4xwoq4imaf5l39304m37;1;32,0;24,1;2024-03-31T21:03:43.134Z;2024-03-31T21:03:45Z;[{'id': 4913485129, 'qualifierId': 3}, {'id': 4913485137, 'qualifierId': 212, 'value': '5.6'}, {'id': 4913485139, 'qualifierId': 213, 'value': '5.65'}, {'id': 4913485135, 'qualifierId': 141, 'value': '19.2'}, {'id': 4913485133, 'qualifierId': 140, 'value': '36.3'}, {'id': 4913485131, 'qualifierId': 56, 'value': 'Back'}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;byfyjpq6t48f2agr97gz7mr6c;Pass;;;;;;;;;;5,6;36,3;19,2;5,65;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;36,3;19,2;;;;;;;0;0;0;7;St. Louis City II;7;DR;1,0
2665886455;5;49;1;0;9;7fbej4xwoq4imaf5l39304m37;1;34,3;11,6;2024-03-31T21:03:45.582Z;2024-03-31T21:03:45Z;[];3tkdn8arq1j3il4ako7rcio2y;M. Goumballe;;;byfyjpq6t48f2agr97gz7mr6c;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;9;St. Louis City II;9;MC;1,0
