field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;ab8jzmb5h0lh7mt66h3zgm5ex;1;31;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;GK;B. Scott;;;;;;
2;7x3sqcf8wtq2qwyqcbv2itw8a;2;19;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;DR;M. Cuevas;;;;2vq2t4ttpcwey95jzofd60qy2;84,0;2,0
2;4blue6g56i3t9iffjcmjs6hhw;3;50;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;DC;R. Dalgado;;;;;;
3;1o0ew8fp44fuo3o7c8ef8pd2i;4;21;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;MC;T. Lepley;;;;;;
2;e7q60ne93c6289xwnt9zj65wq;5;12;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;DL;M. Ferkranus;;;;cap9cd2acljdjbbdmt7zb3uvo;84,0;2,0
2;e23yyl43xtcve09dx234uuj8;6;51;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;DC;A. Essengue;;;;;;
3;5iy3sz4b3mokizd2qlcskl5d6;7;18;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;MR;J. Pérez;;;;;;
3;c44bkncqmptribnxki1dyppbe;8;52;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;MC;I. Parente;;;;2eoftsi3eznjjmhu8ybft11ck;84,0;2,0
4;5zawuirp825t4brhaj90k9duy;9;61;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;FW;S. Karani;;;;1kl9112b8rcbr3k1s5hs353x0;69,0;2,0
4;4o8ulvahxfb06x5xhvflvwhzo;10;84;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;FW;R. Ramos;;;;4283da2hccprbybkv4nvmos2c;96,0;2,0
3;b4hm7o0o1tlssg0aa1psm704q;11;30;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;ML;G. Vivi;;;;byzzgz3ix7vuh6c3hqf7580lw;84,0;2,0
5;2vq2t4ttpcwey95jzofd60qy2;0;47;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;Sub;C. Klein;7x3sqcf8wtq2qwyqcbv2itw8a;84,0;2,0;;;
5;al111zqt4j4b3yg8064d9cep6;0;48;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;Sub;;;;;;;
5;cap9cd2acljdjbbdmt7zb3uvo;0;55;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;Sub;C. Diaz;e7q60ne93c6289xwnt9zj65wq;84,0;2,0;;;
5;e6ocmgjfubq6qvg4wfp8zipsk;0;67;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;Sub;;;;;;;
5;2eoftsi3eznjjmhu8ybft11ck;0;72;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;Sub;N. Schelotto;c44bkncqmptribnxki1dyppbe;84,0;2,0;;;
5;1kl9112b8rcbr3k1s5hs353x0;0;29;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;Sub;A. Bibout;5zawuirp825t4brhaj90k9duy;69,0;2,0;;;
5;byzzgz3ix7vuh6c3hqf7580lw;0;74;2;8ijkk62897so5r3bq0wgwx4bu;bz6mhqvaqwbfrycmf8navzq50;home;1;Sub;S. Villalpando;b4hm7o0o1tlssg0aa1psm704q;84,0;2,0;;;
