field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;ab8jzmb5h0lh7mt66h3zgm5ex;1;31;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;GK;B. Scott;;;;;;
2;7x3sqcf8wtq2qwyqcbv2itw8a;2;19;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;DR;M. Cuevas;;;;5zawuirp825t4brhaj90k9duy;63,0;2,0
2;4blue6g56i3t9iffjcmjs6hhw;3;50;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;DC;R. Dalgado;;;;;;
3;1o0ew8fp44fuo3o7c8ef8pd2i;4;21;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;MC;T. Lepley;;;;;;
2;2vq2t4ttpcwey95jzofd60qy2;5;47;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;DL;C. Klein;;;;;;
2;e23yyl43xtcve09dx234uuj8;6;51;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;DC;A. Essengue;;;;;;
3;5iy3sz4b3mokizd2qlcskl5d6;7;18;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;AMR;J. Pérez;;;;7suq9shgwa8fyip80f1zy1mhg;64,0;2,0
3;c44bkncqmptribnxki1dyppbe;8;52;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;MC;I. Parente;;;;;;
4;1kl9112b8rcbr3k1s5hs353x0;9;29;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;FW;A. Bibout;;;;;;
3;4o8ulvahxfb06x5xhvflvwhzo;10;84;8;8ijkk62897so5r3bq0wgwx4bu;c1s7c9syq29pxh0uts7w83xuc;home;1;AMC;R. Ramos;;;;;;
