id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Resume;value_TeamPlayerFormation;value_JerseyNumber;value_Involved;value_PlayerPosition;value_Captain;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Length;value_PassEndY;value_Zone;value_Angle;value_IntendedTackleTarget;value_TouchTypePass;value_Offensive;value_OppositeRelatedEventId;value_BlockedPass;value_Defensive;value_Chipped;value_HeadPass;value_LongBall;value_Launch;value_FlickOn;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_TakeOnOvertake;value_TouchTypeClearance;value_Head;value_Assist;value_BlockedY;value_GoalmouthZ;value_BoxDeepLeft;value_LowLeft;value_GoalmouthY;value_BlockedX;value_IndividualPlay;value_RegularPlay;value_RelatedEventId;value_RightFooted;value_Assisted;value_Hands;value_LowGkIntervention;value_Collected;value_Standing;value_OverArm;value_KeeperThrow;value_DeletedEventType;value_PlayersCaughtOffside;value_Indirect;value_NextEventGoalKick;value_GoalKick;value_Low;value_Shove/Push;value_IntentionalAssist;value_LowRight;value_BoxRight;value_MediumGkIntervention;value_Diving;value_ParriedSafe;value_Left;value_Right;value_InSwinger;value_Cross;value_LeftFooted;value_CornerTaken;value_GkY;value_SmallBoxLeft;value_FirstTouch;value_BigChance;value_SavedOffLine;value_FromCorner;value_SixYardBlocked;value_Blocked;value_GkX;value_LastLine;value_DefBlock;value_HighCentre;value_NotAssisted;value_Weak;value_Volley;value_Reaching;value_GkKickFromHands;value_Straight;value_DrivenCross;value_OutSwinger;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_SmallBoxCentre;value_HighLeft;value_GkXTimeOfGoal;value_GoalShotGameClock;value_TakeOnSpace;value_BlockedCross;value_Overrun;value_TouchTypeControl;value_LayOff;value_Defensive1V1;value_AttemptedTackle;value_LowCentre;value_OutOfBoxCentre;value_HighGkIntervention;value_HighClaim;value_OutOfBoxDeepLeft;value_BoxCentre;value_SwerveRight;value_FastBreak;value_NotPastGoalLine;value_BlockedClearance;value_YellowCard;value_TacticalFoul;value_NotVisible;value_Argument;value_Minutes;value_High;value_CloseRight;value_EndType;value_PullBack;value_PersistentInfringement;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BoxLeft;value_BoxDeepRight;value_InjuredPlayerId;value_Injury;value_HitBar;value_HitWoodwork;value_SmallBoxRight;value_GkHoof;value_SwitchOfPlay;value_AerialFoul;value_Feet;value_Stooping;value_OverhitCross;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2670941857;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-04-11T19:06:01.452Z;2024-04-11T20:10:44Z;[{'id': 4940751475, 'qualifierId': 130, 'value': '3'}, {'id': 4940751479, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4940751477, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4940751473, 'qualifierId': 59, 'value': '76, 30, 39, 22, 58, 29, 24, 41, 77, 55, 56, 36, 38, 42, 53, 57, 73, 88, 98'}, {'id': 4940751469, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 15v2azulwhof0p216i7bjp250, 2qz3ojbfedl8psp1tvq0183ro, 81w1fqi66z0ibawynhraybaxg, 872ifpo3qufi9vv9vy7ty6uj8, a3qa9kw3vbh8nu5mgns92czro, 993vihjmsn70q9w237fatzgbu, 45v94x6b8g7n4xa3lsfdp6pzo, 9j3va21w5i9ypf8qmt4g1vggk, 434xf7moiduhzy9ivp7jxr10, 7bodno8j3qjiqp9wy8kobwmqc, dvems493n5l4twsq6cq2fg26s, cjhjwaelyypl3ca9gpzu61vys, 5aszabja459117mqykvfpajh0, 4mb9s3hglzgfoswleene9mvo, 1ceqwz4ozqi6ft5l4hf5a04r8, 6b06fd4bvym4odelp7csbbtp0, cbpm8k301adrmft5fd0kaeiuh, c59pt9nvdpxlp6xvs78un16hg'}, {'id': 4940751471, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4940855615, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 4940841799, 'qualifierId': 197, 'value': '23610'}];;;;;c42ksaqo5b2tsbffqiqci9btg;Team set up;3,0;;;;;;;23610,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;Orlando City B;0;;
2670942687;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-04-11T19:08:14.349Z;2024-04-11T20:10:50Z;[{'id': 4940855823, 'qualifierId': 197, 'value': '16418'}, {'id': 4940756345, 'qualifierId': 59, 'value': '50, 30, 96, 53, 28, 68, 32, 56, 23, 49, 34, 29, 48, 59, 62, 64, 95, 97, 99'}, {'id': 4940756351, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4940756349, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4940855821, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 4940756343, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4940756347, 'qualifierId': 130, 'value': '8'}, {'id': 4940756341, 'qualifierId': 30, 'value': 'c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 37uh4n2zngcixlzo8vnk50vtg, i5wj5hcg2r9934e7gauxtgmi, cqlc423f6bid2uy3togwkvlgq, 4jkf81djj5h43v8rlnib1tizu, aa4v8xfn3ra4digk5h7gdrbze, 9bv0zjyrsopyv3hw8m47sgr9w, 7tpb4dk9meee0utyu4cosnxn8, p99ze5cksh5tv01knf5oj33e, abemsr9zh7bklu5jboks5ivpw, 2wsgrwgiotfis2l96i0sxlvys, 2meqkx9av039q3cvedrp6jg4q, c2b6h5zwjvzdvdcybyuqd6exg, 595bi39ikp8s9sfw6q5981mvo, 4ulfw4ik3i6ks2t7utgek5l3o, 25rizu4n91uyax4z6l5jv6dqs, 9g0pycttkbuyuetispcb2hij8, 8h2vywep73yn25kus2nda8ga2'}];;;;;c42ksaqo5b2tsbffqiqci9btg;Team set up;8,0;;;;;;;16418,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2670958007;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-04-11T20:03:44.719Z;2024-04-16T16:04:56Z;[{'id': 4940842421, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c42ksaqo5b2tsbffqiqci9btg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;Orlando City B;0;;
2670958011;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-04-11T20:03:44.719Z;2024-04-11T20:03:47Z;[{'id': 4940842435, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c42ksaqo5b2tsbffqiqci9btg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2670958021;3;1;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;50,0;50,0;2024-04-11T20:03:44.720Z;2024-04-11T20:03:48Z;[{'id': 4940842505, 'qualifierId': 279, 'value': 'S'}, {'id': 4940842497, 'qualifierId': 140, 'value': '39.5'}, {'id': 4940842501, 'qualifierId': 212, 'value': '15.4'}, {'id': 4940842499, 'qualifierId': 141, 'value': '65.9'}, {'id': 4940842495, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940842503, 'qualifierId': 213, 'value': '2.37'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;39,5;15,4;65,9;;2,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;39,5;65,9;;;;;;;;0;0;0;Philadelphia Union II;0;FW;1,0
2670958035;4;1;1;0;3;479lsfr4cwlzewpbuda3y2xv4;1;44,4;74,0;2024-04-11T20:03:48.520Z;2024-04-11T20:03:51Z;[{'id': 4940842631, 'qualifierId': 212, 'value': '19.5'}, {'id': 4940842633, 'qualifierId': 213, 'value': '0.79'}, {'id': 4940842625, 'qualifierId': 56, 'value': 'Left'}, {'id': 4940842629, 'qualifierId': 141, 'value': '94.4'}, {'id': 4940842627, 'qualifierId': 140, 'value': '57.4'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;57,4;19,5;94,4;;0,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;57,4;94,4;;;;;;;;0;0;3;Philadelphia Union II;3;AMC;1,0
2670958045;5;1;1;0;6;479lsfr4cwlzewpbuda3y2xv4;1;57,5;93,6;2024-04-11T20:03:51.704Z;2024-04-11T20:03:55Z;[{'id': 4940842685, 'qualifierId': 140, 'value': '35.9'}, {'id': 4940842689, 'qualifierId': 212, 'value': '22.7'}, {'id': 4940842691, 'qualifierId': 213, 'value': '3.17'}, {'id': 4940842687, 'qualifierId': 141, 'value': '92.7'}, {'id': 4940842683, 'qualifierId': 56, 'value': 'Back'}];abemsr9zh7bklu5jboks5ivpw;Y. Tsukada;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;35,9;22,7;92,7;;3,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;35,9;92,7;;;;;;;;0;0;6;Philadelphia Union II;6;AML;1,0
2670958051;6;1;1;0;10;479lsfr4cwlzewpbuda3y2xv4;1;34,2;87,5;2024-04-11T20:03:55.159Z;2024-04-11T20:03:56Z;[{'id': 4940842703, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940842707, 'qualifierId': 141, 'value': '71.4'}, {'id': 4940842711, 'qualifierId': 213, 'value': '5.11'}, {'id': 4940842705, 'qualifierId': 140, 'value': '38.6'}, {'id': 4940842709, 'qualifierId': 212, 'value': '11.9'}];37uh4n2zngcixlzo8vnk50vtg;Z. Taifi;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;38,6;11,9;71,4;;5,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;38,6;71,4;;;;;;;;0;0;10;Philadelphia Union II;10;DC;1,0
2670958059;7;1;1;0;11;479lsfr4cwlzewpbuda3y2xv4;1;34,8;67,4;2024-04-11T20:03:56.279Z;2024-04-11T20:04:00Z;[{'id': 4940842787, 'qualifierId': 213, 'value': '3.21'}, {'id': 4940842783, 'qualifierId': 141, 'value': '66.0'}, {'id': 4940842779, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940842781, 'qualifierId': 140, 'value': '22.2'}, {'id': 4940842785, 'qualifierId': 212, 'value': '13.3'}];9bv0zjyrsopyv3hw8m47sgr9w;C. Guske;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;22,2;13,3;66,0;;3,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;22,2;66,0;;;;;;;;0;0;11;Philadelphia Union II;11;MC;1,0
2670958073;8;1;1;0;16;479lsfr4cwlzewpbuda3y2xv4;1;27,3;48,7;2024-04-11T20:04:00.792Z;2024-04-11T20:04:04Z;[{'id': 4940842827, 'qualifierId': 141, 'value': '20.3'}, {'id': 4940842823, 'qualifierId': 56, 'value': 'Back'}, {'id': 4940842831, 'qualifierId': 213, 'value': '4.84'}, {'id': 4940842825, 'qualifierId': 140, 'value': '29.7'}, {'id': 4940842829, 'qualifierId': 212, 'value': '19.5'}];4jkf81djj5h43v8rlnib1tizu;T. Williams;;;c42ksaqo5b2tsbffqiqci9btg;Pass;;;;;;;;;;;29,7;19,5;20,3;;4,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;29,7;20,3;;;;;;;;0;0;16;Philadelphia Union II;16;DC;1,0
