id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_JerseyNumber;value_Captain;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_Angle;value_PassEndX;value_KickOff;value_Zone;value_Length;value_PassEndY;value_Launch;value_LongBall;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_Low;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_TouchTypePass;value_Defensive;value_Chipped;value_HeadPass;value_LayOff;value_DeletedEventType;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_OutOfPlay;value_TouchTypeClearance;value_AttemptedTackle;value_RightFooted;value_InSwinger;value_Cross;value_SwitchOfPlay;value_TakeOnOvertake;value_Overrun;value_FlickOn;value_LeftFooted;value_Head;value_Left;value_CornerTaken;value_Assist;value_GkY;value_RelatedEventId;value_GoalmouthZ;value_OutOfBoxCentre;value_GoalmouthY;value_FromCorner;value_Assisted;value_IndividualPlay;value_GkX;value_High;value_BlockedPass;value_IntentionalAssist;value_BlockedX;value_HighCentre;value_1On1;value_BoxDeepRight;value_RegularPlay;value_BlockedY;value_BigChance;value_Sliding;value_ParriedDanger;value_MediumGkIntervention;value_OtherBodyPart;value_NotAssisted;value_MisHit;value_Right;value_FirstTouch;value_BoxRight;value_NotVisible;value_LowGkIntervention;value_GkHoof;value_TakeOnSpace;value_KeeperThrow;value_IntendedTackleTarget;value_TouchTypeControl;value_PullBack;value_BoxCentre;value_Shove/Push;value_RecklessOffence;value_YellowCard;value_DrivenCross;value_Straight;value_OutSwinger;value_OverhitCross;value_Handball;value_LowRight;value_Collected;value_Stooping;value_Hands;value_FloatedCross;value_HighRight;value_SmallBoxCentre;value_TimeWasting;value_PlayersCaughtOffside;value_LowCentre;value_ParriedSafe;value_Diving;value_Injury;value_InjuredPlayerId;value_Reaching;value_HighGkIntervention;value_BoxLeft;value_AerialFoul;value_HighClaim;value_Minutes;value_CloseHigh;value_EndType;value_IncorrectOutOfPlayDecision;value_Standing;value_TacticalFoul;value_LastLine;value_OwnPlayer;value_LowLeft;value_Blocked;value_SixYardBlocked;value_OwnShotBlocked;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GoalShotGameClock;value_Volley;value_GkXTimeOfGoal;value_HighLeft;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_DefBlock;value_GkKickFromHands;value_Indirect;value_GkChallenge;value_FastBreak;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2671365917;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-04-13T00:04:42.315Z;2024-04-13T02:00:50Z;[{'id': 4943042799, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9yldym4386a2icfk6qb6i90r8, 2yxzh220ndd4s4wqditruo0h6, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, elvrjpt1jlko4henaqvfid7o4, 641bsr9un81t6sds51fhvijh0, 3cbmr8hg3kszw5wl04p3ol27e, 9nlw8tihbzfnvkt5uproa79jo, 7nxqbiq6fics5w3qnwhz249as, 4521gkm1oemvrfsgksz7b6zxm, 22lsn0v0bw7fd9cu6mft0j1ii, 35ds2xu43z6jccyhlr8jsomzu, dcypf9mqtlcn5wetj1z7g3mui, 3dtt0czm41hnuw8mvyn14ys4, 5rusq0uqak1y920vdwpg2f190, 6y4dhco5w4ontgfdtl1oj06xg'}, {'id': 4943042803, 'qualifierId': 59, 'value': '1, 2, 25, 6, 4, 5, 18, 30, 32, 10, 19, 3, 8, 9, 14, 17, 20, 33, 35, 36'}, {'id': 4943187685, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 4943042809, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4943042807, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4943042801, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4943042805, 'qualifierId': 130, 'value': '4'}, {'id': 4943108679, 'qualifierId': 197, 'value': '23347'}];;;;;c4fzgi1aoe6nkx3h58nk25zpw;Team set up;;;;;;;4,0;23347,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2671366265;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-04-13T00:06:37.358Z;2024-04-13T01:12:23Z;[{'id': 4943044853, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 2dqtrnq0k1fphyw71yh41gvtg, 7zkzjmk1go1u2vi5qkqlmezu, dpedfgxin5nc4qmziaokpmiy2, 910fd7rfysvvfzp2s1ywna5pm, bbnk87q7t8pahznohwjjcvu5m, en6q7ddrr22sz6knipkbqhyw9, 3dyn7hheqvs3gm3m84jrra9lg, 5jigl7kp5d2i5ws1602jm7n1m, f2nvagw4mjjpn1ytj6rdl5ene, 9gswafduy82n4o6f0uk0khhck, 9k050zmkegfu3gdw2b4g4uwwk, 92oqt9q51us5rpmqmvvrdso6i, 632mpv8dpnxjm69f8ip1e4l5g, up1kju28upwea6qzngeh7j84, 7h6a0x05z2laewfq7spicxwd0, 8bwjj53jwbsi0emx370uka5g4, 4eh46qse8ocmutobremniuolw'}, {'id': 4943110019, 'qualifierId': 197, 'value': '15030'}, {'id': 4943044859, 'qualifierId': 130, 'value': '2'}, {'id': 4943044857, 'qualifierId': 59, 'value': '31, 33, 99, 43, 40, 72, 75, 49, 41, 80, 59, 46, 56, 64, 66, 71, 77, 94'}, {'id': 4943044861, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4943044863, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4943044855, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4943119525, 'qualifierId': 194, 'value': '910fd7rfysvvfzp2s1ywna5pm'}];;;;;c4fzgi1aoe6nkx3h58nk25zpw;Team set up;;;;;;;2,0;15030,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Austin II;0;;
2671377807;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-04-13T01:04:04.978Z;2024-04-16T11:27:30Z;[{'id': 4943110837, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c4fzgi1aoe6nkx3h58nk25zpw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2671377809;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-04-13T01:04:04.978Z;2024-04-13T01:04:08Z;[{'id': 4943110843, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c4fzgi1aoe6nkx3h58nk25zpw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Austin II;0;;
2671377811;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;50,0;50,0;2024-04-13T01:04:05.171Z;2024-04-13T01:04:07Z;[{'id': 4943110861, 'qualifierId': 213, 'value': '3.45'}, {'id': 4943110855, 'qualifierId': 140, 'value': '28.7'}, {'id': 4943110863, 'qualifierId': 279, 'value': 'S'}, {'id': 4943110853, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943110859, 'qualifierId': 212, 'value': '23.4'}, {'id': 4943110857, 'qualifierId': 141, 'value': '39.7'}];5jigl7kp5d2i5ws1602jm7n1m;J. Klein;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;3,45;28,7;;;23,4;39,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;28,7;39,7;;;;;;;0;0;0;0;Austin II;0;FW;1,0
2671377823;4;1;1;0;3;dqx48fglv1l96cyrmjdod0xec;0;33,0;34,9;2024-04-13T01:04:08.262Z;2024-04-13T01:04:13Z;[{'id': 4943110965, 'qualifierId': 212, 'value': '79.1'}, {'id': 4943110959, 'qualifierId': 56, 'value': 'Left'}, {'id': 4943110957, 'qualifierId': 157}, {'id': 4943110969, 'qualifierId': 1}, {'id': 4943110961, 'qualifierId': 140, 'value': '100.0'}, {'id': 4943110967, 'qualifierId': 213, 'value': '0.46'}, {'id': 4943110963, 'qualifierId': 141, 'value': '86.5'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;0,46;100,0;;;79,1;86,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;100,0;86,5;;;;;;;0;0;0;3;Austin II;3;DL;1,0
2671377827;3;5;1;0;8;d0c07im4a6oj8qa7f1zlt3pqs;1;-0,8;18,3;2024-04-13T01:04:13.457Z;2024-04-13T01:22:07Z;[{'id': 4943110981, 'qualifierId': 346}, {'id': 4943110979, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943110983, 'qualifierId': 233, 'value': '5'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;c4fzgi1aoe6nkx3h58nk25zpw;Out;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;0;0;0;8;St. Louis City II;8;DL;1,0
2671377825;5;5;1;0;8;dqx48fglv1l96cyrmjdod0xec;0;100,8;81,7;2024-04-13T01:04:13.457Z;2024-04-13T01:04:15Z;[{'id': 4943110975, 'qualifierId': 56, 'value': 'Left'}, {'id': 4943110977, 'qualifierId': 346}, {'id': 4943110987, 'qualifierId': 233, 'value': '3'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;c4fzgi1aoe6nkx3h58nk25zpw;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;8;Austin II;8;DL;1,0
2671377829;4;1;1;0;18;d0c07im4a6oj8qa7f1zlt3pqs;1;4,2;41,8;2024-04-13T01:04:23.114Z;2024-04-13T01:11:34Z;[{'id': 4943111073, 'qualifierId': 141, 'value': '51.3'}, {'id': 4943111077, 'qualifierId': 213, 'value': '1.62'}, {'id': 4943111071, 'qualifierId': 140, 'value': '3.9'}, {'id': 4943111067, 'qualifierId': 124}, {'id': 4943111069, 'qualifierId': 56, 'value': 'Back'}, {'id': 4943111081, 'qualifierId': 237}, {'id': 4943111075, 'qualifierId': 212, 'value': '6.5'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;1,62;3,9;;;6,5;51,3;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;3,9;51,3;;;;;;;0;0;0;18;St. Louis City II;18;DL;1,0
2671377837;5;1;1;0;23;d0c07im4a6oj8qa7f1zlt3pqs;1;5,2;50,1;2024-04-13T01:04:28.176Z;2024-04-13T01:04:31Z;[{'id': 4943111145, 'qualifierId': 140, 'value': '10.9'}, {'id': 4943111151, 'qualifierId': 213, 'value': '1.23'}, {'id': 4943111149, 'qualifierId': 212, 'value': '18.2'}, {'id': 4943111147, 'qualifierId': 141, 'value': '75.3'}, {'id': 4943111143, 'qualifierId': 56, 'value': 'Back'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;c4fzgi1aoe6nkx3h58nk25zpw;Pass;;;;;;;;;;1,23;10,9;;;18,2;75,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;10,9;75,3;;;;;;;0;0;0;23;St. Louis City II;23;GK;1,0
