field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;ew3qxbn1ev1qv7wi0iwoc642c;1;32;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;GK;J. Burke;;;;;;
2;exunlng0cgo9bpqh4x6jpxyax;2;23;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;DR;J. Williams;;;;2d3dwhrtafkd1b8q1nzerqew9;65,0;2,0
2;1h5rgsol19v1pcl5ksstrv9t6;3;22;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;DC;M. Garvanian;;;;;;
3;4cwccglaxz5sf71eptnj6kzfu;4;8;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;MC;A. Jiménez;;;;;;
2;cpbyoj822ivx6qrqbkun1zr3d;5;5;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;DL;A. Prepeliţă;;;;;;
2;7e8xkqlux0myjc5cwtb7rega1;6;20;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;DC;D. Viáfara;;;;;;
3;at2xv960peboe9spoag2kn21g;7;33;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;MC;A. McGrath;;;;;;
3;5m8hxfvza21t4wfe6v0a18etw;8;10;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;MC;L. García;;;;6zbb5xiauoixj3clxdgud8lxw;65,0;2,0
4;a3eln6gas8765a3pn6ecqjvxm;9;9;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;FW;M. Ouamri;;;;246vnjq690m4ju1wkfrezlql1;81,0;2,0
4;82uh6ad46fvub9b0vfapw2vze;10;71;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;FWR;J. James;;;;adfocor2tbcmxo03ednm8vywa;75,0;2,0
4;4hdai9za2ls03tjpcw0ahu5wq;11;11;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;FWL;T. Gray;;;;9gk1m714ni2m8n26uybsgadey;81,0;2,0
5;2d3dwhrtafkd1b8q1nzerqew9;0;3;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;Sub;J. Pérez;exunlng0cgo9bpqh4x6jpxyax;65,0;2,0;;;
5;6zbb5xiauoixj3clxdgud8lxw;0;6;4;cwnjxlibb02fuh0vwgvac6h45;c4tg06bt5q3nd8ybr6vr38n4k;home;1;Sub;C. Watson;5m8hxfvza21t4wfe6v0a18etw;65,0;2,0;;;
