field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;dt797hve9mdpnuyy1z4pnpp1w;1;40;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;GK;A. De Rosario;;;;;;
3;5qfwg7j8xrfv19ouu4gvrs00k;2;95;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;DMR;N. Edwards;;;;5l9js12tsf18c7st0oac3swes;76,0;2,0
3;7w2rw1jd8ouhu8bbvswvysu8k;3;73;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;DML;J. Batiz;;;;;;
2;2figny7hhxiw29vizhlyta3o4;4;58;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;DC;Ythallo;;;;;;
2;8pvvljn4uasfjxdleh56pm38;5;51;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;DC;A. Pearlman;;;;;;
2;u5v1owoegnvaqvk214qlvh90;6;97;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;DC;T. Pusztahegyi;;;;d8u6lnk9lmbrgv9obcshpec8a;76,0;2,0
3;7z57s6veqr3k87quyd6i7fgx6;7;72;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;MC;M. Fisher;;;;;;
3;3wn0nn5q8g2mjzuc8yb4dvu2;8;71;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;MC;M. Cimermancic;;;;;;
4;c760g3hvhvi7nra7gpdrynn1m;9;82;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;FW;J. Altobelli;;;;51mr4jcfm42888lds1temurro;76,0;2,0
4;d5del7kcf1zgkd2uvhius8y22;10;38;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;FW;C. Sharp;;;;bx7d0ws7fi7iwgpi9ccomjehg;50,0;2,0
3;7q8y6gbmg9j75zgm3nhs3bfh0;11;68;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;AMC;L. Olguin;;;;;;
5;9n4pw401dtt30wlnwrxvads7o;0;80;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;Sub;;;;;;;
5;bje8wvncnbbx5w0l08uno88ru;0;70;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;Sub;;;;;;;
5;dfnus4g6zypd1xcec6x7p85ey;0;75;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;Sub;;;;;;;
5;e7tp50kohe1u9hts0geeh3578;0;76;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;Sub;;;;;;;
5;51mr4jcfm42888lds1temurro;0;84;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;Sub;P. Igbinobaro;c760g3hvhvi7nra7gpdrynn1m;76,0;2,0;;;
5;d8u6lnk9lmbrgv9obcshpec8a;0;85;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;Sub;M. Stojadinovic;u5v1owoegnvaqvk214qlvh90;76,0;2,0;;;
5;bx7d0ws7fi7iwgpi9ccomjehg;0;91;12;29nx7yxy1rdqv2oobqn5pjf8p;c5kex9ls9yntut3qugnj2mcd0;home;1;Sub;D. Barrow;d5del7kcf1zgkd2uvhius8y22;50,0;2,0;;;
