field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;76xo0u2yd2cqf8xdyh8rteqdw;1;57;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;GK;A. Rutkowski;;;;;;
2;o3gftw0hatp1r62ynjmlaaui;2;46;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;DR;D. Sullivan;;;;;;
2;92np3jwhxchmtfeov82ehe13o;3;42;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;DC;O. Valencia;;;;nhhmltlm3ayn7vqmp6etck5w;70,0;2,0
3;8u0efvao8rym6mdx0tl0h0qac;4;44;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;MC;A. Jarvis;;;;5u3ohty1lsm0fn2ltez4g7o5w;45,0;2,0
2;e2tuar1frliervcr2mnmvfspg;5;23;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;DL;A. O'Connor;;;;;;
2;4gp2d7oltfq4uwzj78gr6q9sk;6;50;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;DC;J. Collahuazo;;;;59kitnlge8bjsxmhy850bsutw;45,0;2,0
3;ov4fk38lrcculu6tdbnrto2c;7;90;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;MR;M. Dembele;;;;afqry84j23xgkhqryrontj190;45,0;2,0
3;a79oz5xhvq7gz2k2j20sa02dw;8;48;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;MC;R. Donkor;;;;;;
4;7ak1pv4uqkfa5cxsnthsjvfca;9;33;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;FW;R. Mitchell;;;;e4rpnf90oa672lcm8ego7vllg;61,0;2,0
4;8y7kqet5swj9dmqama0z5ngus;10;16;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;FW;J. Hall;;;;;;
3;8q2wozyqz4nveabn71hc614dm;11;65;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;ML;S. Sserwadda;;;;;;
5;nhhmltlm3ayn7vqmp6etck5w;0;24;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;C. Ofori;92np3jwhxchmtfeov82ehe13o;70,0;2,0;;;
5;59kitnlge8bjsxmhy850bsutw;0;34;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;J. Gutierrez;4gp2d7oltfq4uwzj78gr6q9sk;45,0;2,0;;;
5;gz9dek1oxgman9jslfku0zmy;0;35;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;;;;;;;
5;es0bxxdxf6bco25evmg19ic4;0;37;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;;;;;;;
5;e4rpnf90oa672lcm8ego7vllg;0;79;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;R. Mosquera;38p90lsdc5iv1jvjbhiinv6ne;61,0;2,0;;;
5;e4rpnf90oa672lcm8ego7vllg;0;79;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;R. Mosquera;7ak1pv4uqkfa5cxsnthsjvfca;61,0;2,0;;;
5;afqry84j23xgkhqryrontj190;0;82;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;I. Kasule;ov4fk38lrcculu6tdbnrto2c;45,0;2,0;;;
5;5u3ohty1lsm0fn2ltez4g7o5w;0;91;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;B. Estrela;8u0efvao8rym6mdx0tl0h0qac;45,0;2,0;;;
5;4akvdujqbywk628gok9xbh2j8;0;97;2;4g68p0t2f5jzhzfr67i2rj1ex;c6ord72m33u09aj050i1f3m6s;home;1;Sub;;;;;;;
1;12wcwqu2liyd0zv8ramcevh1w;1;70;11;8o8m08he36u0j4w08aj2iodn8;c6ord72m33u09aj050i1f3m6s;away;1;GK;P. Los;;;;;;
2;79knhnp7bvpjomzz14k715wtm;2;55;11;8o8m08he36u0j4w08aj2iodn8;c6ord72m33u09aj050i1f3m6s;away;1;DR;O. Glasgow;;;;;;
