id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Zone;value_Length;value_Chipped;value_LongBall;value_Launch;value_FlickOn;value_HeadPass;value_TouchTypePass;value_DeletedEventType;value_Assist;value_GoalmouthY;value_Left;value_IndividualPlay;value_OutOfBoxCentre;value_GkX;value_RightFooted;value_RelatedEventId;value_RegularPlay;value_GoalmouthZ;value_GkY;value_Assisted;value_IntendedTackleTarget;value_TakeOnOvertake;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_TouchTypeClearance;value_Defensive1V1;value_Foul;value_Shove/Push;value_Direct;value_FreeKick;value_NotAssisted;value_LowRight;value_BlockedY;value_SwerveLeft;value_BlockedX;value_Standing;value_HighGkIntervention;value_Hands;value_ParriedSafe;value_MediumGkIntervention;value_KeeperThrow;value_Head;value_OutSwinger;value_Cross;value_BoxRight;value_LowLeft;value_Diving;value_LowGkIntervention;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_TakeOnSpace;value_OutOfPlay;value_LayOff;value_IntentionalAssist;value_BoxCentre;value_GoalShotGameClock;value_GkYTimeOfGoal;value_FirstTouch;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BigChance;value_SwitchOfPlay;value_SmallBoxRight;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_CornerTaken;value_InSwinger;value_OverhitCross;value_LeftFooted;value_LowCentre;value_Blocked;value_DefBlock;value_OverArm;value_High;value_AttemptedTackle;value_FreeKickTaken;value_TouchTypeControl;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Volley;value_MisHit;value_YellowCard;value_TimeWasting;value_TacticalFoul;value_CloseLeft;value_NotPastGoalLine;value_RecklessOffence;value_SetPiece;value_DrinksBreak;value_RefereeDelay;value_Right;value_Overrun;value_ParriedDanger;value_HighCentre;value_Stooping;value_Collected;value_LastLine;value_Handball;value_SecondYellow;value_ShirtPull/Holding;value_Minutes;value_HighClaim;value_BlockedCross;value_BoxLeft;value_FromCorner;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_OtherObstacle;value_BallHitsReferee;value_Weak;value_ThroughBall;value_CloseLeftAndHigh;value_CloseRightAndHigh;value_FastBreak;value_InjuredPlayerId;value_Injury;value_Deflection;value_FollowsADribble;value_HighRight;value_HighLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673140305;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-04-14T21:29:51.329Z;2024-04-14T22:39:59Z;[{'id': 4952577799, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952577791, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, 1d43ue54zl1o9rvnwz5zfotm, azzpjrq2pndxuz0waw25p7r6y, 4uuq2zuhmlbg7kh85v5l8723u, 2jzuij8p7eoy42aqem688ltuy, 2wj1w4opn7f0jyz1ps6ebvc6i, 3c1xz4vpfoum0jbq6bmtdrtux, aa4ut2fmswha43fxnrxp1obo4, 7qt4r82kyz05r8kd8cmdh1xqs, 60ej9rpig6xzj1d80w0ki92i, 77kab5634937x4txa891wg2s4, e4vvdd1cn5ezrocpequewmwic, 9ph8wasuz3ndre586gople49g, 3my8ymhvy1bysbllwpoj3qctm, 22p6n3oird085u2kbkiqp4pg, bp0a3bvzsxokh4nu3bq96yx3o, n5otejqjssvxk3bzx06642z8, be85jzbz3ihrpyt6jvjs56oes, en1t9w6orptzi3v7odnawg8b8, 7yt2ddw0yntv9xq1hrv1jx05w'}, {'id': 4952577797, 'qualifierId': 130, 'value': '2'}, {'id': 4952671061, 'qualifierId': 197, 'value': '15044'}, {'id': 4952577795, 'qualifierId': 59, 'value': '1, 5, 11, 18, 6, 3, 10, 19, 21, 8, 15, 4, 9, 12, 17, 31, 35, 37, 39, 43'}, {'id': 4952766617, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 4952577801, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952577793, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;c7fwfgnk29e39p4ru70bsoe8k;Team set up;;;2,0;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2673142135;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-04-14T21:33:58.534Z;2024-04-14T22:48:28Z;[{'id': 4952670645, 'qualifierId': 197, 'value': '12783'}, {'id': 4952588981, 'qualifierId': 59, 'value': '36, 24, 33, 80, 28, 42, 98, 47, 99, 38, 70, 31, 39, 52, 67, 72, 74, 77, 90, 91'}, {'id': 4952588987, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952588979, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4952588985, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952786951, 'qualifierId': 194, 'value': '8xpddjq19wzsf3mdlnjdx6e7e'}, {'id': 4952588977, 'qualifierId': 30, 'value': '8xpddjq19wzsf3mdlnjdx6e7e, 44kah50v5w1on1mhbostzfrze, 1yohdc0hkzkom8hlhw3rjfn8q, 1pm343qga3zwdbrjngpeqhtnu, 4cfvnypovkt900sfxmdhvxtec, 9jczt268kcld72pk5ho4xpzsa, vhjelesjaxtgjcgfv7yxp2lm, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, 3tkdn8arq1j3il4ako7rcio2y, 32t6g252ti1peycjite40qiy2, bhhdcubw5vyxzf0lc1fcfftka, a8ngovgs2qfu5udzb97kelg16, c7luarkv7hwdspd9xhidhisk4, i15xuf6lug0m5twd06n2pus4, cjmhrw0kf73i17kxnrzipvpxw, 1wa60ccrpw2zqguj4ayeeacyc, 4sw7pq7xhnf7pqii16lhtf7ro, 2gawx03wls5vwtlocjir3u7vu, 3f52lf1p2xmtzysfi8n18m044'}, {'id': 4952588983, 'qualifierId': 130, 'value': '4'}];;;;;c7fwfgnk29e39p4ru70bsoe8k;Team set up;;;4,0;12783,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2673157997;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-04-14T22:04:18.639Z;2024-04-14T22:04:22Z;[{'id': 4952672687, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c7fwfgnk29e39p4ru70bsoe8k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2673157993;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-04-14T22:04:18.639Z;2024-04-18T12:02:48Z;[{'id': 4952672675, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c7fwfgnk29e39p4ru70bsoe8k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2673158003;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,1;50,1;2024-04-14T22:04:18.845Z;2024-04-14T22:04:22Z;[{'id': 4952672713, 'qualifierId': 213, 'value': '3.29'}, {'id': 4952672707, 'qualifierId': 140, 'value': '38.7'}, {'id': 4952672709, 'qualifierId': 141, 'value': '47.4'}, {'id': 4952672715, 'qualifierId': 279, 'value': 'S'}, {'id': 4952672705, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952672711, 'qualifierId': 212, 'value': '12.1'}];60ej9rpig6xzj1d80w0ki92i;G. Segal;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;3,29;38,7;47,4;;;12,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;38,7;47,4;;;;;;;0;0;0;0;Sporting KC II;0;FW;1,0
2673158035;4;1;1;0;3;7pmw399vh2v44cjle4fkklp1w;0;38,4;46,9;2024-04-14T22:04:22.211Z;2024-04-14T22:04:26Z;[{'id': 4952672897, 'qualifierId': 140, 'value': '84.9'}, {'id': 4952672899, 'qualifierId': 141, 'value': '17.9'}, {'id': 4952672901, 'qualifierId': 212, 'value': '52.7'}, {'id': 4952672903, 'qualifierId': 213, 'value': '5.90'}, {'id': 4952672895, 'qualifierId': 56, 'value': 'Right'}, {'id': 4952672893, 'qualifierId': 155}, {'id': 4952672905, 'qualifierId': 1}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;5,9;84,9;17,9;;;52,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;84,9;17,9;;;;;;;0;0;0;3;Sporting KC II;3;MC;1,0
2673158033;3;49;1;0;7;7fbej4xwoq4imaf5l39304m37;1;8,0;78,1;2024-04-14T22:04:26.198Z;2024-04-14T22:04:26Z;[];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;c7fwfgnk29e39p4ru70bsoe8k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;7;Houston Dynamo II;7;DC;1,0
2673158057;4;1;1;0;7;7fbej4xwoq4imaf5l39304m37;1;8,0;78,1;2024-04-14T22:04:26.358Z;2024-04-14T22:04:28Z;[{'id': 4952672995, 'qualifierId': 212, 'value': '10.6'}, {'id': 4952672997, 'qualifierId': 213, 'value': '4.27'}, {'id': 4952672991, 'qualifierId': 140, 'value': '3.7'}, {'id': 4952672989, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952672993, 'qualifierId': 141, 'value': '64.0'}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;4,27;3,7;64,0;;;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;3,7;64,0;;;;;;;0;0;0;7;Houston Dynamo II;7;DC;1,0
2673158073;5;1;1;0;9;7fbej4xwoq4imaf5l39304m37;1;4,3;64,8;2024-04-14T22:04:28.389Z;2024-04-14T22:04:30Z;[{'id': 4952673067, 'qualifierId': 140, 'value': '41.0'}, {'id': 4952673071, 'qualifierId': 212, 'value': '40.0'}, {'id': 4952673069, 'qualifierId': 141, 'value': '80.8'}, {'id': 4952673073, 'qualifierId': 213, 'value': '0.28'}, {'id': 4952673063, 'qualifierId': 157}, {'id': 4952673065, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952673075, 'qualifierId': 1}];8xpddjq19wzsf3mdlnjdx6e7e;R. Schewe;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;0,28;41,0;80,8;;;40,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;41,0;80,8;;;;;;;0;0;0;9;Houston Dynamo II;9;GK;1,0
2673158089;6;1;1;0;11;7fbej4xwoq4imaf5l39304m37;0;41,4;81,1;2024-04-14T22:04:30.357Z;2024-04-14T22:06:26Z;[{'id': 4952673135, 'qualifierId': 168}, {'id': 4952673139, 'qualifierId': 140, 'value': '60.3'}, {'id': 4952673141, 'qualifierId': 141, 'value': '70.9'}, {'id': 4952673137, 'qualifierId': 56, 'value': 'Center'}, {'id': 4952673145, 'qualifierId': 213, 'value': '5.95'}, {'id': 4952673143, 'qualifierId': 212, 'value': '21.0'}, {'id': 4952673133, 'qualifierId': 3}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;c7fwfgnk29e39p4ru70bsoe8k;Pass;;;;;;;;;;5,95;60,3;70,9;;;21,0;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;60,3;70,9;;;;;;;0;0;0;11;Houston Dynamo II;11;MC;1,0
