id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_Involved;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Zone;value_Angle;value_Length;value_PassEndY;value_PassEndX;value_LongBall;value_Launch;value_HeadPass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_DeletedEventType;value_TakeOnSpace;value_OutSwinger;value_Chipped;value_RightFooted;value_Cross;value_TouchTypeClearance;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_Head;value_TakeOnOvertake;value_TouchTypeControl;value_LayOff;value_LowGkIntervention;value_KeeperThrow;value_IntendedTackleTarget;value_MediumGkIntervention;value_Assist;value_IntentionalAssist;value_BlockedY;value_RegularPlay;value_BlockedX;value_LowCentre;value_RelatedEventId;value_Assisted;value_BoxLeft;value_GoalmouthZ;value_GoalmouthY;value_Diving;value_Hands;value_ParriedDanger;value_BlockedPass;value_NotVisible;value_NotPastGoalLine;value_BoxRight;value_Left;value_GkY;value_GkX;value_LeftFooted;value_FirstTouch;value_BoxDeepLeft;value_NextEventGoalKick;value_Low;value_GoalKick;value_PullBack;value_FastBreak;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_SwerveRight;value_LowLeft;value_BoxCentre;value_GkXTimeOfGoal;value_TouchTypePass;value_AttemptedTackle;value_BigChance;value_Volley;value_SmallBoxCentre;value_InSwinger;value_HitWoodwork;value_HitLeftPost;value_Shove/Push;value_FlickOn;value_SwerveLeft;value_HighRight;value_IndividualPlay;value_OutOfBoxCentre;value_ParriedSafe;value_OutOfPlay;value_YellowCard;value_RecklessOffence;value_High;value_NotAssisted;value_BlockedCross;value_Right;value_CornerTaken;value_HighLeft;value_OutOfBoxDeepRight;value_FreeKick;value_Handball;value_PlayersCaughtOffside;value_Indirect;value_Standing;value_PersistentInfringement;value_HighGkIntervention;value_CloseRight;value_Overrun;value_Deflection;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_TacticalFoul;value_SetPiece;value_LowRight;value_Feet;value_Collected;value_GkKickFromHands;value_BoxDeepRight;value_OtherBodyPart;value_Stooping;value_FromCorner;value_SixYardBlocked;value_Blocked;value_DefBlock;value_Dissent;value_SwitchOfPlay;value_FairPlay;value_Injury;value_InjuredPlayerId;value_MisHit;value_LeadingToGoal;value_FantasyAssistedBy;value_FantasyAssistType;value_RelatedError1Id;value_FantasyAssistId;value_FantasyAssistTeam;value_OverArm;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_OtherReason;value_RefereeDelay;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673173631;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-14T22:36:22.264Z;2024-04-19T17:14:29Z;[{'id': 4952758005, 'qualifierId': 130, 'value': '2'}, {'id': 4952758007, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952757999, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 1muuu6wgia9wxv6vmw8tln5sk, 2676930j149yvanqev61emh62, bug5x187ehj0apzl11lrl3ip6, 1ni0mewxcbo26d1xxetkdy3ca, cwyml9l4tfvb4ceh8tv3au0wk, 1kuo66geyyz9gu2n39w0bvr4k, 3ei1s8oyub83owfxxbsygmsmi, 1d20nyyvmp0doobj6heejkowk, 1p4rbf4wumfagv2ntlewdxey, 1cfm4ne1po0mld4bl37deg36c, 4k6c9nnzytq9qhc9uol64wg7o, eq98gflais2v26wgbkw9wrxg4, 3mq1g1pyo3flkaorg9wqmfhuc, 9ijxde56q9ayy0v9kgt2osx04, 8qkw6bkxcucb5jnsfotm816ac, 7uk47vm92xsvwdofmw1ppawyy, 3o4uxnvpnf3cwjs3srwegxp90'}, {'id': 4952758003, 'qualifierId': 59, 'value': '44, 38, 18, 70, 2, 63, 29, 20, 77, 99, 74, 32, 37, 47, 50, 61, 67, 68, 75'}, {'id': 4952886805, 'qualifierId': 194, 'value': 'bug5x187ehj0apzl11lrl3ip6'}, {'id': 4952758009, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952758001, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4952881827, 'qualifierId': 197, 'value': '19205'}];;;;;c7tan4801ouwi6fcp7d7k8mxg;Team set up;2,0;;;;;;;19205,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;New England II;0;;
2673177515;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-14T22:45:45.677Z;2024-04-14T23:48:11Z;[{'id': 4952780589, 'qualifierId': 30, 'value': '4ss487gmb4rf044t895o21xm2, dbyiafdyf93b8rtpceqitgopg, dc8u2bssrhxycx8vtn0kutp4a, akwjik09wytzzr3yras0diqz8, 357vd87hv0jvljqtt2qf4vmz8, ahgclh3e05evznhrpa32z6g6i, 5e00w1rqym73habcl01wm7jtg, anysxg2z6niqapc5m3f4tzims, 6han4f5xq1d0ii0ol2drgi4bu, 4iepghv4p490fxo5s429qeicq, bzv3yqbc7ttf7fftbm2nelxck, 8jyizfwg7woybyfyu8djpfjmc, 9u37akzkhdyszhevgrjghq99m, opnutov04c33y3gq2fjpkaac, bnspew1iw2jxr1s3a5oubp4ic, 5adul4r3hifu5x4tv8efr05ey, et772m1f5cqceeffckpnty1p0, 40qi53orb0eur2jevowkvrcb8, 69ypla76c710iv0yegix1maz8, 6j4ibkpbos6w5ikle58u2vo'}, {'id': 4952780601, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952909749, 'qualifierId': 197, 'value': '18746'}, {'id': 4952780595, 'qualifierId': 130, 'value': '8'}, {'id': 4952780597, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952780593, 'qualifierId': 59, 'value': '98, 30, 41, 23, 43, 5, 7, 16, 11, 22, 32, 37, 14, 73, 45, 13, 31, 17, 39, 27'}, {'id': 4952780591, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4952780599, 'qualifierId': 194, 'value': 'ahgclh3e05evznhrpa32z6g6i'}];;;;;c7tan4801ouwi6fcp7d7k8mxg;Team set up;8,0;;;;;;;18746,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;0;New York City II;0;;
2673194449;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-04-14T23:35:25.956Z;2024-04-19T15:50:42Z;[{'id': 4952882341, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c7tan4801ouwi6fcp7d7k8mxg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;New England II;0;;
2673194443;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-14T23:35:25.956Z;2024-04-14T23:35:26Z;[{'id': 4952882321, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c7tan4801ouwi6fcp7d7k8mxg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;0;New York City II;0;;
2673194475;3;1;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;50,0;50,2;2024-04-14T23:35:25.957Z;2024-04-15T00:24:24Z;[{'id': 4952882451, 'qualifierId': 279, 'value': 'S'}, {'id': 4952882441, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952882449, 'qualifierId': 213, 'value': '3.16'}, {'id': 4952882447, 'qualifierId': 212, 'value': '18.1'}, {'id': 4952882445, 'qualifierId': 141, 'value': '49.8'}, {'id': 4952882443, 'qualifierId': 140, 'value': '32.8'}];4iepghv4p490fxo5s429qeicq;J. Panayotou;;;c7tan4801ouwi6fcp7d7k8mxg;Pass;;;;;;;;;;;;3,16;18,1;49,8;32,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;32,8;49,8;;;;;;;;0;0;0;New York City II;0;AMC;1,0
2673194477;4;1;1;0;2;csntc7hucmo21gknxc5y0kc4q;1;34,2;45,6;2024-04-14T23:35:28.392Z;2024-04-19T17:19:57Z;[{'id': 4952882463, 'qualifierId': 141, 'value': '48.7'}, {'id': 4952882461, 'qualifierId': 140, 'value': '33.8'}, {'id': 4952882465, 'qualifierId': 212, 'value': '2.1'}, {'id': 4952882459, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952882467, 'qualifierId': 213, 'value': '1.77'}];357vd87hv0jvljqtt2qf4vmz8;S. Suárez;;;c7tan4801ouwi6fcp7d7k8mxg;Pass;;;;;;;;;;;;1,77;2,1;48,7;33,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;33,8;48,7;;;;;;;;0;0;2;New York City II;2;DL;1,0
2673194479;5;1;1;0;3;csntc7hucmo21gknxc5y0kc4q;0;33,0;56,6;2024-04-14T23:35:29.737Z;2024-04-15T00:24:30Z;[{'id': 4952882493, 'qualifierId': 213, 'value': '0.32'}, {'id': 4952882491, 'qualifierId': 212, 'value': '33.6'}, {'id': 4952882487, 'qualifierId': 140, 'value': '63.4'}, {'id': 4952882485, 'qualifierId': 56, 'value': 'Center'}, {'id': 4952882495, 'qualifierId': 1}, {'id': 4952882489, 'qualifierId': 141, 'value': '72.2'}, {'id': 4952882483, 'qualifierId': 157}];ahgclh3e05evznhrpa32z6g6i;V. Souza;;;c7tan4801ouwi6fcp7d7k8mxg;Pass;;;;;;;;;;;;0,32;33,6;72,2;63,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;63,4;72,2;;;;;;;;0;0;3;New York City II;3;DC;1,0
2673194501;3;1;1;0;7;6ddsx316t3j0z6nolrky9k4r8;0;37,8;11,9;2024-04-14T23:35:33.070Z;2024-04-15T00:33:07Z;[{'id': 4952882597, 'qualifierId': 140, 'value': '42.6'}, {'id': 4952882599, 'qualifierId': 141, 'value': '0.0'}, {'id': 4952882593, 'qualifierId': 3}, {'id': 4952882595, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952882607, 'qualifierId': 213, 'value': '5.20'}, {'id': 4952882603, 'qualifierId': 212, 'value': '10.7'}];cwyml9l4tfvb4ceh8tv3au0wk;M. Carrizo;;;c7tan4801ouwi6fcp7d7k8mxg;Pass;;;;;;;;;;;;5,2;10,7;0,0;42,6;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;42,6;0,0;;;;;;;;0;0;7;New England II;7;MR;1,0
2673194507;4;5;1;0;7;6ddsx316t3j0z6nolrky9k4r8;0;44,8;-1,8;2024-04-14T23:35:33.390Z;2024-04-15T00:36:49Z;[{'id': 4952882631, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952882927, 'qualifierId': 233, 'value': '6'}, {'id': 4952882633, 'qualifierId': 347}];6sf0pdlzomnt3e1hlc4twyv4k;D. Baiera;;;c7tan4801ouwi6fcp7d7k8mxg;Out;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;7;New England II;7;DR;1,0
2673194555;6;5;1;0;7;csntc7hucmo21gknxc5y0kc4q;1;55,2;101,8;2024-04-14T23:35:33.390Z;2024-04-14T23:35:44Z;[{'id': 4952882923, 'qualifierId': 233, 'value': '4'}, {'id': 4952882915, 'qualifierId': 56, 'value': 'Left'}, {'id': 4952882917, 'qualifierId': 347}];ahgclh3e05evznhrpa32z6g6i;V. Souza;;;c7tan4801ouwi6fcp7d7k8mxg;Out;;;;;;;;;;;;;;;;;;;4,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;7;New York City II;7;DC;1,0
