id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_PlayerPosition;value_Resume;value_Captain;value_TeamKit;value_TeamFormation;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Chipped;value_HeadPass;value_LayOff;value_DeletedEventType;value_Offensive;value_BlockedPass;value_Defensive;value_Assist;value_RegularPlay;value_IndividualPlay;value_GkX;value_BlockedX;value_BlockedY;value_OwnPlayer;value_RelatedEventId;value_OutOfBoxCentre;value_Blocked;value_FirstTouch;value_GkY;value_GoalmouthY;value_RightFooted;value_GoalmouthZ;value_Assisted;value_LowRight;value_OwnShotBlocked;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_Left;value_CornerTaken;value_Cross;value_InSwinger;value_Shove/Push;value_OutSwinger;value_Head;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_OverhitCross;value_NextEventGoalKick;value_GoalKick;value_Low;value_YellowCard;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_IntendedTackleTarget;value_IntentionalAssist;value_MisHit;value_BoxCentre;value_LeftFooted;value_Standing;value_Collected;value_Hands;value_LowGkIntervention;value_NotVisible;value_ShirtPull/Holding;value_TakeOnSpace;value_TouchTypeControl;value_TouchTypePass;value_OverArm;value_KeeperThrow;value_Overrun;value_NotAssisted;value_High;value_FreeKick;value_SetPiece;value_LowCentre;value_DefBlock;value_TempPost;value_FlickOn;value_FantasyAssistId;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_LowLeft;value_SmallBoxLeft;value_FantasyAssistTeam;value_ThrowInSetPiece;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotGameClock;value_Volley;value_Unchallenged;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_LeadingToAttempt;value_SixYardBlocked;value_RelatedError1Id;value_MediumGkIntervention;value_GkKickFromHands;value_Right;value_FromCorner;value_HighGkIntervention;value_HighClaim;value_BoxRight;value_HighLeft;value_NotPastGoalLine;value_Minutes;value_GkHoof;value_EndType;value_ThroughBall;value_DrivenCross;value_Straight;value_BlockedCross;value_Defensive1V1;value_Tactical;value_HighRight;value_BoxDeepRight;value_Caught;value_FloatedCross;value_BigChance;value_1On1;value_CloseRight;value_Argument;value_Handball;value_CloseLeftAndHigh;value_BoxLeft;value_Feet;value_Sliding;value_ParriedSafe;value_DangerousPlay;value_TimeWasting;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673208693;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-04-15T00:18:17.027Z;2024-04-15T01:01:40Z;[{'id': 4952964583, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4952964591, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4953039655, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}, {'id': 4953058567, 'qualifierId': 197, 'value': '15999'}, {'id': 4952964587, 'qualifierId': 130, 'value': '4'}, {'id': 4952964581, 'qualifierId': 30, 'value': '4q6jdo2wts37hdajbh8b8xcoa, 3etb72wtwcrim97dyp9g2px5g, 658wqca9ctixqav113prm06ei, 1on6mxrbdqnh12s4h1y0vb3mc, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, dhrxi7hj8xh15ky7q6u5wqi5m, 5n1wehugx0qtun8oopg2jbndg, 1bmbt6h6bsiimpzxt07cqwfvu, dwyatw1wz3nrh1fcwu27ie8ve, 7jtxek694d60c5udhyv0zsjro, 49ag6csupgt40gbs2snq1xs7o, cac9hjmdwt1gsz0qt3f6d4b2s, bpfl7nj8llr3dfadhtju52rro, 35jkg2v338kipzlf0iwvvypuy, 4ozih7wnybdxb1wgvd5fkjp5g, 3q8dpwqkikbugz3ikwcmkbg4q, f2nxaemhqi8kbtbejnqekgd4a'}, {'id': 4952964589, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952964585, 'qualifierId': 59, 'value': '31, 33, 2, 38, 66, 77, 64, 99, 60, 50, 71, 75, 52, 54, 63, 68, 72, 78'}];;;;c8lmri7qkud4qv38izu82njtg;Team set up;;;;15999,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2673209061;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-04-15T00:19:29.924Z;2024-04-15T01:13:48Z;[{'id': 4952966655, 'qualifierId': 59, 'value': '35, 51, 33, 81, 42, 32, 72, 92, 23, 41, 12, 38, 44, 45, 52, 57, 70, 88'}, {'id': 4952966661, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952966653, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4952968177, 'qualifierId': 194, 'value': 'ahl3kfbfeubf6zfl7x8qrlm38'}, {'id': 4952966659, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952966651, 'qualifierId': 30, 'value': '844k9wmnxkk24xsjd4fdb4rca, 48vc423tkz4mx7oql1ahqneac, asy97zdxk0352toy38huzk222, 3wkej06590b61lyqm7vt1kwes, ahl3kfbfeubf6zfl7x8qrlm38, 5gg2mxmy9ff40oku3s09gavl6, 72xq9zy27facbbowtwsuzw0lw, bxnegxnynd1glae8g0vfigfvu, 6d45ccicyo6dregi9cm4ad4kq, dzo2odov052991qseshgfruju, 17x0wwjg47boyx7jua6vqf0gk, 6adi81qxodibea6d0hxa3qxas, 8pl795qg2d886vtq8trzsucfe, 7ditqci7td8u4wj4dmirr3qzu, btwb71g6uu6ibxpx8ppwn9tsk, 2ig362xub2syd45v3usgymbkk, mm0bv35ngf0sqh2yx2eza4x6, 929ogu77f1e7edncwll3wv4t0'}, {'id': 4952966657, 'qualifierId': 130, 'value': '2'}, {'id': 4953058071, 'qualifierId': 197, 'value': '8379'}];;;;c8lmri7qkud4qv38izu82njtg;Team set up;;;;8379,0;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;The Town;0;;
2673226669;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-04-15T01:03:46.135Z;2024-04-18T01:32:04Z;[{'id': 4953061901, 'qualifierId': 127, 'value': 'Right to Left'}];;;;c8lmri7qkud4qv38izu82njtg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;The Town;0;;
2673226687;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-04-15T01:03:46.135Z;2024-04-15T01:03:51Z;[{'id': 4953062019, 'qualifierId': 127, 'value': 'Left to Right'}];;;;c8lmri7qkud4qv38izu82njtg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2673226681;3;1;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;50,0;50,0;2024-04-15T01:03:46.136Z;2024-04-15T01:55:14Z;[{'id': 4953061997, 'qualifierId': 213, 'value': '3.20'}, {'id': 4953061991, 'qualifierId': 140, 'value': '31.1'}, {'id': 4953061999, 'qualifierId': 279, 'value': 'S'}, {'id': 4953061995, 'qualifierId': 212, 'value': '19.9'}, {'id': 4953061993, 'qualifierId': 141, 'value': '48.2'}, {'id': 4953061989, 'qualifierId': 56, 'value': 'Back'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;c8lmri7qkud4qv38izu82njtg;Pass;;;;;;;;;;3,2;31,1;;19,9;48,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;31,1;48,2;;;;;;;0;0;0;0;The Town;0;MC;1,0
2673226715;5;1;1;0;5;cbip96wzs3jc2xadoluhhxotl;1;34,0;39,7;2024-04-15T01:03:51.184Z;2024-04-15T01:03:55Z;[{'id': 4953062169, 'qualifierId': 140, 'value': '71.2'}, {'id': 4953062177, 'qualifierId': 1}, {'id': 4953062171, 'qualifierId': 141, 'value': '5.9'}, {'id': 4953062167, 'qualifierId': 56, 'value': 'Right'}, {'id': 4953062175, 'qualifierId': 213, 'value': '5.75'}, {'id': 4953062165, 'qualifierId': 157}, {'id': 4953062173, 'qualifierId': 212, 'value': '45.3'}];ahl3kfbfeubf6zfl7x8qrlm38;K. Storlie;;c8lmri7qkud4qv38izu82njtg;Pass;;;;;;;;;;5,75;71,2;;45,3;5,9;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;71,2;5,9;;;;;;;0;0;0;5;The Town;5;DL;1,0
2673226741;6;1;1;0;9;cbip96wzs3jc2xadoluhhxotl;1;70,9;5,6;2024-04-15T01:03:55.768Z;2024-04-15T01:04:01Z;[{'id': 4953062315, 'qualifierId': 56, 'value': 'Right'}, {'id': 4953062323, 'qualifierId': 213, 'value': '0.32'}, {'id': 4953062319, 'qualifierId': 141, 'value': '8.9'}, {'id': 4953062317, 'qualifierId': 140, 'value': '77.3'}, {'id': 4953062321, 'qualifierId': 212, 'value': '7.1'}];72xq9zy27facbbowtwsuzw0lw;Z. Gozo;;c8lmri7qkud4qv38izu82njtg;Pass;;;;;;;;;;0,32;77,3;;7,1;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;77,3;8,9;;;;;;;0;0;0;9;The Town;9;MR;1,0
2673226745;7;61;1;0;15;cbip96wzs3jc2xadoluhhxotl;0;85,0;3,2;2024-04-15T01:04:01.312Z;2024-04-15T01:04:01Z;[{'id': 4953062331, 'qualifierId': 56, 'value': 'Right'}];6d45ccicyo6dregi9cm4ad4kq;I. Paul;;c8lmri7qkud4qv38izu82njtg;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;15;The Town;15;FW;1,0
2673226765;3;5;1;0;15;ew2zirzye0sw1txr2m33nr25y;1;14,2;101,2;2024-04-15T01:04:02.088Z;2024-04-15T01:31:39Z;[{'id': 4953062381, 'qualifierId': 56, 'value': 'Back'}, {'id': 4953062383, 'qualifierId': 347}, {'id': 4953062429, 'qualifierId': 233, 'value': '8'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;c8lmri7qkud4qv38izu82njtg;Out;;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;15;Real Monarchs;15;DC;1,0
2673226769;8;5;1;0;15;cbip96wzs3jc2xadoluhhxotl;0;85,8;-1,2;2024-04-15T01:04:02.088Z;2024-04-15T01:04:05Z;[{'id': 4953062409, 'qualifierId': 56, 'value': 'Right'}, {'id': 4953062447, 'qualifierId': 233, 'value': '3'}, {'id': 4953062411, 'qualifierId': 347}];6d45ccicyo6dregi9cm4ad4kq;I. Paul;;c8lmri7qkud4qv38izu82njtg;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;15;The Town;15;FW;1,0
