field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;4q6jdo2wts37hdajbh8b8xcoa;1;31;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;GK;M. Biegański;;;;;;
2;3etb72wtwcrim97dyp9g2px5g;2;33;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;DR;O. Verhoeven;;;;;;
2;658wqca9ctixqav113prm06ei;3;2;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;DC;J. Ricketts;;;;3q8dpwqkikbugz3ikwcmkbg4q;62,0;2,0
3;1on6mxrbdqnh12s4h1y0vb3mc;4;38;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;MC;E. Mendoza;;;;49ag6csupgt40gbs2snq1xs7o;11,0;1,0
2;dqa88ma3jbk33lsyzo45uy2cq;5;66;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;DL;A. Cano;;;;;;
2;79z5vt08ga8prn33vi2a260kq;6;77;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;DC;C. Walls;;;;;;
3;dhrxi7hj8xh15ky7q6u5wqi5m;7;64;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;MC;B. Leroux;;;;;;
3;5n1wehugx0qtun8oopg2jbndg;8;99;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;MC;C. Medina;;;;;;
4;1bmbt6h6bsiimpzxt07cqwfvu;9;60;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;FW;E. Blancas;;;;cac9hjmdwt1gsz0qt3f6d4b2s;87,0;2,0
4;dwyatw1wz3nrh1fcwu27ie8ve;10;50;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;FWR;A. Edwards;;;;f2nxaemhqi8kbtbejnqekgd4a;87,0;2,0
4;7jtxek694d60c5udhyv0zsjro;11;71;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;FWL;R. Lynch;;;;35jkg2v338kipzlf0iwvvypuy;87,0;2,0
5;49ag6csupgt40gbs2snq1xs7o;0;75;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;Sub;A. Chow;1on6mxrbdqnh12s4h1y0vb3mc;11,0;1,0;;;
5;cac9hjmdwt1gsz0qt3f6d4b2s;0;52;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;Sub;J. Donnery;1bmbt6h6bsiimpzxt07cqwfvu;87,0;2,0;;;
5;bpfl7nj8llr3dfadhtju52rro;0;54;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;Sub;;;;;;;
5;35jkg2v338kipzlf0iwvvypuy;0;63;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;Sub;S. Bilter;7jtxek694d60c5udhyv0zsjro;87,0;2,0;;;
5;4ozih7wnybdxb1wgvd5fkjp5g;0;68;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;Sub;;;;;;;
5;3q8dpwqkikbugz3ikwcmkbg4q;0;72;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;Sub;R. Ibarra;658wqca9ctixqav113prm06ei;62,0;2,0;;;
5;f2nxaemhqi8kbtbejnqekgd4a;0;78;4;ew2zirzye0sw1txr2m33nr25y;c8lmri7qkud4qv38izu82njtg;away;1;Sub;J. Garcia;dwyatw1wz3nrh1fcwu27ie8ve;87,0;2,0;;;
1;844k9wmnxkk24xsjd4fdb4rca;1;35;2;cbip96wzs3jc2xadoluhhxotl;c8lmri7qkud4qv38izu82njtg;home;1;GK;G. Beavers;;;;;;
2;48vc423tkz4mx7oql1ahqneac;2;51;2;cbip96wzs3jc2xadoluhhxotl;c8lmri7qkud4qv38izu82njtg;home;1;DR;O. Alba;;;;;;
2;asy97zdxk0352toy38huzk222;3;33;2;cbip96wzs3jc2xadoluhhxotl;c8lmri7qkud4qv38izu82njtg;home;1;DC;T. Silva;;;;;;
