id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_TeamFormation;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_JerseyNumber;value_PlayerPosition;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Zone;value_PassEndX;value_Length;value_Angle;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_IncorrectOutOfPlayDecision;value_ThrowIn;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_TakeOnOvertake;value_Defensive1V1;value_Chipped;value_Cross;value_RightFooted;value_InSwinger;value_Head;value_IntendedTackleTarget;value_BlockedPass;value_OutOfPlay;value_DeletedEventType;value_TouchTypeClearance;value_SwitchOfPlay;value_Assist;value_IntentionalAssist;value_LowRight;value_Assisted;value_SixYardBlocked;value_BlockedX;value_FirstTouch;value_GoalmouthZ;value_RelatedEventId;value_BlockedY;value_RegularPlay;value_GoalmouthY;value_GkY;value_Blocked;value_GkX;value_BoxDeepRight;value_DefBlock;value_Left;value_Right;value_LeftFooted;value_CornerTaken;value_MediumGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_OutSwinger;value_FromCorner;value_OutOfBoxCentre;value_High;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_InjuredPlayerId;value_Injury;value_LayOff;value_TouchTypePass;value_TakeOnSpace;value_FlickOn;value_Handball;value_Penalty;value_PenaltyTakerId;value_GkYTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_NotAssisted;value_FantasyAssistId;value_FantasyAssistTeam;value_CausingPlayer;value_BigChance;value_GkXTimeOfGoal;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotGameClock;value_BoxCentre;value_GoalShotTimestamp;value_Scored;value_Diving;value_ThroughBall;value_LastLine;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Overrun;value_TimeWasting;value_LowCentre;value_Volley;value_BoxLeft;value_LowLeft;value_Hands;value_LowGkIntervention;value_Collected;value_RecklessOffence;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_OverhitCross;value_Shove/Push;value_BoxRight;value_Unchallenged;value_SwerveLeft;value_HighGkIntervention;value_HighClaim;value_CloseLeft;value_BlockedCross;value_SetPiece;value_FastBreak;value_SmallBoxCentre;value_ParriedDanger;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2677839143;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-04-24T22:41:53.348Z;2024-04-24T23:27:00Z;[{'id': 4977990719, 'qualifierId': 30, 'value': 'cu84s15ig7u7g9iwwcff82yuh, 5c7gqtyra887hjyg502tvzn1m, bjk2ns3xadow18v3tkvqqrkh6, 6ahu72g0u39bxbjiz7ggefai1, 3uzxhd8g0jnft5xcd59yztm95, 8pzkxfe5txe71u08n67d8k1uy, a63su8pudaernrvj1fi9006qc, d5kcfgycj51y6aw82r38sl7o4, eg5gobm8zylt21enud00dfnmy, 1b9b97pxox77ia41cilqqm4iy, 7y5v3oex0pnupaahm8arguluc, f1e7n1pmjklbr35g7uuqdr78q, 216tgeofjnxr75ehcftkvxkpg, astn4ytzoaav30ifi17s4dn8, ctiorjdoewl12d0mtj1nqmas4, f69xf0cdfn1qe63t5tr5in10, cbjd834y2hdx5jr3bda1zz6ga, ax2y5fvc4dzwn4qkxrfutapsk, 2iz7apzo49byqz0ws65h9d7v8'}, {'id': 4977990725, 'qualifierId': 130, 'value': '8'}, {'id': 4978032847, 'qualifierId': 194, 'value': '5c7gqtyra887hjyg502tvzn1m'}, {'id': 4978032849, 'qualifierId': 197, 'value': '6108'}, {'id': 4977990727, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4977990729, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4977990723, 'qualifierId': 59, 'value': '22, 47, 75, 45, 36, 21, 25, 86, 99, 30, 55, 42, 23, 41, 49, 50, 52, 62, 95'}, {'id': 4977990721, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;c9cid1m9mtcrwzvy5nvufenmc;Team set up;;8,0;;6108,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;0;Chattanooga;0;;
2677839493;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-04-24T22:43:21.133Z;2024-04-24T23:27:19Z;[{'id': 4977992465, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4977992471, 'qualifierId': 130, 'value': '4'}, {'id': 4977992475, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4978033231, 'qualifierId': 197, 'value': '23331'}, {'id': 4977992461, 'qualifierId': 30, 'value': 'ew3qxbn1ev1qv7wi0iwoc642c, exunlng0cgo9bpqh4x6jpxyax, 1h5rgsol19v1pcl5ksstrv9t6, b4te1cxogvhtglhug3sdgkmei, cpbyoj822ivx6qrqbkun1zr3d, 87nhafgkozygrd5f06ore0xzo, at2xv960peboe9spoag2kn21g, 5m8hxfvza21t4wfe6v0a18etw, 246vnjq690m4ju1wkfrezlql1, 82uh6ad46fvub9b0vfapw2vze, 4hdai9za2ls03tjpcw0ahu5wq, 2d3dwhrtafkd1b8q1nzerqew9, 6zbb5xiauoixj3clxdgud8lxw, 9pnleeb8crwe625807assjkk, 4cwccglaxz5sf71eptnj6kzfu, a3eln6gas8765a3pn6ecqjvxm, 9gk1m714ni2m8n26uybsgadey, 7jaa504py8qcx30a2p1vgn8d0, 7e8xkqlux0myjc5cwtb7rega1, adfocor2tbcmxo03ednm8vywa'}, {'id': 4978033229, 'qualifierId': 194, 'value': 'at2xv960peboe9spoag2kn21g'}, {'id': 4977992473, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4977992467, 'qualifierId': 59, 'value': '32, 23, 22, 25, 5, 14, 33, 10, 19, 71, 11, 3, 6, 7, 8, 9, 12, 15, 20, 58'}];;;;c9cid1m9mtcrwzvy5nvufenmc;Team set up;;4,0;;23331,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;0;Atlanta United II;0;;
2677849117;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-04-24T23:33:55.434Z;2024-04-24T23:33:55Z;[{'id': 4978043081, 'qualifierId': 127, 'value': 'Right to Left'}];;;;c9cid1m9mtcrwzvy5nvufenmc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;0;Atlanta United II;0;;
2677849121;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-04-24T23:33:55.434Z;2024-04-28T09:54:42Z;[{'id': 4978043103, 'qualifierId': 127, 'value': 'Left to Right'}];;;;c9cid1m9mtcrwzvy5nvufenmc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;0;Chattanooga;0;;
2677849131;3;1;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;50,1;49,9;2024-04-24T23:33:55.435Z;2024-04-24T23:33:59Z;[{'id': 4978043155, 'qualifierId': 141, 'value': '53.0'}, {'id': 4978043161, 'qualifierId': 279, 'value': 'S'}, {'id': 4978043151, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978043153, 'qualifierId': 140, 'value': '30.5'}, {'id': 4978043157, 'qualifierId': 212, 'value': '20.7'}, {'id': 4978043159, 'qualifierId': 213, 'value': '3.04'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;53,0;;;30,5;20,7;3,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;30,5;53,0;;;;;;;;0;0;0;Atlanta United II;0;MC;1,0
2677849163;4;1;1;0;3;cwnjxlibb02fuh0vwgvac6h45;0;31,7;51,3;2024-04-24T23:33:58.978Z;2024-04-28T11:11:23Z;[{'id': 4978043347, 'qualifierId': 141, 'value': '74.2'}, {'id': 4978043349, 'qualifierId': 212, 'value': '52.4'}, {'id': 4978043351, 'qualifierId': 213, 'value': '0.30'}, {'id': 4978043343, 'qualifierId': 56, 'value': 'Center'}, {'id': 4978043345, 'qualifierId': 140, 'value': '79.4'}, {'id': 4987817573, 'qualifierId': 157}, {'id': 4978043353, 'qualifierId': 1}];cpbyoj822ivx6qrqbkun1zr3d;A. Prepeliţă;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;74,2;;;79,4;52,4;0,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;79,4;74,2;;;;;;;;0;0;3;Atlanta United II;3;DL;1,0
2677849151;3;44;1;0;7;erwnez7ksfkns4dqmyr1fhbe;1;20,4;24,6;2024-04-24T23:34:02.465Z;2024-04-30T07:40:41Z;[{'id': 4978043257, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978043259, 'qualifierId': 285}, {'id': 4978043419, 'qualifierId': 233, 'value': '5'}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;c9cid1m9mtcrwzvy5nvufenmc;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;7;Chattanooga;7;DL;1,0
2677849165;5;44;1;0;7;cwnjxlibb02fuh0vwgvac6h45;0;79,6;75,4;2024-04-24T23:34:02.466Z;2024-04-28T11:11:33Z;[{'id': 4978043371, 'qualifierId': 286}, {'id': 4978043369, 'qualifierId': 56, 'value': 'Center'}, {'id': 4978043433, 'qualifierId': 233, 'value': '3'}];246vnjq690m4ju1wkfrezlql1;C. Rivas;;c9cid1m9mtcrwzvy5nvufenmc;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;;0;0;7;Atlanta United II;7;FW;1,0
2677849167;4;1;1;0;7;erwnez7ksfkns4dqmyr1fhbe;0;20,1;23,4;2024-04-24T23:34:02.582Z;2024-04-28T11:11:35Z;[{'id': 4978043383, 'qualifierId': 3}, {'id': 4978043387, 'qualifierId': 140, 'value': '21.9'}, {'id': 4978043389, 'qualifierId': 141, 'value': '0.0'}, {'id': 4978043397, 'qualifierId': 213, 'value': '4.82'}, {'id': 4978043385, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978043393, 'qualifierId': 212, 'value': '17.4'}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;c9cid1m9mtcrwzvy5nvufenmc;Pass;;;;;;;;;;0,0;;;21,9;17,4;4,82;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;21,9;0,0;;;;;;;;0;0;7;Chattanooga;7;DL;1,0
2677849173;5;5;1;0;10;erwnez7ksfkns4dqmyr1fhbe;0;23,2;-1,7;2024-04-24T23:34:06.125Z;2024-04-28T11:11:43Z;[{'id': 4978043415, 'qualifierId': 347}, {'id': 4978043413, 'qualifierId': 56, 'value': 'Back'}, {'id': 4978043673, 'qualifierId': 233, 'value': '6'}, {'id': 4987818513, 'qualifierId': 361}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;c9cid1m9mtcrwzvy5nvufenmc;Out;;;;;;;;;;;;;;;;;;;6,0;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;10;Chattanooga;10;DL;1,0
