field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;12wcwqu2liyd0zv8ramcevh1w;1;70;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;GK;P. Los;;;;;;
2;79knhnp7bvpjomzz14k715wtm;2;55;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;DR;O. Glasgow;;;;;;
2;9vc2mynd9lg2oyt14n4e7a44q;3;54;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;DC;L. Rochester;;;;;;
3;2buy6q56o0ixo30fatz7ps9w4;4;46;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;DMC;J. Zapata;;;;;;
2;5d341k1dxhlbetyh965z3q784;5;43;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;DL;J. Shannon;;;;;;
2;72xktsosbsh2uwkwby59mr6z8;6;42;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;DC;D. Konincks;;;;b3xoqrbmua9uzr0tw8kmnw9as;81,0;2,0
3;38p90lsdc5iv1jvjbhiinv6ne;7;37;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;MR;J. Casas;;;;6n0x8t513vmsmgfasovvoj7u2;22,0;1,0
3;b1p6qcv8wjzoxoax3nt13n5gq;8;48;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;AMC;D. Poręba;;;;;;
4;2atsox1bassuexlgta8h3us4p;9;50;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;FW;C. Koffi;;;;;;
4;do6z0g81t9avcjuhjc1szukgk;10;51;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;FW;D. Tchétchao Karo;;;;1x9uiwhoqu3qumt0urv5trlec;51,0;2,0
3;afdz1ibldn2vc8gtezyw8tqay;11;45;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;ML;H. Osorio;;;;a8t1jn05xxxccikegk8fdaiok;81,0;2,0
5;64wbk2nsrs0ru0hjcq0lenwgk;0;35;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;Sub;S. Oregel;6n0x8t513vmsmgfasovvoj7u2;81,0;2,0;;;
5;6n0x8t513vmsmgfasovvoj7u2;0;44;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;Sub;J. Shokalook;38p90lsdc5iv1jvjbhiinv6ne;22,0;1,0;64wbk2nsrs0ru0hjcq0lenwgk;81,0;2,0
5;4agnpztnedb7ql14bo477vspg;0;53;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;Sub;;;;;;;
5;a8t1jn05xxxccikegk8fdaiok;0;59;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;Sub;R. Blake;afdz1ibldn2vc8gtezyw8tqay;81,0;2,0;;;
5;b3xoqrbmua9uzr0tw8kmnw9as;0;64;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;Sub;C. Cupps;72xktsosbsh2uwkwby59mr6z8;81,0;2,0;;;
5;1x9uiwhoqu3qumt0urv5trlec;0;67;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;Sub;G. Granda;do6z0g81t9avcjuhjc1szukgk;51,0;2,0;;;
5;4r4a2d3piuh8wusw8ftrsh016;0;78;3;8o8m08he36u0j4w08aj2iodn8;c9px4ywqxj5qmstxcun9dkx78;home;1;Sub;;;;;;;
