field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;opnutov04c33y3gq2fjpkaac;1;73;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;GK;J. Gunn;;;;;;
2;et772m1f5cqceeffckpnty1p0;2;31;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;DR;E. Klein;;;;3o7f3ozutbsry5xl2l7ktct0;80,0;2,0
2;906i3qf1bf6nx6pla85e869lg;3;3;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;DC;H. Barry;;;;;;
3;5adul4r3hifu5x4tv8efr05ey;4;13;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;MC;Maciel;;;;;;
2;ahgclh3e05evznhrpa32z6g6i;5;5;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;DL;V. Souza;;;;;;
2;357vd87hv0jvljqtt2qf4vmz8;6;43;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;DC;S. Suárez;;;;;;
3;9u37akzkhdyszhevgrjghq99m;7;14;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;AMR;A. Monis;;;;5e00w1rqym73habcl01wm7jtg;72,0;2,0
3;40qi53orb0eur2jevowkvrcb8;8;17;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;MC;P. Leal;;;;akwjik09wytzzr3yras0diqz8;72,0;2,0
4;69ypla76c710iv0yegix1maz8;9;39;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;FW;Marcos Dias;;;;;;
3;4iepghv4p490fxo5s429qeicq;10;22;8;csntc7hucmo21gknxc5y0kc4q;ca376chwfuzie24ghw5rnnggk;away;1;AMC;J. Panayotou;;;;;;
