field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;brbc088u7sq9wh9d9gkonn5gq;1;31;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;GK;C. Olivares;;;;;;
2;2dqtrnq0k1fphyw71yh41gvtg;2;33;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;DR;T. Pearce;;;;;;
2;7zkzjmk1go1u2vi5qkqlmezu;3;99;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;DC;J. Reid;;;;;;
3;dpedfgxin5nc4qmziaokpmiy2;4;43;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;MC;C. Cilley;;;;4eh46qse8ocmutobremniuolw;84,0;2,0
2;910fd7rfysvvfzp2s1ywna5pm;5;40;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;DL;M. Wentzel;;;;;;
2;bbnk87q7t8pahznohwjjcvu5m;6;72;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;DC;E. Kinzner;;;;9ulwk81vyj5rbz88h62i2ejv8;84,0;2,0
3;en6q7ddrr22sz6knipkbqhyw9;7;75;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;MR;Wan Kuzain;;;;632mpv8dpnxjm69f8ip1e4l5g;84,0;2,0
3;3dyn7hheqvs3gm3m84jrra9lg;8;49;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;MC;S. Antwi;;;;;;
4;f2nvagw4mjjpn1ytj6rdl5ene;9;80;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;FW;B. McSorley;;;;9k050zmkegfu3gdw2b4g4uwwk;68,0;2,0
4;5jigl7kp5d2i5ws1602jm7n1m;10;41;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;FW;J. Klein;;;;;;
3;9gswafduy82n4o6f0uk0khhck;11;59;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;ML;M. Joyner;;;;92oqt9q51us5rpmqmvvrdso6i;55,0;2,0
5;9kenrfar4jy606ll3s1rdk44;0;52;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;;;;;;;
5;9k050zmkegfu3gdw2b4g4uwwk;0;46;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;C. Glover;f2nvagw4mjjpn1ytj6rdl5ene;68,0;2,0;;;
5;9ulwk81vyj5rbz88h62i2ejv8;0;50;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;G. Mikina;bbnk87q7t8pahznohwjjcvu5m;84,0;2,0;;;
5;92oqt9q51us5rpmqmvvrdso6i;0;56;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;R. Becher;9gswafduy82n4o6f0uk0khhck;55,0;2,0;;;
5;632mpv8dpnxjm69f8ip1e4l5g;0;64;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;D. Armstrong;en6q7ddrr22sz6knipkbqhyw9;84,0;2,0;;;
5;up1kju28upwea6qzngeh7j84;0;66;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;;;;;;;
5;7h6a0x05z2laewfq7spicxwd0;0;71;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;;;;;;;
5;8bwjj53jwbsi0emx370uka5g4;0;77;2;dqx48fglv1l96cyrmjdod0xec;caukuaexyhvjmi693afqu6rdg;home;1;Sub;;;;;;;
