id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_Angle;value_KickOff;value_PassEndY;value_Length;value_PassEndX;value_LongBall;value_Chipped;value_Offensive;value_TakeOnSpace;value_OppositeRelatedEventId;value_Defensive;value_TouchTypeClearance;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_HeadPass;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_TouchTypePass;value_Left;value_CornerTaken;value_RightFooted;value_InSwinger;value_Cross;value_Head;value_SwitchOfPlay;value_TakeOnOvertake;value_OutOfPlay;value_ThroughBall;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_Defensive1V1;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_LayOff;value_Right;value_IntentionalAssist;value_Assist;value_OutSwinger;value_NotPastGoalLine;value_FirstTouch;value_BlockedX;value_GkX;value_BoxCentre;value_BlockedY;value_GkY;value_GoalmouthZ;value_FromCorner;value_RelatedEventId;value_GoalmouthY;value_Assisted;value_HighGkIntervention;value_LeftFooted;value_BlockedCross;value_AttemptedTackle;value_NotVisible;value_Overrun;value_PullBack;value_FlickOn;value_High;value_TouchTypeControl;value_Blocked;value_RegularPlay;value_IndividualPlay;value_LowCentre;value_DefBlock;value_OutOfBoxCentre;value_HighLeft;value_Shove/Push;value_PlayersCaughtOffside;value_Indirect;value_TacticalFoul;value_YellowCard;value_HighClaim;value_OverArm;value_LeadingToAttempt;value_RelatedError1Id;value_BigChance;value_PersistentInfringement;value_CloseRight;value_SmallBoxLeft;value_Minutes;value_EndType;value_OverhitCross;value_HighRight;value_NotAssisted;value_BoxLeft;value_ParriedSafe;value_Diving;value_Hands;value_Handball;value_InjuredPlayerId;value_Injury;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Tactical;value_RecklessOffence;value_OtherObstacle;value_BallHitsReferee;value_FloatedCross;value_Straight;value_HitBar;value_HitWoodwork;value_CaptainChange;value_SixYardBlocked;value_FastBreak;value_OtherBodyPart;value_SetPiece;value_GkKickFromHands;value_GoalShotGameClock;value_GkXTimeOfGoal;value_LowRight;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_SavedOffLine;value_LastLine;value_MediumGkIntervention;value_MisHit;value_Weak;value_LowLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2675833183;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-04-20T23:07:43.820Z;2024-04-27T19:35:24Z;[{'id': 4985412815, 'qualifierId': 194, 'value': 'efek04gkkjjwr6vo2mi008dm'}, {'id': 4967156479, 'qualifierId': 30, 'value': 'efek04gkkjjwr6vo2mi008dm, 1kr4ax5uy3f9gbjzr34u0svf8, bmax1bmduvrpp0lfh4do0yj9w, 6z58yyouaevipxrmrmorcz0no, d9cioqeofh2tfg3171r5nlb10, ecnah6vlfo0o5cx42il8cegb8, dz7v9xfcwdvjioeyv4z54neqy, d67mnqsp2nri79bpvblsufbis, 6srpw77ejl3bf4v8e2m7z0kd0, bshus335cwlnpdzl7ct1gpn9w, 3pzd87cugi2uj8hhzgre6od1w, 2mmciwk6gllcf11plcch710yc, 6jzijlp0e2w4qjan9eto35wd0, 5myzzter0uza8ro6hwbqxyntg, 6qe888q8yqq73bxr27jbyu2hg, 68tqdxlstpilrkvyvdnbhy31l, 3c7ia3mxthsolwt8ed68e5xck, 42zmyz1t6mqap5pyfqxiaadqs, 6prn3rxp49rsfl8mxq2tqzf9w, 8bvwbem3nusjso8jxzrlhbi8k'}, {'id': 4967156487, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4967156483, 'qualifierId': 59, 'value': '67, 47, 25, 8, 2, 36, 17, 7, 22, 24, 23, 1, 5, 6, 10, 11, 21, 40, 77, 99'}, {'id': 4967156481, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4967335201, 'qualifierId': 197, 'value': '19319'}, {'id': 4967156489, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4967156485, 'qualifierId': 130, 'value': '7'}];;;;;cblawdxtk95ijrlwhi7myu044;Team set up;;;;;;19319,0;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;0;Chattanooga;0;;
2675834003;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-04-20T23:09:08.584Z;2024-04-27T19:35:27Z;[{'id': 4967160647, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4967160637, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, 1h5rgsol19v1pcl5ksstrv9t6, 2d3dwhrtafkd1b8q1nzerqew9, b4te1cxogvhtglhug3sdgkmei, cpbyoj822ivx6qrqbkun1zr3d, 7e8xkqlux0myjc5cwtb7rega1, at2xv960peboe9spoag2kn21g, 4cwccglaxz5sf71eptnj6kzfu, a3eln6gas8765a3pn6ecqjvxm, 82uh6ad46fvub9b0vfapw2vze, adfocor2tbcmxo03ednm8vywa, 6zbb5xiauoixj3clxdgud8lxw, 9pnleeb8crwe625807assjkk, 5m8hxfvza21t4wfe6v0a18etw, 4hdai9za2ls03tjpcw0ahu5wq, 9gk1m714ni2m8n26uybsgadey, 87nhafgkozygrd5f06ore0xzo, 246vnjq690m4ju1wkfrezlql1, exunlng0cgo9bpqh4x6jpxyax, ew3qxbn1ev1qv7wi0iwoc642c'}, {'id': 4967160643, 'qualifierId': 130, 'value': '4'}, {'id': 4967339367, 'qualifierId': 197, 'value': '23331'}, {'id': 4967160645, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4985413093, 'qualifierId': 194, 'value': '7jaa504py8qcx30a2p1vgn8d0'}, {'id': 4967160641, 'qualifierId': 59, 'value': '15, 22, 3, 25, 5, 20, 33, 8, 9, 71, 58, 6, 7, 10, 11, 12, 14, 19, 23, 32'}, {'id': 4967160639, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;cblawdxtk95ijrlwhi7myu044;Team set up;;;;;;23331,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;0;Huntsville City;0;;
2675864193;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-04-21T00:03:54.345Z;2024-04-21T00:03:54Z;[{'id': 4967335007, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cblawdxtk95ijrlwhi7myu044;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;0;Huntsville City;0;;
2675864235;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-04-21T00:03:54.345Z;2024-04-27T17:12:21Z;[{'id': 4967335271, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cblawdxtk95ijrlwhi7myu044;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;0;Chattanooga;0;;
2675864549;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;49,5;50,3;2024-04-21T00:03:54.346Z;2024-04-21T00:50:40Z;[{'id': 4967337231, 'qualifierId': 56, 'value': 'Back'}, {'id': 4967337239, 'qualifierId': 213, 'value': '3.39'}, {'id': 4967337241, 'qualifierId': 279, 'value': 'S'}, {'id': 4967337235, 'qualifierId': 141, 'value': '44.8'}, {'id': 4967337237, 'qualifierId': 212, 'value': '15.4'}, {'id': 4967337233, 'qualifierId': 140, 'value': '35.3'}];d67mnqsp2nri79bpvblsufbis;B. Creek;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;3,39;;44,8;15,4;35,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;35,3;44,8;;;;;;;0;0;0;0;Chattanooga;0;MC;1,0
2675865697;21;1;1;0;3;4gymgvqmve0m2vh89v84tt3x0;1;33,3;37,9;2024-04-21T00:03:57.473Z;2024-04-21T00:50:32Z;[{'id': 4967343975, 'qualifierId': 1}, {'id': 4967343961, 'qualifierId': 155}, {'id': 4967343969, 'qualifierId': 141, 'value': '76.9'}, {'id': 4967343971, 'qualifierId': 212, 'value': '68.7'}, {'id': 4967343965, 'qualifierId': 56, 'value': 'Center'}, {'id': 4967343973, 'qualifierId': 213, 'value': '0.40'}, {'id': 4967343967, 'qualifierId': 140, 'value': '93.7'}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;cblawdxtk95ijrlwhi7myu044;Pass;;;;;;;;;;;0,4;;76,9;68,7;93,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;93,7;76,9;;;;;;;0;0;0;3;Chattanooga;3;DMC;1,0
2675865827;26;3;1;0;10;4gymgvqmve0m2vh89v84tt3x0;0;95,8;86,5;2024-04-21T00:04:04.509Z;2024-04-27T17:12:50Z;[{'id': 4967344669, 'qualifierId': 286}, {'id': 4984662331, 'qualifierId': 464}, {'id': 4967393453, 'qualifierId': 233, 'value': '37'}, {'id': 4967344667, 'qualifierId': 56, 'value': 'Left'}];3pzd87cugi2uj8hhzgre6od1w;D. Wilson;;;cblawdxtk95ijrlwhi7myu044;Take On;;;;;;;;;;;;;;;;;;1,0;1,0;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;10;Chattanooga;10;ML;1,0
2675865895;37;7;1;0;10;cwnjxlibb02fuh0vwgvac6h45;0;4,2;13,5;2024-04-21T00:04:04.510Z;2024-04-27T17:12:48Z;[{'id': 4967345067, 'qualifierId': 285}, {'id': 4967345065, 'qualifierId': 56, 'value': 'Back'}, {'id': 4967393415, 'qualifierId': 233, 'value': '26'}, {'id': 4984662083, 'qualifierId': 385}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;cblawdxtk95ijrlwhi7myu044;Tackle;;;;;;;;;;;;;;;;;;;;26,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;10;Huntsville City;10;DR;1,0
2675865925;27;61;1;0;11;4gymgvqmve0m2vh89v84tt3x0;1;95,2;82,6;2024-04-21T00:04:05.415Z;2024-04-21T00:07:10Z;[{'id': 4967345197, 'qualifierId': 56, 'value': 'Left'}];3pzd87cugi2uj8hhzgre6od1w;D. Wilson;;;cblawdxtk95ijrlwhi7myu044;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;11;Chattanooga;11;ML;1,0
2675864375;3;5;1;0;24;cwnjxlibb02fuh0vwgvac6h45;1;-1,1;18,8;2024-04-21T00:04:18.639Z;2024-04-21T00:05:10Z;[{'id': 4967336121, 'qualifierId': 56, 'value': 'Back'}, {'id': 4967338841, 'qualifierId': 233, 'value': '10'}, {'id': 4967336123, 'qualifierId': 346}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;cblawdxtk95ijrlwhi7myu044;Out;;;;;;;;;;;;;;;;;;;;10,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;24;Huntsville City;24;DR;1,0
