id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_Captain;value_Resume;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_KickOff;value_Length;value_PassEndX;value_Angle;value_Chipped;value_LongBall;value_Cross;value_RightFooted;value_OutSwinger;value_Assist;value_IntentionalAssist;value_GkX;value_FirstTouch;value_BlockedY;value_GkY;value_Blocked;value_RegularPlay;value_BoxCentre;value_Assisted;value_LowLeft;value_BlockedX;value_GoalmouthZ;value_GoalmouthY;value_OppositeRelatedEventId;value_RelatedEventId;value_LeftFooted;value_DefBlock;value_IndividualPlay;value_OutOfBoxCentre;value_SwerveLeft;value_LowRight;value_Diving;value_MediumGkIntervention;value_Caught;value_Hands;value_KeeperThrow;value_NotVisible;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_LayOff;value_DeletedEventType;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_Launch;value_Defensive;value_TakeOnSpace;value_Defensive1V1;value_Foul;value_Direct;value_AttemptedTackle;value_Offensive;value_FreeKickTaken;value_BlockedPass;value_InSwinger;value_TouchTypePass;value_TouchTypeClearance;value_TakeOnOvertake;value_SwitchOfPlay;value_BigChance;value_SixYardBlocked;value_Head;value_HeadPass;value_LowCentre;value_LowGkIntervention;value_ShirtPull/Holding;value_ThroughBall;value_OutOfPlay;value_RecklessOffence;value_YellowCard;value_HighGkIntervention;value_GkKickFromHands;value_Shove/Push;value_TouchTypeControl;value_Strong;value_CloseLeft;value_LastLine;value_Left;value_CornerTaken;value_Right;value_BlockedCross;value_HighRight;value_FlickOn;value_BoxLeft;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Overrun;value_FloatedCross;value_Straight;value_Volley;value_SmallBoxLeft;value_High;value_TacticalFoul;value_Unchallenged;value_Minutes;value_EndType;value_FromCorner;value_HighLeft;value_Dissent;value_OverhitCross;value_Injury;value_InjuredPlayerId;value_LeadingToAttempt;value_NotAssisted;value_RelatedError1Id;value_Collected;value_OverArm;value_IncorrectOutOfPlayDecision;value_Handball;value_Indirect;value_HighClaim;value_ParriedSafe;value_Penalty;value_PenaltyTakerId;value_Scored;value_GoalShotTimestamp;value_CausingPlayer;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_GkYTimeOfGoal;value_SecondYellow;value_Sliding;value_ParriedDanger;value_LeadingToGoal;value_BoxRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2676645417;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-04-21T19:44:33.640Z;2024-04-21T20:31:47Z;[{'id': 4971500449, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, rtca480n5ehey5ffvt8nudck, 939wjlo1zcnhfu6jy2px0zmui, 74rnjizxzn5a0oag6sue0ja7e, 9nl0k91lrjonu0z2irbs01oiy, 1j010cibh247p8kjchww6ny3u, 8vnnownnzz2ksuuitbw3ax5yi, 14sld3djevxpcce9co1aqxn9w, fgue58g7u6f2c53ggb0r2oa2, 19ckwd2oz9uyfjznuq2c41btg, 3h8rx5wumr7hktll4hnvx7or8, e7vsajjh4e7t51ciycjg0skd0, 3risld5mac5ns2rrv6namc2l0, f3bqitwkt3mitemcjd61hi044, 6ggqe5gi2w2jjclmbjev6dd78, da3mzb093sxf8i2xznedau8t0, akgtib8zyv5lrvh9mxunj2rdg, 32c9e26wcnr5kmab8ep4zph5g'}, {'id': 4971648555, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 4971500459, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4971500455, 'qualifierId': 130, 'value': '20'}, {'id': 4971646963, 'qualifierId': 197, 'value': '23486'}, {'id': 4971500453, 'qualifierId': 59, 'value': '30, 27, 15, 18, 24, 5, 51, 32, 36, 41, 99, 4, 7, 8, 10, 22, 35, 50'}, {'id': 4971500451, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4971500457, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;cccanrqwn5rgfeyw06cqf3f2s;Team set up;;;;20,0;23486,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2676646517;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-04-21T19:46:12.876Z;2024-04-21T20:40:56Z;[{'id': 4971649251, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 4971649253, 'qualifierId': 197, 'value': '23381'}, {'id': 4971506501, 'qualifierId': 30, 'value': '1o5qnb5ktq4u6t11lj3fqntg, 8qqehla9xvhut6uua4a0zcju2, am8ndwmm4m03ys6wkad29lst0, 6kfmf44wdx1btf9mwqdmo36z8, dw8iyfupgsqkt8ogxssmtss4q, 8p3y7tm4lzwp39tojonnohaay, 7pegcq6kh8s6naujxky714ys4, 1e2rcqui6mxvgyrsha9fr1ai2, btqe4tigm004n7dj039au2sfe, ew8oodr9hiuqve7xlz24xznfu, 7gh46rkxaa7trgtp8lf1l591w, 38z2cuwmbeanujqho9cqwozmy, 3gzatxlefe9axcrqyllbtrzmc, f1oc42nax0yel4gblge49py7e, 28kg6zbpgbb8zrnhidogpxi0a, 1ss7pdaxmlk0sijax5brwpkyy, 6hh057kb54ovy3lqxo5bvxlhw, 4wu5ystem7t4d7veep83j2qne, 63r5yw1u82xzwndp8c6rwvzoq, 86piuxs9tep01rcbsp3t8vx90'}, {'id': 4971506511, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4971506507, 'qualifierId': 130, 'value': '8'}, {'id': 4971506503, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4971506509, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4971506505, 'qualifierId': 59, 'value': '31, 22, 72, 24, 34, 56, 80, 21, 77, 39, 46, 40, 41, 45, 47, 48, 49, 53, 54, 55'}];;;;cccanrqwn5rgfeyw06cqf3f2s;Team set up;;;;8,0;23381,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;North Texas;0;;
2676672813;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-04-21T20:34:05.904Z;2024-04-26T12:39:53Z;[{'id': 4971657407, 'qualifierId': 127, 'value': 'Right to Left'}];;;;cccanrqwn5rgfeyw06cqf3f2s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;North Texas;0;;
2676672809;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-04-21T20:34:05.904Z;2024-04-21T20:34:06Z;[{'id': 4971657393, 'qualifierId': 127, 'value': 'Left to Right'}];;;;cccanrqwn5rgfeyw06cqf3f2s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2676672821;3;1;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;50,2;50,0;2024-04-21T20:34:05.928Z;2024-04-21T20:34:10Z;[{'id': 4971657421, 'qualifierId': 141, 'value': '45.5'}, {'id': 4971657417, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971657427, 'qualifierId': 279, 'value': 'S'}, {'id': 4971657423, 'qualifierId': 212, 'value': '20.8'}, {'id': 4971657419, 'qualifierId': 140, 'value': '30.6'}, {'id': 4971657425, 'qualifierId': 213, 'value': '3.29'}];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;45,5;;;20,8;30,6;3,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;30,6;45,5;;;;;;;;0;0;0;North Texas;0;AMC;1,0
2676672885;4;1;1;0;4;iiolvosiuokkrl5iuoxcjo4p;1;30,9;45,2;2024-04-21T20:34:09.979Z;2024-04-21T20:34:12Z;[{'id': 4971657797, 'qualifierId': 212, 'value': '30.0'}, {'id': 4971657791, 'qualifierId': 56, 'value': 'Center'}, {'id': 4971657795, 'qualifierId': 141, 'value': '73.9'}, {'id': 4971657799, 'qualifierId': 213, 'value': '0.71'}, {'id': 4971657793, 'qualifierId': 140, 'value': '52.6'}];dw8iyfupgsqkt8ogxssmtss4q;M. Edwards;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;73,9;;;30,0;52,6;0,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;52,6;73,9;;;;;;;;0;0;4;North Texas;4;DL;1,0
2676672937;5;1;1;0;6;iiolvosiuokkrl5iuoxcjo4p;1;52,9;73,0;2024-04-21T20:34:12.219Z;2024-04-21T20:34:17Z;[{'id': 4971658065, 'qualifierId': 141, 'value': '65.8'}, {'id': 4971658069, 'qualifierId': 213, 'value': '3.78'}, {'id': 4971658063, 'qualifierId': 140, 'value': '46.6'}, {'id': 4971658067, 'qualifierId': 212, 'value': '8.2'}, {'id': 4971658061, 'qualifierId': 56, 'value': 'Back'}];am8ndwmm4m03ys6wkad29lst0;M. Alvarado;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;65,8;;;8,2;46,6;3,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;46,6;65,8;;;;;;;;0;0;6;North Texas;6;DC;1,0
2676672969;6;1;1;0;10;iiolvosiuokkrl5iuoxcjo4p;1;58,2;65,7;2024-04-21T20:34:16.891Z;2024-04-21T20:34:20Z;[{'id': 4971658285, 'qualifierId': 213, 'value': '1.38'}, {'id': 4971658279, 'qualifierId': 140, 'value': '61.9'}, {'id': 4971658283, 'qualifierId': 212, 'value': '20.7'}, {'id': 4971658277, 'qualifierId': 56, 'value': 'Left'}, {'id': 4971658281, 'qualifierId': 141, 'value': '95.6'}];6kfmf44wdx1btf9mwqdmo36z8;W. Frederick;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;95,6;;;20,7;61,9;1,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;61,9;95,6;;;;;;;;0;0;10;North Texas;10;MC;1,0
2676673003;7;1;1;0;14;iiolvosiuokkrl5iuoxcjo4p;1;65,2;95,9;2024-04-21T20:34:19.995Z;2024-04-21T20:34:23Z;[{'id': 4971658491, 'qualifierId': 213, 'value': '0.10'}, {'id': 4971658487, 'qualifierId': 141, 'value': '96.9'}, {'id': 4971658485, 'qualifierId': 140, 'value': '71.6'}, {'id': 4971658489, 'qualifierId': 212, 'value': '6.8'}, {'id': 4971658483, 'qualifierId': 56, 'value': 'Left'}];am8ndwmm4m03ys6wkad29lst0;M. Alvarado;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;96,9;;;6,8;71,6;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;71,6;96,9;;;;;;;;0;0;14;North Texas;14;DC;1,0
2676673041;8;1;1;0;17;iiolvosiuokkrl5iuoxcjo4p;1;68,1;97,4;2024-04-21T20:34:23.179Z;2024-04-21T20:58:04Z;[{'id': 4971658747, 'qualifierId': 140, 'value': '41.2'}, {'id': 4971658751, 'qualifierId': 212, 'value': '30.6'}, {'id': 4971658749, 'qualifierId': 141, 'value': '80.0'}, {'id': 4971658745, 'qualifierId': 56, 'value': 'Back'}, {'id': 4971658753, 'qualifierId': 213, 'value': '3.54'}];7gh46rkxaa7trgtp8lf1l591w;F. Núñez;;cccanrqwn5rgfeyw06cqf3f2s;Pass;;;;;;;;;;80,0;;;30,6;41,2;3,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;41,2;80,0;;;;;;;;0;0;17;North Texas;17;AML;1,0
