field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;6agfr3usj1pblrbq2i9mdpmcq;1;30;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;M. Collodi;;;;;;
3;rtca480n5ehey5ffvt8nudck;2;27;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;H. Endeley;;;;;;
3;939wjlo1zcnhfu6jy2px0zmui;3;15;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;I. Parker;;;;3risld5mac5ns2rrv6namc2l0;68,0;2,0
2;74rnjizxzn5a0oag6sue0ja7e;4;18;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;C. Sainté;;;;akgtib8zyv5lrvh9mxunj2rdg;68,0;2,0
2;9nl0k91lrjonu0z2irbs01oiy;5;24;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;A. Korça;;;;f3bqitwkt3mitemcjd61hi044;78,0;2,0
2;1j010cibh247p8kjchww6ny3u;6;5;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;N. Gordon;;;;;;
3;8vnnownnzz2ksuuitbw3ax5yi;7;51;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;A. Ramirez;;;;32c9e26wcnr5kmab8ep4zph5g;45,0;2,0
3;14sld3djevxpcce9co1aqxn9w;8;32;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;N. Norris;;;;e7vsajjh4e7t51ciycjg0skd0;58,0;2,0
4;fgue58g7u6f2c53ggb0r2oa2;9;36;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;M. Henry-Scott;;;;;;
4;19ckwd2oz9uyfjznuq2c41btg;10;41;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;T. Scott;;;;;;
4;3h8rx5wumr7hktll4hnvx7or8;11;99;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;E. Sali;;;;6ggqe5gi2w2jjclmbjev6dd78;45,0;2,0
5;e7vsajjh4e7t51ciycjg0skd0;0;4;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;T. Humphrey;14sld3djevxpcce9co1aqxn9w;58,0;2,0;;;
5;3risld5mac5ns2rrv6namc2l0;0;7;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;A. Zanne;939wjlo1zcnhfu6jy2px0zmui;68,0;2,0;;;
5;f3bqitwkt3mitemcjd61hi044;0;8;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;N. Mendonça;9nl0k91lrjonu0z2irbs01oiy;78,0;2,0;;;
5;6ggqe5gi2w2jjclmbjev6dd78;0;10;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;Pedrinho;3h8rx5wumr7hktll4hnvx7or8;45,0;2,0;;;
5;da3mzb093sxf8i2xznedau8t0;0;22;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;;;;;;;
5;akgtib8zyv5lrvh9mxunj2rdg;0;35;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;T. Pondeca;74rnjizxzn5a0oag6sue0ja7e;68,0;2,0;;;
5;32c9e26wcnr5kmab8ep4zph5g;0;50;20;99l7fsj6ykgbyqcb9zqqu9dgq;cccanrqwn5rgfeyw06cqf3f2s;away;1;;D. García;8vnnownnzz2ksuuitbw3ax5yi;45,0;2,0;;;
1;1o5qnb5ktq4u6t11lj3fqntg;1;31;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;GK;A. Beaudry;;;;;;
2;8qqehla9xvhut6uua4a0zcju2;2;22;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;DR;S. Anderson;;;;1ss7pdaxmlk0sijax5brwpkyy;61,0;2,0
2;am8ndwmm4m03ys6wkad29lst0;3;72;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;DC;M. Alvarado;;;;4wu5ystem7t4d7veep83j2qne;87,0;2,0
3;6kfmf44wdx1btf9mwqdmo36z8;4;24;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;MC;W. Frederick;;;;;;
2;dw8iyfupgsqkt8ogxssmtss4q;5;34;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;DL;M. Edwards;;;;;;
2;8p3y7tm4lzwp39tojonnohaay;6;56;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;DC;N. Jones;;;;;;
3;7pegcq6kh8s6naujxky714ys4;7;80;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;AMR;N. Strellnauer;;;;6hh057kb54ovy3lqxo5bvxlhw;61,0;2,0
3;1e2rcqui6mxvgyrsha9fr1ai2;8;21;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;MC;J. Löffelsend;;;;f1oc42nax0yel4gblge49py7e;32,0;1,0
4;btqe4tigm004n7dj039au2sfe;9;77;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;FW;D. Yapi;;;;28kg6zbpgbb8zrnhidogpxi0a;77,0;2,0
3;ew8oodr9hiuqve7xlz24xznfu;10;39;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;AMC;M. Vargas;;;;;;
3;7gh46rkxaa7trgtp8lf1l591w;11;46;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;AML;F. Núñez;;;;;;
5;38z2cuwmbeanujqho9cqwozmy;0;40;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;;;;;;;
5;3gzatxlefe9axcrqyllbtrzmc;0;41;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;;;;;;;
5;f1oc42nax0yel4gblge49py7e;0;45;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;D. Amadou;1e2rcqui6mxvgyrsha9fr1ai2;32,0;1,0;;;
5;28kg6zbpgbb8zrnhidogpxi0a;0;47;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;A. Díaz;btqe4tigm004n7dj039au2sfe;77,0;2,0;;;
5;1ss7pdaxmlk0sijax5brwpkyy;0;48;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;L. Batiste;8qqehla9xvhut6uua4a0zcju2;61,0;2,0;;;
5;6hh057kb54ovy3lqxo5bvxlhw;0;49;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;A. García;7pegcq6kh8s6naujxky714ys4;61,0;2,0;;;
5;4wu5ystem7t4d7veep83j2qne;0;53;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;S. Flores;am8ndwmm4m03ys6wkad29lst0;87,0;2,0;;;
5;63r5yw1u82xzwndp8c6rwvzoq;0;54;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;;;;;;;
5;86piuxs9tep01rcbsp3t8vx90;0;55;8;iiolvosiuokkrl5iuoxcjo4p;cccanrqwn5rgfeyw06cqf3f2s;home;1;Sub;;;;;;;
