field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;2y9o7d8tm1f8fnp6jewxzifis;1;76;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;A. Rick;;;;;;
2;15v2azulwhof0p216i7bjp250;2;30;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;J. Berdecio;;;;872ifpo3qufi9vv9vy7ty6uj8;66,0;2,0
2;2qz3ojbfedl8psp1tvq0183ro;3;39;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;F. Westfield;;;;;;
3;81w1fqi66z0ibawynhraybaxg;4;22;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;S. Ngabo;;;;;;
2;3h4x6eh6zkcaww4g6rhkwpbf8;5;44;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;Neil Pierre;;;;;;
2;a3qa9kw3vbh8nu5mgns92czro;6;29;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;O. Makhanya;;;;;;
3;993vihjmsn70q9w237fatzgbu;7;24;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;N. Pariano;;;;20wmdzih6b1t0ekt1v2qd4b2s;66,0;2,0
3;45v94x6b8g7n4xa3lsfdp6pzo;8;41;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;D. Vazquez;;;;cjhjwaelyypl3ca9gpzu61vys;76,0;2,0
4;ngmdu10fjli45jvddeljv8yc;9;35;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;M. Anderson;;;;434xf7moiduhzy9ivp7jxr10;66,0;2,0
4;9j3va21w5i9ypf8qmt4g1vggk;10;77;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;E. Davis;;;;ov4fk38lrcculu6tdbnrto2c;83,0;2,0
4;9j3va21w5i9ypf8qmt4g1vggk;10;77;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;E. Davis;;;;cbpm8k301adrmft5fd0kaeiuh;83,0;2,0
3;7bodno8j3qjiqp9wy8kobwmqc;11;56;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;C. Olney;;;;;;
5;cjhjwaelyypl3ca9gpzu61vys;0;38;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;G. Sequera;45v94x6b8g7n4xa3lsfdp6pzo;76,0;2,0;;;
5;5aszabja459117mqykvfpajh0;0;42;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;;;;;;;
5;82h370aim64ufe2pugftbfxg4;0;43;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;;;;;;;
5;434xf7moiduhzy9ivp7jxr10;0;55;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;S. Olivas;ngmdu10fjli45jvddeljv8yc;66,0;2,0;;;
5;1ceqwz4ozqi6ft5l4hf5a04r8;0;57;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;;;;;;;
5;872ifpo3qufi9vv9vy7ty6uj8;0;58;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;G. Wetzel;15v2azulwhof0p216i7bjp250;66,0;2,0;;;
5;cbpm8k301adrmft5fd0kaeiuh;0;88;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;K. Tucker;5gd78gkv3k39vofarmapgeuj8;83,0;2,0;;;
5;cbpm8k301adrmft5fd0kaeiuh;0;88;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;K. Tucker;9j3va21w5i9ypf8qmt4g1vggk;83,0;2,0;;;
5;c59pt9nvdpxlp6xvs78un16hg;0;98;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;;;;;;;
5;20wmdzih6b1t0ekt1v2qd4b2s;0;99;23;1zgjjyruyufrkh4xjvryqsb1i;cdi8rq3pm3ors98rl4dcw07is;home;1;;C. Sullivan;993vihjmsn70q9w237fatzgbu;66,0;2,0;;;
1;bvtvko74cyeqe297mp6shrf2s;1;21;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;GK;A. Stokes;;;;;;
2;5gd78gkv3k39vofarmapgeuj8;2;20;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;DR;J. Mina;;;;ov4fk38lrcculu6tdbnrto2c;77,0;2,0
2;5gd78gkv3k39vofarmapgeuj8;2;20;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;DR;J. Mina;;;;cbpm8k301adrmft5fd0kaeiuh;77,0;2,0
2;nhhmltlm3ayn7vqmp6etck5w;3;24;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;DC;C. Ofori;;;;35eyloaqnyzxecdatlfdqfbis;84,0;2,0
3;5u3ohty1lsm0fn2ltez4g7o5w;4;91;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;MC;B. Estrela;;;;;;
2;5jqdll75iffj1cykuz06ue7ai;5;4;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;DL;A. Reyes;;;;;;
2;59kitnlge8bjsxmhy850bsutw;6;34;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;DC;J. Gutierrez;;;;;;
3;8q2wozyqz4nveabn71hc614dm;7;65;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;AMR;S. Sserwadda;;;;;;
3;8u0efvao8rym6mdx0tl0h0qac;8;44;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;MC;A. Jarvis;;;;o3gftw0hatp1r62ynjmlaaui;66,0;2,0
4;4akvdujqbywk628gok9xbh2j8;9;97;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;FW;F. Ssebufu;;;;es0bxxdxf6bco25evmg19ic4;84,0;2,0
3;afqry84j23xgkhqryrontj190;10;82;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;AMC;I. Kasule;;;;;;
3;e4rpnf90oa672lcm8ego7vllg;11;79;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;AML;R. Mosquera;;;;65g50zt5gbo1lnrbc7uvwsbo4;67,0;2,0
5;e23u0x31okggroh6dkoqx5fdg;0;27;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;;;;;;;
5;gz9dek1oxgman9jslfku0zmy;0;35;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;;;;;;;
5;es0bxxdxf6bco25evmg19ic4;0;37;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;M. Sofo;4akvdujqbywk628gok9xbh2j8;84,0;2,0;;;
5;o3gftw0hatp1r62ynjmlaaui;0;46;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;D. Sullivan;8u0efvao8rym6mdx0tl0h0qac;66,0;2,0;;;
5;76xo0u2yd2cqf8xdyh8rteqdw;0;57;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;;;;;;;
5;65g50zt5gbo1lnrbc7uvwsbo4;0;66;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;T. Rosborough;e4rpnf90oa672lcm8ego7vllg;67,0;2,0;;;
5;35eyloaqnyzxecdatlfdqfbis;0;76;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;J. Bryjak;nhhmltlm3ayn7vqmp6etck5w;84,0;2,0;;;
5;ov4fk38lrcculu6tdbnrto2c;0;90;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;M. Dembele;5gd78gkv3k39vofarmapgeuj8;77,0;2,0;;;
5;ov4fk38lrcculu6tdbnrto2c;0;90;8;4g68p0t2f5jzhzfr67i2rj1ex;cdi8rq3pm3ors98rl4dcw07is;away;1;Sub;M. Dembele;9j3va21w5i9ypf8qmt4g1vggk;77,0;2,0;;;
