id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_JerseyNumber;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_PassEndY;value_Angle;value_KickOff;value_PassEndX;value_Zone;value_Length;value_Launch;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntendedTackleTarget;value_TouchTypeClearance;value_Left;value_Right;value_OutSwinger;value_RightFooted;value_Cross;value_CornerTaken;value_Chipped;value_Head;value_Offensive;value_DeletedEventType;value_Defensive;value_TakeOnSpace;value_TakeOnOvertake;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_Assist;value_LowRight;value_GoalmouthZ;value_Blocked;value_BlockedY;value_OutOfBoxCentre;value_GkX;value_GkY;value_Assisted;value_IndividualPlay;value_RelatedEventId;value_BlockedX;value_RegularPlay;value_GoalmouthY;value_DefBlock;value_TouchTypePass;value_SwitchOfPlay;value_LayOff;value_IntentionalAssist;value_BoxRight;value_Collected;value_Hands;value_LowGkIntervention;value_Stooping;value_NotVisible;value_High;value_Volley;value_BoxCentre;value_SwerveRight;value_FirstTouch;value_TouchTypeControl;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_BigChance;value_LeftFooted;value_GoalShotGameClock;value_LowCentre;value_SmallBoxCentre;value_Direct;value_Foul;value_AttemptedTackle;value_YellowCard;value_RecklessOffence;value_FreeKickTaken;value_InSwinger;value_FromCorner;value_NotAssisted;value_OutOfPlay;value_PlayersCaughtOffside;value_Indirect;value_MisHit;value_HighRight;value_BlockedCross;value_HighLeft;value_OutOfBoxRight;value_OverArm;value_Shove/Push;value_Handball;value_LeadingToGoal;value_RelatedError1Id;value_KeeperTouched;value_BoxLeft;value_CloseLeft;value_Minutes;value_EndType;value_ThroughBall;value_MediumGkIntervention;value_SetPiece;value_LowLeft;value_ShirtPull/Holding;value_CloseHigh;value_SwerveLeft;value_FreeKick;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_CloseLeftAndHigh;value_Weak;value_CloseRight;value_Diving;value_HighCentre;value_OutOfBoxDeepRight;value_Fingertip;value_Reaching;value_HitWoodwork;value_HitBar;value_ParriedDanger;value_SixYardBlocked;value_BoxDeepLeft;value_Dissent;value_FollowsADribble;value_GkKickFromHands;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_ParriedSafe;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2678494129;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-04-27T00:03:28.980Z;2024-04-27T01:05:07Z;[{'id': 4981492357, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4981498329, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 4981492363, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4981564755, 'qualifierId': 197, 'value': '23351'}, {'id': 4981492365, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4981492359, 'qualifierId': 59, 'value': '1, 2, 3, 6, 4, 5, 30, 18, 9, 32, 10, 8, 14, 17, 20, 25, 33, 35, 36, 37'}, {'id': 4981492361, 'qualifierId': 130, 'value': '4'}, {'id': 4981492355, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, 7m5wyvhq876dyap45egqs2tjo, ov91zkisppven9tp72gfbjf8, 4521gkm1oemvrfsgksz7b6zxm, elvrjpt1jlko4henaqvfid7o4, 641bsr9un81t6sds51fhvijh0, 7nxqbiq6fics5w3qnwhz249as, 22lsn0v0bw7fd9cu6mft0j1ii, 35ds2xu43z6jccyhlr8jsomzu, dcypf9mqtlcn5wetj1z7g3mui, 9yldym4386a2icfk6qb6i90r8, 3dtt0czm41hnuw8mvyn14ys4, 5rusq0uqak1y920vdwpg2f190, 6y4dhco5w4ontgfdtl1oj06xg, 9ocej8xqtn8yf1cg5vp9trbx0'}];;;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Team set up;;;;23351,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Ventura County;0;;
2678494579;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-27T00:06:17.730Z;2024-04-27T01:14:25Z;[{'id': 4981495123, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, c44bkncqmptribnxki1dyppbe, e7q60ne93c6289xwnt9zj65wq, e23yyl43xtcve09dx234uuj8, b4hm7o0o1tlssg0aa1psm704q, 1o0ew8fp44fuo3o7c8ef8pd2i, 1kl9112b8rcbr3k1s5hs353x0, 4o8ulvahxfb06x5xhvflvwhzo, 5zawuirp825t4brhaj90k9duy, 2vq2t4ttpcwey95jzofd60qy2, 2io6rajwkftjli8i14hf606ei, 2eoftsi3eznjjmhu8ybft11ck, byzzgz3ix7vuh6c3hqf7580lw, evup6vvfz5q201s8hg6bhxck, 58akq0ojntf5n123msb1tzeok, 4283da2hccprbybkv4nvmos2c, 7suq9shgwa8fyip80f1zy1mhg'}, {'id': 4981495125, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4981495133, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4981495129, 'qualifierId': 130, 'value': '8'}, {'id': 4981495131, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4981495127, 'qualifierId': 59, 'value': '31, 75, 50, 52, 12, 51, 30, 21, 29, 84, 61, 47, 71, 72, 74, 81, 87, 95, 97'}, {'id': 4981578275, 'qualifierId': 194, 'value': 'e7q60ne93c6289xwnt9zj65wq'}, {'id': 4981564943, 'qualifierId': 197, 'value': '23342'}];;;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Team set up;;;;23342,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;0;0;Austin II;0;;
2678506985;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-04-27T01:04:34.790Z;2024-04-29T14:00:21Z;[{'id': 4981565533, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Ventura County;0;;
2678506981;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-27T01:04:34.790Z;2024-04-27T01:04:34Z;[{'id': 4981565517, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;0;0;Austin II;0;;
2678506997;3;1;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;50,0;50,0;2024-04-27T01:04:34.791Z;2024-04-27T01:04:40Z;[{'id': 4981565595, 'qualifierId': 141, 'value': '50.9'}, {'id': 4981565599, 'qualifierId': 213, 'value': '3.12'}, {'id': 4981565601, 'qualifierId': 279, 'value': 'S'}, {'id': 4981565593, 'qualifierId': 140, 'value': '24.5'}, {'id': 4981565591, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981565597, 'qualifierId': 212, 'value': '26.8'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;50,9;3,12;;24,5;;26,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;24,5;50,9;;;;;;;;0;0;0;Ventura County;0;MC;1,0
2678507009;4;1;1;0;5;d0c07im4a6oj8qa7f1zlt3pqs;0;24,5;50,9;2024-04-27T01:04:40.085Z;2024-04-29T14:11:57Z;[{'id': 4981565653, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981565655, 'qualifierId': 140, 'value': '69.1'}, {'id': 4992673509, 'qualifierId': 157}, {'id': 4981565661, 'qualifierId': 213, 'value': '6.23'}, {'id': 4981565659, 'qualifierId': 212, 'value': '46.9'}, {'id': 4981565657, 'qualifierId': 141, 'value': '47.0'}, {'id': 4981565663, 'qualifierId': 1}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;47,0;6,23;;69,1;;46,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;69,1;47,0;;;;;;;;0;0;5;Ventura County;5;GK;1,0
2678507013;3;1;1;0;9;8ijkk62897so5r3bq0wgwx4bu;0;28,1;71,5;2024-04-27T01:04:43.880Z;2024-04-27T01:04:45Z;[{'id': 4981565677, 'qualifierId': 3}, {'id': 4981565683, 'qualifierId': 141, 'value': '77.3'}, {'id': 4981565689, 'qualifierId': 213, 'value': '0.54'}, {'id': 4981565685, 'qualifierId': 212, 'value': '7.6'}, {'id': 4981565679, 'qualifierId': 56, 'value': 'Back'}, {'id': 4981565681, 'qualifierId': 140, 'value': '34.3'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;77,3;0,54;;34,3;;7,6;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;34,3;77,3;;;;;;;;0;0;9;Austin II;9;DC;1,0
2678507021;5;1;1;0;11;d0c07im4a6oj8qa7f1zlt3pqs;1;60,7;27,4;2024-04-27T01:04:45.824Z;2024-04-27T01:04:47Z;[{'id': 4981565733, 'qualifierId': 56, 'value': 'Center'}, {'id': 4981565735, 'qualifierId': 140, 'value': '73.1'}, {'id': 4981565739, 'qualifierId': 212, 'value': '13.7'}, {'id': 4981565737, 'qualifierId': 141, 'value': '33.7'}, {'id': 4981565741, 'qualifierId': 213, 'value': '0.32'}, {'id': 4981565731, 'qualifierId': 3}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;33,7;0,32;;73,1;;13,7;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;73,1;33,7;;;;;;;;0;0;11;Ventura County;11;DR;1,0
2678507029;6;1;1;0;12;d0c07im4a6oj8qa7f1zlt3pqs;1;68,0;27,1;2024-04-27T01:04:47.435Z;2024-04-27T01:04:49Z;[{'id': 4981565787, 'qualifierId': 140, 'value': '71.2'}, {'id': 4981565791, 'qualifierId': 212, 'value': '9.1'}, {'id': 4981565793, 'qualifierId': 213, 'value': '5.09'}, {'id': 4981565789, 'qualifierId': 141, 'value': '14.6'}, {'id': 4981565785, 'qualifierId': 56, 'value': 'Right'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;14,6;5,09;;71,2;;9,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;71,2;14,6;;;;;;;;0;0;12;Ventura County;12;FW;1,0
2678507039;7;1;1;0;15;d0c07im4a6oj8qa7f1zlt3pqs;0;72,0;10,0;2024-04-27T01:04:49.799Z;2024-04-27T01:04:52Z;[{'id': 4981565857, 'qualifierId': 213, 'value': '0.10'}, {'id': 4981565853, 'qualifierId': 212, 'value': '30.1'}, {'id': 4981565845, 'qualifierId': 140, 'value': '100.0'}, {'id': 4981565849, 'qualifierId': 141, 'value': '14.6'}, {'id': 4981565843, 'qualifierId': 56, 'value': 'Right'}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;;cf0wj8cwbvzvjfk5ysd9r7bpw;Pass;;;;;;;;;;14,6;0,1;;100,0;;30,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;100,0;14,6;;;;;;;;0;0;15;Ventura County;15;FWR;1,0
