field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;81a5mbcfvbxke0w3cbq65ld2i;1;1;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;GK;M. Alstrup;;;;;;
2;8ly83pm2mbtz4u7jwsv0o96qy;2;2;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;DR;C. Touré;;;;;;
2;9nlw8tihbzfnvkt5uproa79jo;3;3;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;DC;Rubén Bonachera;;;;;;
3;2yxzh220ndd4s4wqditruo0h6;4;6;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;MC;A. Ramírez;;;;;;
2;ec3xdenc4ncg4sc8ni4kkyln8;5;4;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;DL;A. Gomez;;;;;;
2;d0riqrsz7ojwb9m94rbvx7r6y;6;5;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;DC;S. Mazzaferro;;;;;;
3;7m5wyvhq876dyap45egqs2tjo;7;30;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;MC;E. Torres;;;;7nxqbiq6fics5w3qnwhz249as;85,0;2,0
3;ov91zkisppven9tp72gfbjf8;8;18;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;MC;B. Byaruhanga;;;;;;
4;4521gkm1oemvrfsgksz7b6zxm;9;9;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;FW;S. Pineau;;;;22lsn0v0bw7fd9cu6mft0j1ii;66,0;2,0
4;elvrjpt1jlko4henaqvfid7o4;10;32;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;FWR;M. Burton;;;;35ds2xu43z6jccyhlr8jsomzu;66,0;2,0
4;641bsr9un81t6sds51fhvijh0;11;10;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;FWL;B. Farkarlun;;;;9yldym4386a2icfk6qb6i90r8;70,0;2,0
5;7nxqbiq6fics5w3qnwhz249as;0;8;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;Sub;S. Louis-Jean;7m5wyvhq876dyap45egqs2tjo;85,0;2,0;;;
5;22lsn0v0bw7fd9cu6mft0j1ii;0;14;4;d0c07im4a6oj8qa7f1zlt3pqs;cf0wj8cwbvzvjfk5ysd9r7bpw;home;1;Sub;J. Santillan;4521gkm1oemvrfsgksz7b6zxm;66,0;2,0;;;
