id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_Involved;value_Captain;value_TeamFormation;value_Resume;value_TeamKit;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_Zone;value_KickOff;value_PassEndY;value_PassEndX;value_Angle;value_Launch;value_LongBall;value_HeadPass;value_DeletedEventType;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_OutOfPlay;value_TouchTypeClearance;value_DrivenCross;value_BlockedPass;value_Cross;value_RightFooted;value_Straight;value_BlockedCross;value_Left;value_Right;value_OutSwinger;value_CornerTaken;value_HighGkIntervention;value_HighClaim;value_LowGkIntervention;value_KeeperThrow;value_SwitchOfPlay;value_LeftFooted;value_Chipped;value_TakeOnOvertake;value_TakeOnSpace;value_TouchTypePass;value_RelatedEventId;value_GoalmouthZ;value_Blocked;value_GkX;value_LowCentre;value_BlockedX;value_BoxRight;value_GkY;value_BlockedY;value_GoalmouthY;value_Assisted;value_Deflection;value_RegularPlay;value_DefBlock;value_IntendedTackleTarget;value_Direct;value_Shove/Push;value_Foul;value_FreeKickTaken;value_LayOff;value_Handball;value_FlickOn;value_IntentionalAssist;value_Assist;value_BoxCentre;value_FirstTouch;value_HighCentre;value_Head;value_Collected;value_Hands;value_Standing;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_BoxLeft;value_GkYTimeOfGoal;value_LowRight;value_KeeperTouched;value_AttemptedTackle;value_ShirtPull/Holding;value_NotVisible;value_TouchTypeControl;value_ThrowInSetPiece;value_IndividualPlay;value_BigChance;value_CloseHigh;value_SmallBoxCentre;value_NextEventGoalKick;value_Low;value_GoalKick;value_FloatedCross;value_Overrun;value_OutOfBoxCentre;value_FastBreak;value_Weak;value_Caught;value_MediumGkIntervention;value_HighLeft;value_InSwinger;value_LastLine;value_LeadingToAttempt;value_RelatedError1Id;value_SmallBoxRight;value_FromCorner;value_NotAssisted;value_Diving;value_ParriedSafe;value_High;value_CloseLeft;value_Minutes;value_ThroughBall;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_OverhitCross;value_NotPastGoalLine;value_PlayersCaughtOffside;value_Indirect;value_InjuredPlayerId;value_Injury;value_DetailedPositionId;value_TacticalFoul;value_YellowCard;value_TimeWasting;value_RecklessOffence;value_GkHoof;value_SixYardBlocked;value_LowLeft;value_Argument;value_CloseRight;value_BoxDeepRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2679311973;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-04-27T22:22:42.001Z;2024-04-27T23:04:15Z;[{'id': 4985939911, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4985939907, 'qualifierId': 59, 'value': '15, 23, 22, 8, 5, 20, 11, 25, 9, 6, 58, 3, 7, 10, 12, 14, 19, 32, 33, 71'}, {'id': 4985939903, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, exunlng0cgo9bpqh4x6jpxyax, 1h5rgsol19v1pcl5ksstrv9t6, 4cwccglaxz5sf71eptnj6kzfu, cpbyoj822ivx6qrqbkun1zr3d, 7e8xkqlux0myjc5cwtb7rega1, 4hdai9za2ls03tjpcw0ahu5wq, b4te1cxogvhtglhug3sdgkmei, a3eln6gas8765a3pn6ecqjvxm, 6zbb5xiauoixj3clxdgud8lxw, adfocor2tbcmxo03ednm8vywa, 2d3dwhrtafkd1b8q1nzerqew9, 9pnleeb8crwe625807assjkk, 5m8hxfvza21t4wfe6v0a18etw, 9gk1m714ni2m8n26uybsgadey, 87nhafgkozygrd5f06ore0xzo, 246vnjq690m4ju1wkfrezlql1, ew3qxbn1ev1qv7wi0iwoc642c, at2xv960peboe9spoag2kn21g, 82uh6ad46fvub9b0vfapw2vze'}, {'id': 4985939913, 'qualifierId': 194, 'value': '7jaa504py8qcx30a2p1vgn8d0'}, {'id': 4985939909, 'qualifierId': 130, 'value': '8'}, {'id': 4985939915, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4986035483, 'qualifierId': 197, 'value': '23330'}, {'id': 4985939905, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;cfedqbo7swgejjxszdj49v28k;Team set up;;;;;8,0;;23330,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;0;Carolina Core;0;;
2679316723;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-04-27T22:31:55.858Z;2024-04-28T00:11:44Z;[{'id': 4986035063, 'qualifierId': 197, 'value': '23612'}, {'id': 4985963157, 'qualifierId': 59, 'value': '1, 44, 14, 24, 4, 20, 21, 52, 15, 10, 7, 98, 13, 8, 9, 17, 18, 25, 28, 99'}, {'id': 4985963167, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4985963155, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4985963165, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 4985963159, 'qualifierId': 130, 'value': '5'}, {'id': 4985963153, 'qualifierId': 30, 'value': '8qgdg40qe62yreujy7rueil0p, 7s32iecltoopsjddclg0ixzx0, 3acyax22zfwdjw0cpgg4x7dre, 3jx1f1s8r150i6qo2juzooro4, 2d9cw6dcm2wsgrr8mj5rt6zje, f0jwa1a61lxs31g47csjv7itw, 1j1ybmazykfh5nqs7egkcdxck, 1nnd0b4qwlni7tqot2n2st4yy, 8p0k65b4c26ssfk0zh43lme7e, 6oia90bi52zwmgdlvcvfnj1pm, ew25ktcp76pmryz5psl1ctlka, 9i2pmc50q29y560ojvik3sdg4, 1y1nw8t5bj1r6dqie0v1i189g, 5jxj5s38o1nx0xbnapwl58bo4, eehmjxbl4xwc3mz1geibnszkk, 4t078b0rnzmi8u83wzmdwze38, 11ppoeb5n4q657bwbg4cdxck, 4n2c7qt6r6qqhzjs64nvytqs, 1irhjiafn9ushepjvevbkn6ui, 6qu8uu28fk2dbbeymuu6yii38'}, {'id': 4985963163, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cfedqbo7swgejjxszdj49v28k;Team set up;;;;;5,0;;23612,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;0;0;Chattanooga;0;;
2679330725;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-04-27T23:04:57.831Z;2024-04-27T23:04:58Z;[{'id': 4986036679, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cfedqbo7swgejjxszdj49v28k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;0;0;Chattanooga;0;;
2679330727;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-04-27T23:04:57.831Z;2024-04-30T17:05:49Z;[{'id': 4986036689, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cfedqbo7swgejjxszdj49v28k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;0;Carolina Core;0;;
2679330735;3;1;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;50,0;50,0;2024-04-27T23:04:57.832Z;2024-04-27T23:05:01Z;[{'id': 4986036717, 'qualifierId': 212, 'value': '20.9'}, {'id': 4986036711, 'qualifierId': 56, 'value': 'Back'}, {'id': 4986036721, 'qualifierId': 279, 'value': 'S'}, {'id': 4986036715, 'qualifierId': 141, 'value': '49.9'}, {'id': 4986036713, 'qualifierId': 140, 'value': '30.1'}, {'id': 4986036719, 'qualifierId': 213, 'value': '3.14'}];b4te1cxogvhtglhug3sdgkmei;J. Arthur;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;20,9;;;49,9;30,1;3,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;30,1;49,9;;;;;;;0;0;0;0;Carolina Core;0;MC;1,0
2679330767;4;1;1;0;3;cwnjxlibb02fuh0vwgvac6h45;0;30,1;49,9;2024-04-27T23:05:01.496Z;2024-05-01T09:20:07Z;[{'id': 4986036889, 'qualifierId': 212, 'value': '49.5'}, {'id': 4986036883, 'qualifierId': 56, 'value': 'Left'}, {'id': 4995127397, 'qualifierId': 157}, {'id': 4986036885, 'qualifierId': 140, 'value': '67.7'}, {'id': 4986036891, 'qualifierId': 213, 'value': '0.65'}, {'id': 4986036893, 'qualifierId': 1}, {'id': 4986036887, 'qualifierId': 141, 'value': '93.9'}];cpbyoj822ivx6qrqbkun1zr3d;A. Prepeliţă;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;49,5;;;93,9;67,7;0,65;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;67,7;93,9;;;;;;;0;0;0;3;Carolina Core;3;DL;1,0
2679330787;3;1;1;0;7;2nnef9tr9g7m2s6n873qif95g;0;30,0;14,7;2024-04-27T23:05:04.878Z;2024-04-27T23:53:58Z;[{'id': 4986036993, 'qualifierId': 3}, {'id': 4986036999, 'qualifierId': 141, 'value': '11.9'}, {'id': 4986037003, 'qualifierId': 213, 'value': '6.14'}, {'id': 4986036995, 'qualifierId': 56, 'value': 'Back'}, {'id': 4986036997, 'qualifierId': 140, 'value': '43.0'}, {'id': 4986037001, 'qualifierId': 212, 'value': '13.8'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;cfedqbo7swgejjxszdj49v28k;Pass;;;;;;;;;;13,8;;;11,9;43,0;6,14;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;43,0;11,9;;;;;;;0;0;0;7;Chattanooga;7;DR;1,0
2681004643;1039;61;1;0;8;cwnjxlibb02fuh0vwgvac6h45;0;65,9;91,6;2024-04-27T23:05:06.230Z;2024-05-01T09:20:37Z;[{'id': 4995128135, 'qualifierId': 56, 'value': 'Left'}];6zbb5xiauoixj3clxdgud8lxw;C. Watson;;;cfedqbo7swgejjxszdj49v28k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;0;0;0;8;Carolina Core;8;AMC;1,0
2679330793;4;43;1;0;10;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-04-27T23:05:08.213Z;2024-04-27T23:05:26Z;[{'id': 4986037025, 'qualifierId': 56, 'value': 'Right'}, {'id': 4986037035, 'qualifierId': 1, 'value': '0'}, {'id': 4986037029, 'qualifierId': 141, 'value': '0.0'}, {'id': 4986037033, 'qualifierId': 213, 'value': '5.58'}, {'id': 4986037023, 'qualifierId': 157, 'value': '0'}, {'id': 4986037027, 'qualifierId': 140, 'value': '53.9'}, {'id': 4986037491, 'qualifierId': 144, 'value': '1'}, {'id': 4986037031, 'qualifierId': 212, 'value': '14.8'}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;cfedqbo7swgejjxszdj49v28k;Deleted event;;;;;;;;;;14,8;;;0,0;53,9;5,58;0,0;0,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;53,9;0,0;;;;;;;0;0;0;10;Chattanooga;10;MR;1,0
2679330801;5;5;1;0;10;2nnef9tr9g7m2s6n873qif95g;1;45,3;-1,7;2024-04-27T23:05:08.755Z;2024-05-01T09:20:40Z;[{'id': 4986037233, 'qualifierId': 233, 'value': '6'}, {'id': 4986037051, 'qualifierId': 347}, {'id': 4986037049, 'qualifierId': 56, 'value': 'Back'}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;cfedqbo7swgejjxszdj49v28k;Out;;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;0;10;Chattanooga;10;MR;1,0
