id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_Involved;value_PlayerPosition;value_Resume;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Zone;value_Length;value_Angle;value_PassEndX;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_FlickOn;value_Assist;value_GoalmouthZ;value_OutOfBoxCentre;value_CloseLeft;value_RegularPlay;value_GoalmouthY;value_IndividualPlay;value_GkY;value_Assisted;value_GkX;value_RelatedEventId;value_RightFooted;value_NextEventGoalKick;value_Low;value_GoalKick;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_PlayersCaughtOffside;value_NotVisible;value_FreeKickTaken;value_Indirect;value_BlockedPass;value_IntendedTackleTarget;value_LayOff;value_OutSwinger;value_Cross;value_LeftFooted;value_TouchTypeControl;value_Shove/Push;value_Direct;value_Foul;value_InSwinger;value_HighGkIntervention;value_Right;value_Left;value_CornerTaken;value_OverArm;value_KeeperThrow;value_AttemptedTackle;value_TakeOnOvertake;value_IntentionalAssist;value_BoxCentre;value_FirstTouch;value_BigChance;value_TouchTypeClearance;value_LowGkIntervention;value_Head;value_LowCentre;value_BlockedY;value_Volley;value_BlockedX;value_Blocked;value_NotAssisted;value_DefBlock;value_DrivenCross;value_Straight;value_OutOfPlay;value_High;value_BoxDeepRight;value_GkKickFromHands;value_BlockedCross;value_DeletedEventType;value_BoxLeft;value_NotPastGoalLine;value_BoxRight;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_Deflection;value_HighRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_HighCentre;value_ParriedSafe;value_Reaching;value_Hands;value_MediumGkIntervention;value_SwerveRight;value_ShirtPull/Holding;value_BoxDeepLeft;value_FromCorner;value_SmallBoxCentre;value_LowRight;value_SixYardBlocked;value_ThroughBall;value_HitWoodwork;value_HitBar;value_1On1;value_ParriedDanger;value_Sliding;value_Feet;value_FastBreak;value_SmallBoxLeft;value_Stooping;value_HighClaim;value_TacticalFoul;value_YellowCard;value_Standing;value_SoloRun;value_Overrun;value_TakeOnSpace;value_Minutes;value_SwerveLeft;value_CloseHigh;value_EndType;value_Caught;value_SetPiece;value_LowLeft;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_HighLeft;value_Diving;value_Collected;value_SwitchOfPlay;value_MisHit;value_CaptainChange;value_RecklessOffence;value_RedCard;value_ProfessionalFoulLastMan;value_FreeKick;value_ByWall;value_NotRetreating;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_VideoCoverageLost;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680144049;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-28T18:12:35.829Z;2024-05-01T18:15:44Z;[{'id': 4990429073, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990429069, 'qualifierId': 59, 'value': '73, 31, 3, 13, 5, 43, 17, 22, 39, 14, 11, 23, 45, 30, 16, 33, 41, 34, 35, 27'}, {'id': 4990497145, 'qualifierId': 194, 'value': 'ahgclh3e05evznhrpa32z6g6i'}, {'id': 4990429063, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, et772m1f5cqceeffckpnty1p0, 906i3qf1bf6nx6pla85e869lg, 5adul4r3hifu5x4tv8efr05ey, ahgclh3e05evznhrpa32z6g6i, 357vd87hv0jvljqtt2qf4vmz8, 40qi53orb0eur2jevowkvrcb8, 4iepghv4p490fxo5s429qeicq, 69ypla76c710iv0yegix1maz8, 9u37akzkhdyszhevgrjghq99m, 6han4f5xq1d0ii0ol2drgi4bu, akwjik09wytzzr3yras0diqz8, bnspew1iw2jxr1s3a5oubp4ic, dbyiafdyf93b8rtpceqitgopg, anysxg2z6niqapc5m3f4tzims, 97kzr8rgekycws02q55a63z3e, dc8u2bssrhxycx8vtn0kutp4a, 3o7f3ozutbsry5xl2l7ktct0, c8wq3ofarkeeisqr49fhrvwno, 6j4ibkpbos6w5ikle58u2vo'}, {'id': 4990429065, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4990429077, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990429071, 'qualifierId': 130, 'value': '4'}, {'id': 4990429075, 'qualifierId': 197, 'value': '18745'}];;;;;cg5ihspinpwqdsr1irma22sd0;Team set up;;;;;;;4,0;18745,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2680147025;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-04-28T18:17:16.156Z;2024-05-01T18:13:51Z;[{'id': 4990444769, 'qualifierId': 59, 'value': '99, 2, 32, 6, 4, 15, 43, 10, 22, 70, 9, 1, 8, 12, 17, 23, 62, 85, 90, 92'}, {'id': 4990444773, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990613433, 'qualifierId': 194, 'value': 'bn5ic0uuxaupf6hs2tgqqq0b8'}, {'id': 4990444771, 'qualifierId': 130, 'value': '21'}, {'id': 4990444777, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4990444765, 'qualifierId': 30, 'value': 'as5066ocmlp4tub6d3tnabi1g, 4kng7wg83mastngy9hw7j6v6y, 3oqz86s2ngipsrb1jbb36buqy, bmuuex6k6mwfnqmvvq4ai0f10, c1fvknrf94i05q738d5r7vmdw, bo9momaa9orr52cbwpt348t90, 1yl2e0y3cglm1nwto5uzs3e5m, bn5ic0uuxaupf6hs2tgqqq0b8, 9z7fz0c95ib7oniguzwbihs0k, 1874nj27f507jqja4e8zla1as, cliiemf1ih37qhh1wi1olk9ka, 19igj31auu88fhwdpfz8c1coa, cjjvy22j5q0piz5omn2tf18us, 3x8f4j8q49d8hft60a6k8l5as, infc7r3a8oktbajwp4pff7dg, 7ve3vmg19c3g91j7zs32oecd0, 40za2m92ngp5og8pxyrkxl3is, 9owtf360wi6ky1cr4qwnnfk0k, 8l4bqb8gtyzqpx3pti200phqs, 18j3fojcuybirnn3coilsx4pg'}, {'id': 4990444775, 'qualifierId': 197, 'value': '23485'}, {'id': 4990444767, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;cg5ihspinpwqdsr1irma22sd0;Team set up;;;;;;;21,0;23485,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;New England II;0;;
2680175677;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-04-28T19:04:53.046Z;2024-04-28T19:04:53Z;[{'id': 4990606231, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cg5ihspinpwqdsr1irma22sd0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;New England II;0;;
2680175683;4;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-04-28T19:04:53.046Z;2024-05-01T16:04:13Z;[{'id': 4990606267, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cg5ihspinpwqdsr1irma22sd0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2680175745;3;1;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;50,2;49,7;2024-04-28T19:04:53.047Z;2024-04-28T19:04:57Z;[{'id': 4990606629, 'qualifierId': 279, 'value': 'S'}, {'id': 4990606623, 'qualifierId': 141, 'value': '47.8'}, {'id': 4990606619, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990606625, 'qualifierId': 212, 'value': '26.7'}, {'id': 4990606627, 'qualifierId': 213, 'value': '3.19'}, {'id': 4990606621, 'qualifierId': 140, 'value': '24.8'}];bn5ic0uuxaupf6hs2tgqqq0b8;S. Morales;;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;47,8;;26,7;3,19;24,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;24,8;47,8;;;;;;;0;0;0;0;New England II;0;;1,0
2680175807;4;1;1;0;4;c7c4wwva2u1vb3rr7rwava044;1;30,1;41,3;2024-04-28T19:04:57.340Z;2024-04-28T19:05:01Z;[{'id': 4990606945, 'qualifierId': 213, 'value': '0.58'}, {'id': 4990606941, 'qualifierId': 141, 'value': '81.7'}, {'id': 4990606947, 'qualifierId': 1}, {'id': 4990606939, 'qualifierId': 140, 'value': '69.9'}, {'id': 4990606937, 'qualifierId': 56, 'value': 'Left'}, {'id': 4990606935, 'qualifierId': 157}, {'id': 4990606943, 'qualifierId': 212, 'value': '50.0'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;81,7;;50,0;0,58;69,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;69,9;81,7;;;;;;;0;0;0;4;New England II;4;;1,0
2680175813;5;44;1;0;8;c7c4wwva2u1vb3rr7rwava044;1;68,6;72,2;2024-04-28T19:05:01.245Z;2024-04-28T19:05:02Z;[{'id': 4990606973, 'qualifierId': 56, 'value': 'Center'}, {'id': 4990607091, 'qualifierId': 233, 'value': '5'}, {'id': 4990606975, 'qualifierId': 286}];cliiemf1ih37qhh1wi1olk9ka;R. Carmichael;;;cg5ihspinpwqdsr1irma22sd0;Aerial;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;8;New England II;8;;1,0
2680175825;5;44;1;0;8;csntc7hucmo21gknxc5y0kc4q;0;31,4;27,8;2024-04-28T19:05:01.246Z;2024-04-28T19:05:02Z;[{'id': 4990607033, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990607115, 'qualifierId': 233, 'value': '5'}, {'id': 4990607035, 'qualifierId': 285}];et772m1f5cqceeffckpnty1p0;E. Klein;;;cg5ihspinpwqdsr1irma22sd0;Aerial;;;;;;;;;;;;;;;;;;5,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;8;Inter Miami II;8;DR;1,0
2680175829;6;1;1;0;8;c7c4wwva2u1vb3rr7rwava044;0;69,9;81,7;2024-04-28T19:05:01.564Z;2024-04-28T19:05:02Z;[{'id': 4990607081, 'qualifierId': 140, 'value': '78.8'}, {'id': 4990607087, 'qualifierId': 213, 'value': '5.63'}, {'id': 4990607075, 'qualifierId': 3}, {'id': 4990607085, 'qualifierId': 212, 'value': '11.8'}, {'id': 4990607077, 'qualifierId': 168}, {'id': 4990607083, 'qualifierId': 141, 'value': '71.1'}, {'id': 4990607079, 'qualifierId': 56, 'value': 'Center'}];cliiemf1ih37qhh1wi1olk9ka;R. Carmichael;;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;71,1;;11,8;5,63;78,8;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;78,8;71,1;;;;;;;0;0;0;8;New England II;8;;1,0
2680175839;6;1;1;0;9;csntc7hucmo21gknxc5y0kc4q;0;26,2;34,2;2024-04-28T19:05:02.988Z;2024-04-28T19:05:03Z;[{'id': 4990607149, 'qualifierId': 141, 'value': '37.6'}, {'id': 4990607145, 'qualifierId': 56, 'value': 'Back'}, {'id': 4990607147, 'qualifierId': 140, 'value': '31.0'}, {'id': 4990607153, 'qualifierId': 213, 'value': '0.43'}, {'id': 4990607151, 'qualifierId': 212, 'value': '5.5'}, {'id': 4990607143, 'qualifierId': 3}];ahgclh3e05evznhrpa32z6g6i;V. Souza;;;cg5ihspinpwqdsr1irma22sd0;Pass;;;;;;;;;;;37,6;;5,5;0,43;31,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;31,0;37,6;;;;;;;0;0;0;9;Inter Miami II;9;DL;1,0
