field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;6cdhdb44atdm9b3n7swgi002y;1;50;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;GK;M. Anchor;;;;;;
3;441plehxckmdj5gb2mr6y8ne2;2;41;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;DMR;E. Goldthorp;;;;;;
3;249t35evpr3aasx0uczjs2j9w;3;54;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;DML;M. Gherasimencov;;;;;;
2;bsufynk2wfvpz40nrndah1kb8;4;51;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;DC;D. Saidykhan;;;;;;
2;5et4reh22bzqjp1wcr5sqldnu;5;53;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;DC;B. Sjöberg;;;;;;
2;3yk1gwm7jptmbal0vcwr24is4;6;83;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;DC;F. Linder;;;;;;
3;bhzjqo4qidpkmh7lqqir9h4ic;7;59;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;MC;J. Badwal;;;;;;
3;8hf35b309tq3wuc59xgshmbro;8;48;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;MC;M. Simmons;;;;a1c3kbtkefmrx2vtn304v9s7o;81,0;2,0
4;1ksu0c3adavx1gqbrhalfpatw;9;55;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;FW;C. Kachwele;;;;4lyhopb6ddaz08hd5tu2pos9g;63,0;2,0
4;dvk85r457e15hg0pw5rig0222;10;92;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;FWR;J. Herdman;;;;;;
4;5n7a8mn92t3qajms7udeolmok;11;44;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;FWL;M. Morgan;;;;84wint64ygxx3pi5fz3mr12j8;45,0;2,0
5;4lyhopb6ddaz08hd5tu2pos9g;0;49;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;Sub;M. Mehri;1ksu0c3adavx1gqbrhalfpatw;63,0;2,0;;;
5;84wint64ygxx3pi5fz3mr12j8;0;52;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;Sub;N. Fleuriau Chateau;5n7a8mn92t3qajms7udeolmok;45,0;2,0;;;
5;9gktbx1ux7xxmjklqxjr84844;0;62;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;Sub;;;;;;;
5;a1c3kbtkefmrx2vtn304v9s7o;0;73;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;Sub;B. Lee;8hf35b309tq3wuc59xgshmbro;81,0;2,0;;;
5;4y4mypo5jyzbp0dtvm6y7ajxm;0;95;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;Sub;;;;;;;
5;1hfhnfbma8w2hxiin3dkxos9g;0;99;13;eo64tqkioegeb09iice2hf8bt;cjkq0scyme5g3wyue9l5b04k4;away;1;Sub;;;;;;;
1;aja8uwk6vyjzzd5nvkh7pbtux;1;25;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;GK;T. Muse;;;;;;
2;a89drfd4adts1cbtqa77l1boq;2;45;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;DR;B. Pope;;;;;;
2;a5tjyddv4t8eg9wcum3o15qfo;3;51;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;DC;S. Jura;;;;c88etxtac9g49m3usj08lm1hw;83,0;2,0
3;3f5g2kijev81v9nzwsyxwiiju;4;42;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;MC;A. Moreno;;;;;;
2;d1xlw5bza316m39f9n82hir1m;5;48;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;DL;K. Rad;;;;;;
2;dv0qqd4mx117y4al165nsdic4;6;39;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;DC;T. Clegg;;;;33l8nq6xbj3pm1lkxo2qs5vfu;45,0;2,0
3;5nykil6w1bxfevpp2c5rr32fo;7;80;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;AMR;J. Jones-Riley;;;;;;
3;druwx3n136woly4objqgk7tp0;8;46;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;MC;A. Enriquez;;;;e076q290ab1o6qz9vthl2c0a2;68,0;2,0
4;5gvvjvj3aw75jrxcmajcx2b6c;9;37;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;FW;N. Santos;;;;5lwarg9t4o7hxcq5exe8gwydw;68,0;2,0
3;7t8o8pe93me2pef74vw21nr6y;10;70;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;AMC;J. Penn;;;;6zolwstla33ppx84k1o2v8rv8;60,0;2,0
3;8p8xhni028mqjv6kz6fdz850q;11;77;8;5ou8b446l1sl8frblkz3xi17g;cjkq0scyme5g3wyue9l5b04k4;home;1;AML;K. Linhares;;;;;;
