field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;dmeyu5u98jwawdkmyv3a0vi8k;1;61;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;GK;O. Kelly;;;;;;
2;5g3yur7k1fvc47hjz5y2zrze;2;12;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;DR;D. Dodson;;;;2ye36bmajaqbiwf8713uocob8;45,0;2,0
2;2pka62t1zg04jwkcx6zbc4wlw;3;39;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;DC;F. McRobb;;;;;;
3;69h930ebovyl7rut5dz4r2iok;4;36;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;MC;M. Khan;;;;;;
2;9s3boszvqn3fzsx0r1xswqyqy;5;40;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;DL;V. Eriksson;;;;1795jw1oc3pkthyq0kqexh65m;76,0;2,0
2;aqqjtiyr2nayy6rjq6wxk6ec4;6;23;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;DC;M. Duggan;;;;;;
3;iu61re9bbusv2w7fu7w6505w;7;90;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;AMR;L. Mesanvi;;;;;;
3;6e688gqc8qzt0h9cutptkcd90;8;42;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;MC;J. Arias;;;;a4staqjshva5lhcr0dw744nze;80,0;2,0
4;45b72f8szmqnv8tz06j7mj1wq;9;29;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;FW;P. Weah;;;;1unlspl01ht69hrm9apxt4oic;86,0;2,0
3;8hftsf1ff8839jdbe3e6lmm1g;10;38;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;AMC;K. Romanshyn;;;;;;
3;byelagxi3qg0rb06tjl3fodn8;11;57;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;AML;D. Randell;;;;658tknyb70yhkx52dg4ttngus;76,0;2,0
5;a4staqjshva5lhcr0dw744nze;0;34;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;R. O'Driscoll;6e688gqc8qzt0h9cutptkcd90;80,0;2,0;;;
5;1795jw1oc3pkthyq0kqexh65m;0;35;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;B. Fischer;9s3boszvqn3fzsx0r1xswqyqy;76,0;2,0;;;
5;1unlspl01ht69hrm9apxt4oic;0;43;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;J. Banks;45b72f8szmqnv8tz06j7mj1wq;86,0;2,0;;;
5;e2olfsduxvaqsx6rdbaasa356;0;44;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;;;;;;;
5;2ye36bmajaqbiwf8713uocob8;0;46;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;J. Gasho;5g3yur7k1fvc47hjz5y2zrze;45,0;2,0;;;
5;658tknyb70yhkx52dg4ttngus;0;47;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;A. Heckenlaible;byelagxi3qg0rb06tjl3fodn8;76,0;2,0;;;
5;a1rc6kukly42y5j5smz3w72tw;0;48;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;;;;;;;
5;btr1fg89bjqk2en1k4vbuxlp0;0;52;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;;;;;;;
5;9r22tf7lu2q4un35qwfsnpw5w;0;60;8;1pc6sx2h4rp113ldkbp5d2xas;ckbt7kinldoy3cawkjnrnazo4;home;1;Sub;;;;;;;
1;37vbc16ejxmfkssydcdxq69zo;1;55;8;dqx48fglv1l96cyrmjdod0xec;ckbt7kinldoy3cawkjnrnazo4;away;1;GK;N. Bishop;;;;;;
2;2dqtrnq0k1fphyw71yh41gvtg;2;33;8;dqx48fglv1l96cyrmjdod0xec;ckbt7kinldoy3cawkjnrnazo4;away;1;DR;T. Pearce;;;;;;
2;7zkzjmk1go1u2vi5qkqlmezu;3;99;8;dqx48fglv1l96cyrmjdod0xec;ckbt7kinldoy3cawkjnrnazo4;away;1;DC;J. Reid;;;;;;
3;dpedfgxin5nc4qmziaokpmiy2;4;43;8;dqx48fglv1l96cyrmjdod0xec;ckbt7kinldoy3cawkjnrnazo4;away;1;MC;C. Cilley;;;;;;
2;910fd7rfysvvfzp2s1ywna5pm;5;40;8;dqx48fglv1l96cyrmjdod0xec;ckbt7kinldoy3cawkjnrnazo4;away;1;DL;M. Wentzel;;;;9ulwk81vyj5rbz88h62i2ejv8;16,0;1,0
2;bbnk87q7t8pahznohwjjcvu5m;6;72;8;dqx48fglv1l96cyrmjdod0xec;ckbt7kinldoy3cawkjnrnazo4;away;1;DC;E. Kinzner;;;;;;
