field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;opnutov04c33y3gq2fjpkaac;1;73;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;GK;J. Gunn;;;;;;
2;dbyiafdyf93b8rtpceqitgopg;2;30;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;DR;D. McIntosh;;;;;;
2;906i3qf1bf6nx6pla85e869lg;3;3;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;DC;H. Barry;;;;c1z6mxuhvuegd4c5b3hau93ze;64,0;2,0
3;5adul4r3hifu5x4tv8efr05ey;4;13;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;MC;Maciel;;;;;;
2;et772m1f5cqceeffckpnty1p0;5;31;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;DL;E. Klein;;;;;;
2;357vd87hv0jvljqtt2qf4vmz8;6;43;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;DC;S. Suárez;;;;;;
3;9u37akzkhdyszhevgrjghq99m;7;14;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;AMR;A. Monis;;;;5e00w1rqym73habcl01wm7jtg;75,0;2,0
3;40qi53orb0eur2jevowkvrcb8;8;17;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;MC;P. Leal;;;;dc8u2bssrhxycx8vtn0kutp4a;68,0;2,0
4;69ypla76c710iv0yegix1maz8;9;39;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;FW;Marcos Dias;;;;;;
3;akwjik09wytzzr3yras0diqz8;10;23;8;csntc7hucmo21gknxc5y0kc4q;clg9vyhhpcf0dgjf8ea69cufo;home;1;AMC;L. Borovic;;;;c8wq3ofarkeeisqr49fhrvwno;64,0;2,0
