field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;7jaa504py8qcx30a2p1vgn8d0;1;15;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;GK;J. Antoine;;;;;;
2;1h5rgsol19v1pcl5ksstrv9t6;2;22;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;DR;M. Garvanian;;;;;;
2;2d3dwhrtafkd1b8q1nzerqew9;3;3;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;DC;J. Pérez;;;;;;
3;4cwccglaxz5sf71eptnj6kzfu;4;8;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;MC;A. Jiménez;;;;;;
2;cpbyoj822ivx6qrqbkun1zr3d;5;5;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;DL;A. Prepeliţă;;;;;;
2;7e8xkqlux0myjc5cwtb7rega1;6;20;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;DC;D. Viáfara;;;;;;
3;4hdai9za2ls03tjpcw0ahu5wq;7;11;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;AMR;T. Gray;;;;;;
3;b4te1cxogvhtglhug3sdgkmei;8;25;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;MC;J. Arthur;;;;;;
4;a3eln6gas8765a3pn6ecqjvxm;9;9;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;FW;M. Ouamri;;;;246vnjq690m4ju1wkfrezlql1;74,0;2,0
3;at2xv960peboe9spoag2kn21g;10;33;8;cwnjxlibb02fuh0vwgvac6h45;cm8b3670jp7hdcqioiu7a3or8;home;1;AMC;A. McGrath;;;;;;
