field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;2y9o7d8tm1f8fnp6jewxzifis;1;76;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;A. Rick;;;;;;
2;872ifpo3qufi9vv9vy7ty6uj8;2;58;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;G. Wetzel;;;;;;
2;2qz3ojbfedl8psp1tvq0183ro;3;39;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;F. Westfield;;;;;;
3;81w1fqi66z0ibawynhraybaxg;4;22;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;S. Ngabo;;;;;;
2;3h4x6eh6zkcaww4g6rhkwpbf8;5;44;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;Neil Pierre;;;;;;
2;5aszabja459117mqykvfpajh0;6;42;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;C. Rojas;;;;;;
3;cbpm8k301adrmft5fd0kaeiuh;7;88;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;K. Tucker;;;;cjhjwaelyypl3ca9gpzu61vys;62,0;2,0
3;45v94x6b8g7n4xa3lsfdp6pzo;8;41;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;D. Vazquez;;;;15v2azulwhof0p216i7bjp250;76,0;2,0
4;6t625vlq8y9po4hbvz97qx6ok;9;25;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;C. Donovan;;;;c59pt9nvdpxlp6xvs78un16hg;89,0;2,0
4;de6bz3uyz5ta17f0jnnfhzims;10;45;23;1zgjjyruyufrkh4xjvryqsb1i;cmzazv6jju4iu05rfh8wz95as;home;1;;L. Soria;;;;9j3va21w5i9ypf8qmt4g1vggk;61,0;2,0
