field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;dt797hve9mdpnuyy1z4pnpp1w;1;40;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;GK;A. De Rosario;;;;;;
3;5l9js12tsf18c7st0oac3swes;2;92;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;DMR;T. Rigopoulos;;;;;;
3;5qfwg7j8xrfv19ouu4gvrs00k;3;95;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;DML;N. Edwards;;;;;;
2;e7tp50kohe1u9hts0geeh3578;4;76;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;DC;L. Stefanovic;;;;2figny7hhxiw29vizhlyta3o4;45,0;2,0
2;8pvvljn4uasfjxdleh56pm38;5;51;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;DC;A. Pearlman;;;;c71n0j2gn476m4fzwxldxfms4;86,0;2,0
2;d8u6lnk9lmbrgv9obcshpec8a;6;85;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;DC;M. Stojadinovic;;;;;;
3;7q8y6gbmg9j75zgm3nhs3bfh0;7;68;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;MC;L. Olguin;;;;e8i5fg3tp35k8iys32eiv7jmc;67,0;2,0
3;3wn0nn5q8g2mjzuc8yb4dvu2;8;71;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;MC;M. Cimermancic;;;;;;
4;c760g3hvhvi7nra7gpdrynn1m;9;82;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;FW;J. Altobelli;;;;;;
4;dqxh3f9qy6lhrwabvnbb6erro;10;79;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;FWR;A. Dumitru;;;;bje8wvncnbbx5w0l08uno88ru;45,0;2,0
4;6xu5v7x5zge1k83w40mmbxyzu;11;81;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;FWL;H. Ayari;;;;7z57s6veqr3k87quyd6i7fgx6;45,0;2,0
5;9n4pw401dtt30wlnwrxvads7o;0;80;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;;;;;;;
5;2figny7hhxiw29vizhlyta3o4;0;58;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;Ythallo;e7tp50kohe1u9hts0geeh3578;45,0;2,0;;;
5;c71n0j2gn476m4fzwxldxfms4;0;65;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;A. Ćurić;8pvvljn4uasfjxdleh56pm38;86,0;2,0;;;
5;bje8wvncnbbx5w0l08uno88ru;0;70;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;M. Catavolo;dqxh3f9qy6lhrwabvnbb6erro;45,0;2,0;;;
5;7z57s6veqr3k87quyd6i7fgx6;0;72;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;M. Fisher;6xu5v7x5zge1k83w40mmbxyzu;45,0;2,0;;;
5;51mr4jcfm42888lds1temurro;0;84;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;;;;;;;
5;e8i5fg3tp35k8iys32eiv7jmc;0;89;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;C. Staniland;7q8y6gbmg9j75zgm3nhs3bfh0;67,0;2,0;;;
5;u5v1owoegnvaqvk214qlvh90;0;97;13;29nx7yxy1rdqv2oobqn5pjf8p;cncsclmgfwnue6usr4bhduxhw;home;1;Sub;;;;;;;
