id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamKit;value_TeamPlayerFormation;value_JerseyNumber;value_Resume;value_Captain;value_TeamFormation;value_PlayerPosition;value_DirectionOfPlay;value_Zone;value_Length;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_LongBall;value_Chipped;value_OutOfPlay;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_TouchTypePass;value_Defensive;value_TakeOnOvertake;value_TouchTypeClearance;value_PlayersCaughtOffside;value_DeletedEventType;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_TouchTypeControl;value_IntendedTackleTarget;value_Launch;value_TakeOnSpace;value_ShirtPull/Holding;value_OutSwinger;value_Cross;value_RightFooted;value_HeadPass;value_BlockedPass;value_HighGkIntervention;value_KeeperThrow;value_NextEventGoalKick;value_Low;value_GoalKick;value_Shove/Push;value_Defensive1V1;value_InSwinger;value_Head;value_SwitchOfPlay;value_BlockedX;value_BlockedY;value_GoalmouthY;value_Blocked;value_LowCentre;value_IndividualPlay;value_OutOfBoxCentre;value_GkY;value_RegularPlay;value_GoalmouthZ;value_GkX;value_LeftFooted;value_NotAssisted;value_DefBlock;value_IntentionalAssist;value_Assist;value_RelatedEventId;value_FirstTouch;value_Assisted;value_Hands;value_Collected;value_LowGkIntervention;value_Stooping;value_NotVisible;value_LayOff;value_Indirect;value_Straight;value_DrivenCross;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_FastBreak;value_Right;value_BoxRight;value_SwerveRight;value_ThroughBall;value_BigChance;value_BoxCentre;value_Feet;value_ParriedDanger;value_Diving;value_SixYardBlocked;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_LowLeft;value_SetPiece;value_NotPastGoalLine;value_HitWoodwork;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HighClaim;value_BoxLeft;value_GkHoof;value_HighRight;value_High;value_GkKickFromHands;value_FlickOn;value_PullBack;value_SmallBoxCentre;value_Minutes;value_Penalty;value_PenaltyTakerId;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_CloseRight;value_Missed;value_Left;value_LowRight;value_Dissent;value_EndType;value_Tactical;value_SmallBoxLeft;value_OverArm;value_Overrun;value_CloseHigh;value_FreeKick;value_MediumGkIntervention;value_HighCentre;value_CornerTaken;value_Volley;value_FromCorner;value_FloatedCross;value_Standing;value_BlockedCross;value_35Centre;value_OutOnSideline;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2683562541;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-05-05T22:26:30.067Z;2024-05-11T10:43:38Z;[{'id': 5009015673, 'qualifierId': 30, 'value': '3f52lf1p2xmtzysfi8n18m044, 9jczt268kcld72pk5ho4xpzsa, 1yohdc0hkzkom8hlhw3rjfn8q, bhhdcubw5vyxzf0lc1fcfftka, 4sw7pq7xhnf7pqii16lhtf7ro, 4cfvnypovkt900sfxmdhvxtec, c7luarkv7hwdspd9xhidhisk4, r0s1fyyxaswujpkrv0yupt78, vhjelesjaxtgjcgfv7yxp2lm, 3tkdn8arq1j3il4ako7rcio2y, 4oz12ku4mdjsq7y4sgogpwg2y, 78geqjj0pzo2gp7p8xg3q39w, a8ngovgs2qfu5udzb97kelg16, 6p1lkhwji9j00ojc7k80p6e50, 32t6g252ti1peycjite40qiy2, cjmhrw0kf73i17kxnrzipvpxw, 1wa60ccrpw2zqguj4ayeeacyc, 1pm343qga3zwdbrjngpeqhtnu, 2gawx03wls5vwtlocjir3u7vu, cqmvrx028gh19yh8qh7w01y0a'}, {'id': 5009089989, 'qualifierId': 197, 'value': '12783'}, {'id': 5009015681, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5009015677, 'qualifierId': 59, 'value': '91, 42, 33, 31, 77, 28, 52, 30, 98, 38, 47, 37, 39, 50, 70, 72, 74, 80, 90, 99'}, {'id': 5009015683, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5009255483, 'qualifierId': 194, 'value': '3f52lf1p2xmtzysfi8n18m044'}, {'id': 5009015679, 'qualifierId': 130, 'value': '4'}, {'id': 5009015675, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;cnq73iffo9clmxf08hykkpams;Team set up;;12783,0;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;North Texas;0;;
2683562991;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-05T22:27:38.319Z;2024-05-05T23:10:04Z;[{'id': 5009017885, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5009017879, 'qualifierId': 130, 'value': '13'}, {'id': 5009017875, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5009017873, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, auomns9j08ffqknhs9007ju38, 939wjlo1zcnhfu6jy2px0zmui, 14sld3djevxpcce9co1aqxn9w, 1j010cibh247p8kjchww6ny3u, e7vsajjh4e7t51ciycjg0skd0, 32c9e26wcnr5kmab8ep4zph5g, akgtib8zyv5lrvh9mxunj2rdg, 19ckwd2oz9uyfjznuq2c41btg, 6ggqe5gi2w2jjclmbjev6dd78, 3h8rx5wumr7hktll4hnvx7or8, 3risld5mac5ns2rrv6namc2l0, f3bqitwkt3mitemcjd61hi044, b84ll9fqlnmone6cub8hfcx78, da3mzb093sxf8i2xznedau8t0, fgue58g7u6f2c53ggb0r2oa2, 8vnnownnzz2ksuuitbw3ax5yi, 8oa72acrno9ybfo1hdof5efbo'}, {'id': 5009017881, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5009017883, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5009088359, 'qualifierId': 197, 'value': '23486'}, {'id': 5009017877, 'qualifierId': 59, 'value': '30, 2, 15, 32, 5, 4, 50, 35, 41, 10, 99, 7, 8, 9, 22, 36, 51, 79'}];;;;;cnq73iffo9clmxf08hykkpams;Team set up;;23486,0;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2683576649;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-05-05T23:03:48.949Z;2024-05-11T10:36:57Z;[{'id': 5009087973, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cnq73iffo9clmxf08hykkpams;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;North Texas;0;;
2683576667;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-05T23:03:48.949Z;2024-05-05T23:03:50Z;[{'id': 5009088039, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cnq73iffo9clmxf08hykkpams;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2683576675;3;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;50,1;49,9;2024-05-05T23:03:48.950Z;2024-05-06T00:08:05Z;[{'id': 5009088077, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009088083, 'qualifierId': 212, 'value': '7.6'}, {'id': 5009088081, 'qualifierId': 141, 'value': '50.9'}, {'id': 5009088087, 'qualifierId': 279, 'value': 'S'}, {'id': 5009088079, 'qualifierId': 140, 'value': '42.9'}, {'id': 5009088085, 'qualifierId': 213, 'value': '3.05'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;7,6;50,9;;42,9;3,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;42,9;50,9;;;;;;;;0;0;0;North Texas;0;FW;1,0
2683576683;4;1;1;0;3;7fbej4xwoq4imaf5l39304m37;1;42,0;52,3;2024-05-05T23:03:52.416Z;2024-05-05T23:10:34Z;[{'id': 5009088109, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009088115, 'qualifierId': 212, 'value': '28.9'}, {'id': 5009088111, 'qualifierId': 140, 'value': '37.9'}, {'id': 5009088113, 'qualifierId': 141, 'value': '10.3'}, {'id': 5009088117, 'qualifierId': 213, 'value': '4.56'}];bhhdcubw5vyxzf0lc1fcfftka;D. Flores;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;28,9;10,3;;37,9;4,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;37,9;10,3;;;;;;;;0;0;3;North Texas;3;MC;1,0
2683576713;5;1;1;0;4;7fbej4xwoq4imaf5l39304m37;1;38,5;11,0;2024-05-05T23:03:53.615Z;2024-05-05T23:03:56Z;[{'id': 5009088267, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009088275, 'qualifierId': 213, 'value': '1.95'}, {'id': 5009088273, 'qualifierId': 212, 'value': '14.8'}, {'id': 5009088271, 'qualifierId': 141, 'value': '31.3'}, {'id': 5009088269, 'qualifierId': 140, 'value': '33.3'}];9jczt268kcld72pk5ho4xpzsa;J. Bartlett;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;14,8;31,3;;33,3;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;33,3;31,3;;;;;;;;0;0;4;North Texas;4;DR;1,0
2683576729;6;1;1;0;7;7fbej4xwoq4imaf5l39304m37;1;33,3;31,3;2024-05-05T23:03:56.303Z;2024-05-05T23:04:00Z;[{'id': 5009088365, 'qualifierId': 141, 'value': '74.8'}, {'id': 5009088367, 'qualifierId': 212, 'value': '30.3'}, {'id': 5009088361, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009088369, 'qualifierId': 213, 'value': '1.79'}, {'id': 5009088363, 'qualifierId': 140, 'value': '27.1'}];c7luarkv7hwdspd9xhidhisk4;C. Tschantret;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;30,3;74,8;;27,1;1,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;27,1;74,8;;;;;;;;0;0;7;North Texas;7;MC;1,0
2683576745;7;1;1;0;11;7fbej4xwoq4imaf5l39304m37;1;27,1;74,8;2024-05-05T23:04:00.256Z;2024-05-05T23:04:02Z;[{'id': 5009088431, 'qualifierId': 212, 'value': '13.4'}, {'id': 5009088429, 'qualifierId': 141, 'value': '93.0'}, {'id': 5009088433, 'qualifierId': 213, 'value': '1.18'}, {'id': 5009088425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009088427, 'qualifierId': 140, 'value': '32.0'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;13,4;93,0;;32,0;1,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;32,0;93,0;;;;;;;;0;0;11;North Texas;11;DC;1,0
2683576763;8;1;1;0;13;7fbej4xwoq4imaf5l39304m37;0;32,0;93,0;2024-05-05T23:04:02.176Z;2024-05-05T23:04:06Z;[{'id': 5009088535, 'qualifierId': 56, 'value': 'Left'}, {'id': 5009088541, 'qualifierId': 212, 'value': '57.2'}, {'id': 5009088537, 'qualifierId': 140, 'value': '86.4'}, {'id': 5009088543, 'qualifierId': 213, 'value': '0.05'}, {'id': 5009088539, 'qualifierId': 141, 'value': '96.9'}, {'id': 5009088545, 'qualifierId': 1}, {'id': 5009088533, 'qualifierId': 155}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;57,2;96,9;;86,4;0,05;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;86,4;96,9;;;;;;;;0;0;13;North Texas;13;DC;1,0
