id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_TeamFormation;value_Captain;value_Resume;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_KickOff;value_Length;value_Zone;value_PassEndX;value_Angle;value_PassEndY;value_Launch;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Offensive;value_Defensive;value_TouchTypePass;value_Chipped;value_TouchTypeClearance;value_Defensive1V1;value_TakeOnOvertake;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_OutSwinger;value_Cross;value_RightFooted;value_OutOfPlay;value_Left;value_InSwinger;value_CornerTaken;value_Head;value_BlockedPass;value_BlockedCross;value_PlayersCaughtOffside;value_Indirect;value_Handball;value_TouchTypeControl;value_LeftFooted;value_GoalmouthY;value_NotAssisted;value_FromCorner;value_IndividualPlay;value_FirstTouch;value_BlockedX;value_HighLeft;value_BlockedY;value_GoalmouthZ;value_OutOfBoxCentre;value_HighGkIntervention;value_Hands;value_ParriedSafe;value_Reaching;value_NextEventGoalKick;value_Low;value_GoalKick;value_LeadingToGoal;value_TakeOnSpace;value_GkXTimeOfGoal;value_KeeperTouched;value_GkY;value_RegularPlay;value_GoalShotTimestamp;value_FollowsADribble;value_LowLeft;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkX;value_BoxCentre;value_RelatedError1Id;value_FlickOn;value_LayOff;value_Right;value_IntendedTackleTarget;value_SwitchOfPlay;value_Shove/Push;value_IntentionalAssist;value_Assist;value_BigChance;value_Assisted;value_RelatedEventId;value_LowCentre;value_LowRight;value_BoxLeft;value_Overrun;value_OtherObstacle;value_BallHitsReferee;value_LowGkIntervention;value_KeeperThrow;value_ShirtPull/Holding;value_Diving;value_NotPastGoalLine;value_SixYardBlocked;value_Blocked;value_DefBlock;value_MediumGkIntervention;value_GkKickFromHands;value_FreeKick;value_CloseLeft;value_SwerveLeft;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistedBy;value_BoxRight;value_CloseRightAndHigh;value_Sliding;value_OtherBodyPart;value_Volley;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_DrivenCross;value_Straight;value_CloseRight;value_SetPiece;value_CloseHigh;value_High;value_YellowCard;value_RecklessOffence;value_Review;value_ThroughBall;value_BlockedClearance;value_HighCentre;value_TacticalFoul;value_NotVisible;value_TimeWasting;value_HighRight;value_Collected;value_GkHoof;value_SmallBoxLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_NewStartTime;value_OtherReason;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2683594945;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-05-06T00:08:38.581Z;2024-05-06T02:19:11Z;[{'id': 5009190437, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, 24rxb4eeoakxkmritog6a7x90, m8clu51iu7443ig9q6vn6fbo, do2o6ka25talswmmillufejqi, 1flsu0b92eflc2wkg9m1wwufo, 1pv6xhgaeshfrhzenz7y14glw, 5reylt0uyetl6qavkvd8inai, 1efr6u06hvhm9drygb9qsi92i, b04uukw5ec0mngnwqjih7oqac, 8f5h44hnjdt4rdflu8qqhx5d6, 18b4rpeia26xq688ieqaw2z2s, 5cqlrvp5sqbjwjztpxswwmolw, d1w4zs63sx3cc7wnc8wshbfv8, cuxpxs76g96vwhrnhw9rw2ihg, 6mm2h3x9hmyea3bu2wt80uo7o, 3fbekr02uy605ppv5pzw9321g, baixarx1kvqgs5c8d0v1xd9g4'}, {'id': 5009190443, 'qualifierId': 130, 'value': '7'}, {'id': 5009337263, 'qualifierId': 194, 'value': 'd4xd9fxqjwfe7x46byn60dx49'}, {'id': 5009190447, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5009270769, 'qualifierId': 197, 'value': '23554'}, {'id': 5009190441, 'qualifierId': 59, 'value': '31, 32, 42, 43, 52, 44, 55, 48, 39, 36, 77, 41, 46, 49, 70, 81, 82'}, {'id': 5009190439, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5009190445, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}];;;;;co552nhc287spc4l0ch6pphjo;Team set up;;7,0;;;23554,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2683595711;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-05-06T00:11:14.212Z;2024-05-06T02:38:46Z;[{'id': 5009194187, 'qualifierId': 59, 'value': '95, 53, 33, 34, 42, 32, 47, 92, 77, 72, 45, 12, 27, 37, 39, 41, 44, 54, 70, 81'}, {'id': 5009194191, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5009270781, 'qualifierId': 197, 'value': '8379'}, {'id': 5009194183, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, 8ftpgljt7qw0wmddiw9gqaot0, asy97zdxk0352toy38huzk222, 8rq61cgteiomxej2p0nxaw6c4, ahl3kfbfeubf6zfl7x8qrlm38, 5gg2mxmy9ff40oku3s09gavl6, es77zuezg8qvczh819uj6c844, bxnegxnynd1glae8g0vfigfvu, 6kpb5yyfk2ifjgtfkspb8xwd0, 72xq9zy27facbbowtwsuzw0lw, 7ditqci7td8u4wj4dmirr3qzu, 17x0wwjg47boyx7jua6vqf0gk, aqqbh1ugeh2f8jjiq8fu2qwru, 5gl31qop7zlj9mfbtolvj7xuc, tw82u87mw6kggtjblt1hhdzo, dzo2odov052991qseshgfruju, 8pl795qg2d886vtq8trzsucfe, 4dytdbcoh08mvuobsc31qvgbu, mm0bv35ngf0sqh2yx2eza4x6, 3wkej06590b61lyqm7vt1kwes'}, {'id': 5009194185, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5009194193, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5009298759, 'qualifierId': 194, 'value': 'ahl3kfbfeubf6zfl7x8qrlm38'}, {'id': 5009194189, 'qualifierId': 130, 'value': '2'}];;;;;co552nhc287spc4l0ch6pphjo;Team set up;;2,0;;;8379,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2683609039;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-05-06T01:17:06.426Z;2024-05-06T01:17:08Z;[{'id': 5009271043, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;co552nhc287spc4l0ch6pphjo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2683609035;3;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-05-06T01:17:06.426Z;2024-05-11T13:44:50Z;[{'id': 5009271033, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;co552nhc287spc4l0ch6pphjo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2683609045;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;50,1;49,4;2024-05-06T01:17:06.427Z;2024-05-06T01:17:10Z;[{'id': 5009271087, 'qualifierId': 279, 'value': 'S'}, {'id': 5009271083, 'qualifierId': 212, 'value': '20.7'}, {'id': 5009271077, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009271079, 'qualifierId': 140, 'value': '31.4'}, {'id': 5009271085, 'qualifierId': 213, 'value': '3.46'}, {'id': 5009271081, 'qualifierId': 141, 'value': '39.8'}];b04uukw5ec0mngnwqjih7oqac;L. Flores;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;20,7;;31,4;3,46;39,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;31,4;39,8;;;;;;;0;0;0;0;Real Monarchs;0;FW;1,0
2683609047;4;1;1;0;4;6gaq85erpkvbyxvivd96wuw44;0;31,4;39,8;2024-05-06T01:17:10.860Z;2024-05-11T10:50:28Z;[{'id': 5009271095, 'qualifierId': 140, 'value': '78.1'}, {'id': 5009271099, 'qualifierId': 212, 'value': '54.4'}, {'id': 5009271101, 'qualifierId': 213, 'value': '0.45'}, {'id': 5009271097, 'qualifierId': 141, 'value': '74.4'}, {'id': 5019019309, 'qualifierId': 157}, {'id': 5009271093, 'qualifierId': 56, 'value': 'Center'}, {'id': 5009271103, 'qualifierId': 1}];do2o6ka25talswmmillufejqi;D. Rosales;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;54,4;;78,1;0,45;74,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;78,1;74,4;;;;;;;0;0;0;4;Real Monarchs;4;DMC;1,0
2683609061;4;1;1;0;6;cbip96wzs3jc2xadoluhhxotl;1;30,7;12,6;2024-05-06T01:17:13.126Z;2024-05-06T02:05:58Z;[{'id': 5009271189, 'qualifierId': 213, 'value': '0.71'}, {'id': 5009271181, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009271179, 'qualifierId': 3}, {'id': 5009271185, 'qualifierId': 141, 'value': '27.9'}, {'id': 5009271183, 'qualifierId': 140, 'value': '42.2'}, {'id': 5009271187, 'qualifierId': 212, 'value': '15.9'}];es77zuezg8qvczh819uj6c844;D. Barker John;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;15,9;;42,2;0,71;27,9;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;42,2;27,9;;;;;;;0;0;0;6;Los Angeles II;6;MR;1,0
2683609067;5;1;1;0;9;cbip96wzs3jc2xadoluhhxotl;1;42,2;27,9;2024-05-06T01:17:15.554Z;2024-05-06T01:17:16Z;[{'id': 5009271215, 'qualifierId': 141, 'value': '42.5'}, {'id': 5009271217, 'qualifierId': 212, 'value': '12.1'}, {'id': 5009271211, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009271213, 'qualifierId': 140, 'value': '35.6'}, {'id': 5009271219, 'qualifierId': 213, 'value': '2.18'}];6kpb5yyfk2ifjgtfkspb8xwd0;O. Anderson;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;12,1;;35,6;2,18;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;35,6;42,5;;;;;;;0;0;0;9;Los Angeles II;9;FW;1,0
2683609071;6;49;1;0;11;cbip96wzs3jc2xadoluhhxotl;1;35,8;44,3;2024-05-06T01:17:18.115Z;2024-05-06T01:17:18Z;[];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;co552nhc287spc4l0ch6pphjo;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;11;Los Angeles II;11;MC;1,0
2683609073;7;1;1;0;11;cbip96wzs3jc2xadoluhhxotl;1;35,8;44,3;2024-05-06T01:17:18.162Z;2024-05-06T02:06:23Z;[{'id': 5009271241, 'qualifierId': 140, 'value': '52.8'}, {'id': 5009271245, 'qualifierId': 212, 'value': '20.3'}, {'id': 5009271239, 'qualifierId': 56, 'value': 'Center'}, {'id': 5009271243, 'qualifierId': 141, 'value': '58.4'}, {'id': 5009271247, 'qualifierId': 213, 'value': '0.49'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;20,3;;52,8;0,49;58,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;52,8;58,4;;;;;;;0;0;0;11;Los Angeles II;11;MC;1,0
