field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;3oca1lvb4fr3l6efbstc8k6ad;1;18;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;GK;S. Richey;;;;;;
2;a8t1jn05xxxccikegk8fdaiok;2;59;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;DR;R. Blake;;;;ctwn52am38jz5ly1h8ac069lg;71,0;2,0
2;9vc2mynd9lg2oyt14n4e7a44q;3;54;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;DC;L. Rochester;;;;4ycsifqidpgttuanylwsyts7o;85,0;2,0
3;64wbk2nsrs0ru0hjcq0lenwgk;4;35;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;MC;S. Oregel;;;;;;
2;b3xoqrbmua9uzr0tw8kmnw9as;5;64;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;DL;C. Cupps;;;;;;
2;72xktsosbsh2uwkwby59mr6z8;6;42;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;DC;D. Konincks;;;;;;
3;b1p6qcv8wjzoxoax3nt13n5gq;7;48;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;MC;D. Poręba;;;;;;
3;4agnpztnedb7ql14bo477vspg;8;53;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;MC;P. Soudan;;;;;;
4;9ii1zrimesdnqccy8dki8knx0;9;68;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;FW;V. Hlyut;;;;5fuu627ozaxgv8ibhyxi4zcic;79,0;2,0
4;do6z0g81t9avcjuhjc1szukgk;10;51;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;FWR;D. Tchétchao Karo;;;;1x9uiwhoqu3qumt0urv5trlec;79,0;2,0
4;2atsox1bassuexlgta8h3us4p;11;50;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;FWL;C. Koffi;;;;;;
5;ctwn52am38jz5ly1h8ac069lg;0;57;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;Sub;C. Heuer;a8t1jn05xxxccikegk8fdaiok;71,0;2,0;;;
5;5fuu627ozaxgv8ibhyxi4zcic;0;58;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;Sub;M. Nesci;9ii1zrimesdnqccy8dki8knx0;79,0;2,0;;;
5;4ycsifqidpgttuanylwsyts7o;0;66;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;Sub;C. Nagle;9vc2mynd9lg2oyt14n4e7a44q;85,0;2,0;;;
5;1x9uiwhoqu3qumt0urv5trlec;0;67;4;8o8m08he36u0j4w08aj2iodn8;coilkp3hp8av7hez1mtkxry1g;home;1;Sub;G. Granda;do6z0g81t9avcjuhjc1szukgk;79,0;2,0;;;
