field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;bvtvko74cyeqe297mp6shrf2s;1;21;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;GK;A. Stokes;;;;;;
2;o3gftw0hatp1r62ynjmlaaui;2;46;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;DR;D. Sullivan;;;;5gd78gkv3k39vofarmapgeuj8;77,0;2,0
2;92np3jwhxchmtfeov82ehe13o;3;42;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;DC;O. Valencia;;;;nhhmltlm3ayn7vqmp6etck5w;71,0;2,0
3;5u3ohty1lsm0fn2ltez4g7o5w;4;91;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;MC;B. Estrela;;;;80p7shawtxjiydizsg5fo5a1g;71,0;2,0
2;e2tuar1frliervcr2mnmvfspg;5;23;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;DL;A. O'Connor;;;;;;
2;59kitnlge8bjsxmhy850bsutw;6;34;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;DC;J. Gutierrez;;;;;;
3;afqry84j23xgkhqryrontj190;7;82;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;MR;I. Kasule;;;;;;
3;8q2wozyqz4nveabn71hc614dm;8;65;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;MC;S. Sserwadda;;;;;;
4;es0bxxdxf6bco25evmg19ic4;9;37;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;FW;M. Sofo;;;;;;
4;e4rpnf90oa672lcm8ego7vllg;10;79;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;FW;R. Mosquera;;;;ov4fk38lrcculu6tdbnrto2c;45,0;2,0
3;4akvdujqbywk628gok9xbh2j8;11;97;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;ML;F. Ssebufu;;;;65g50zt5gbo1lnrbc7uvwsbo4;71,0;2,0
5;5gd78gkv3k39vofarmapgeuj8;0;20;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;J. Mina;o3gftw0hatp1r62ynjmlaaui;77,0;2,0;;;
5;nhhmltlm3ayn7vqmp6etck5w;0;24;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;C. Ofori;92np3jwhxchmtfeov82ehe13o;71,0;2,0;;;
5;e23u0x31okggroh6dkoqx5fdg;0;27;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;;;;;;;
5;8u0efvao8rym6mdx0tl0h0qac;0;44;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;;;;;;;
5;76xo0u2yd2cqf8xdyh8rteqdw;0;57;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;;;;;;;
5;65g50zt5gbo1lnrbc7uvwsbo4;0;66;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;T. Rosborough;4akvdujqbywk628gok9xbh2j8;71,0;2,0;;;
5;80p7shawtxjiydizsg5fo5a1g;0;77;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;A. Mehmeti;5u3ohty1lsm0fn2ltez4g7o5w;71,0;2,0;;;
5;ov4fk38lrcculu6tdbnrto2c;0;90;2;4g68p0t2f5jzhzfr67i2rj1ex;cow0sr6gobj89kwzg2lg4h4pg;away;1;Sub;M. Dembele;e4rpnf90oa672lcm8ego7vllg;45,0;2,0;;;
1;8h2vywep73yn25kus2nda8ga2;1;99;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;GK;C. Mercado;;;;;;
2;6g7i7z6m8vts105dny1g6z3hm;2;30;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;DR;A. Freeman;;;;;;
2;4ulfw4ik3i6ks2t7utgek5l3o;3;64;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;DC;M. Cocca;;;;;;
3;i5wj5hcg2r9934e7gauxtgmi;4;53;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;MC;I. Almaguer;;;;;;
2;ex99a6zbacpkkhgvynu80qpzo;5;54;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;DL;N. Kibunguchy;;;;;;
2;4jkf81djj5h43v8rlnib1tizu;6;68;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;DC;T. Williams;;;;cqlc423f6bid2uy3togwkvlgq;45,0;2,0
3;aa4v8xfn3ra4digk5h7gdrbze;7;32;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;AMR;W. Rivera;;;;c2b6h5zwjvzdvdcybyuqd6exg;45,0;2,0
3;9bv0zjyrsopyv3hw8m47sgr9w;8;56;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;MC;C. Guske;;;;2meqkx9av039q3cvedrp6jg4q;76,0;2,0
4;7tpb4dk9meee0utyu4cosnxn8;9;23;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;FW;S. Mohammed;;;;;;
3;p99ze5cksh5tv01knf5oj33e;10;49;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;AMC;J. Solís;;;;25rizu4n91uyax4z6l5jv6dqs;72,0;2,0
3;abemsr9zh7bklu5jboks5ivpw;11;34;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;AML;Y. Tsukada;;;;;;
5;cqlc423f6bid2uy3togwkvlgq;0;28;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;A. Salim;4jkf81djj5h43v8rlnib1tizu;45,0;2,0;;;
5;2meqkx9av039q3cvedrp6jg4q;0;48;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;D. Pareja;9bv0zjyrsopyv3hw8m47sgr9w;76,0;2,0;37uh4n2zngcixlzo8vnk50vtg;86,0;2,0
5;c2b6h5zwjvzdvdcybyuqd6exg;0;59;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;J. Ellis;aa4v8xfn3ra4digk5h7gdrbze;45,0;2,0;;;
5;brzi1qy5hkx7zhxhjykg8ox78;0;66;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;;;;;;;
5;595bi39ikp8s9sfw6q5981mvo;0;62;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;;;;;;;
5;7duzjflajla2xqvesalgjoy6s;0;88;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;;;;;;;
5;25rizu4n91uyax4z6l5jv6dqs;0;95;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;F. Loyola;p99ze5cksh5tv01knf5oj33e;72,0;2,0;;;
5;37uh4n2zngcixlzo8vnk50vtg;0;96;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;Z. Taifi;2meqkx9av039q3cvedrp6jg4q;86,0;2,0;;;
5;9g0pycttkbuyuetispcb2hij8;0;97;8;479lsfr4cwlzewpbuda3y2xv4;cow0sr6gobj89kwzg2lg4h4pg;home;1;Sub;;;;;;;
