id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_Involved;value_Captain;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Length;value_Angle;value_PassEndX;value_Zone;value_LongBall;value_TakeOnSpace;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_Launch;value_FlickOn;value_HeadPass;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_TakeOnOvertake;value_TouchTypePass;value_AttemptedTackle;value_DeletedEventType;value_Chipped;value_MediumGkIntervention;value_OverArm;value_KeeperThrow;value_IntendedTackleTarget;value_LayOff;value_OutSwinger;value_RightFooted;value_Cross;value_Left;value_InSwinger;value_CornerTaken;value_HighGkIntervention;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_OverhitCross;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_Head;value_NotVisible;value_AerialFoul;value_LowGkIntervention;value_Straight;value_DrivenCross;value_BlockedPass;value_Assist;value_OutOfBoxCentre;value_GoalmouthZ;value_Assisted;value_BlockedY;value_LeftFooted;value_GkX;value_IndividualPlay;value_GoalmouthY;value_RegularPlay;value_BlockedX;value_GkY;value_LowCentre;value_Blocked;value_DefBlock;value_Overrun;value_SwitchOfPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_ThroughBall;value_LowRight;value_NotAssisted;value_ParriedSafe;value_Diving;value_Hands;value_Right;value_IntentionalAssist;value_SmallBoxRight;value_FirstTouch;value_FromCorner;value_ParriedDanger;value_Stooping;value_LowLeft;value_BoxCentre;value_Volley;value_High;value_MisHit;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_Injury;value_InjuredPlayerId;value_FairPlay;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_PlayersCaughtOffside;value_Indirect;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistType;value_HighClaim;value_GkKickFromHands;value_Shove/Push;value_Dissent;value_CoachId;value_Minutes;value_SetPiece;value_EndType;value_Tactical;value_TempMissed;value_BoxRight;value_Handball;value_PullBack;value_CloseLeft;value_Feet;value_SavedOffLine;value_SixYardBlocked;value_BoxLeft;value_LastLine;value_CloseHigh;value_BigChance;value_FastBreak;value_BlockedCross;value_RedCard;value_ViolentConduct;value_TimeWasting;value_GkHoof;value_SecondYellow;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2684567611;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-05-08T22:39:28.997Z;2024-05-09T00:09:41Z;[{'id': 5014447229, 'qualifierId': 130, 'value': '8'}, {'id': 5014447231, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014447225, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5014447233, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014447223, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, cbjd834y2hdx5jr3bda1zz6ga, bjk2ns3xadow18v3tkvqqrkh6, 6ahu72g0u39bxbjiz7ggefai1, 3uzxhd8g0jnft5xcd59yztm95, 2iz7apzo49byqz0ws65h9d7v8, 7y5v3oex0pnupaahm8arguluc, d5kcfgycj51y6aw82r38sl7o4, eg5gobm8zylt21enud00dfnmy, astn4ytzoaav30ifi17s4dn8, ctiorjdoewl12d0mtj1nqmas4, 216tgeofjnxr75ehcftkvxkpg, 2dpxsh3ijdwmlkdi1xgiefpqs, f69xf0cdfn1qe63t5tr5in10, b56zx0iumlw5cpjctu307c74k, a71uh1se16gq1nxvo9swbzm6s, c94hzs7c9bhmoc3iogsgwdjx0, dtb9aa7wp7e73bm367myma1n9'}, {'id': 5014582993, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 5014447227, 'qualifierId': 59, 'value': '42, 52, 75, 45, 36, 95, 55, 86, 99, 41, 49, 23, 44, 50, 57, 64, 77, 88'}, {'id': 5014509305, 'qualifierId': 197, 'value': '6108'}];;;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Team set up;8,0;;;;;;;6108,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;0;0;Carolina Core;0;;
2684567939;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-05-08T22:43:07.064Z;2024-05-09T00:09:05Z;[{'id': 5014509213, 'qualifierId': 197, 'value': '23612'}, {'id': 5014450041, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5014450047, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014450043, 'qualifierId': 59, 'value': '98, 14, 21, 4, 20, 44, 24, 10, 15, 13, 8, 52, 1, 5, 9, 11, 17, 18, 29, 99'}, {'id': 5014450045, 'qualifierId': 130, 'value': '12'}, {'id': 5014581609, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5014450049, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014450039, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 3acyax22zfwdjw0cpgg4x7dre, 1j1ybmazykfh5nqs7egkcdxck, 2d9cw6dcm2wsgrr8mj5rt6zje, f0jwa1a61lxs31g47csjv7itw, 7s32iecltoopsjddclg0ixzx0, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, 8p0k65b4c26ssfk0zh43lme7e, 1nbbgew67td8zayaffvr1zcb8, 5jxj5s38o1nx0xbnapwl58bo4, 1nnd0b4qwlni7tqot2n2st4yy, 8qgdg40qe62yreujy7rueil0p, w92nbx3n5ztvgmf89sdp95re, eehmjxbl4xwc3mz1geibnszkk, ami9xddgghvnly4mwtdj2tlyi, 4t078b0rnzmi8u83wzmdwze38, 11ppoeb5n4q657bwbg4cdxck, clvcgt5ofonse0q96sppu7hg4, 6qu8uu28fk2dbbeymuu6yii38'}];;;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Team set up;12,0;;;;;;;23612,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2684578855;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-05-08T23:34:33.620Z;2024-05-08T23:34:33Z;[{'id': 5014509735, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2684578863;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-05-08T23:34:33.620Z;2024-05-16T13:04:24Z;[{'id': 5014509765, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;0;0;Carolina Core;0;;
2684578897;3;1;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;49,9;50,4;2024-05-08T23:34:33.621Z;2024-05-08T23:34:37Z;[{'id': 5014509899, 'qualifierId': 279, 'value': 'S'}, {'id': 5014509893, 'qualifierId': 141, 'value': '47.5'}, {'id': 5014509895, 'qualifierId': 212, 'value': '17.3'}, {'id': 5014509897, 'qualifierId': 213, 'value': '3.26'}, {'id': 5014509891, 'qualifierId': 140, 'value': '33.5'}, {'id': 5014509889, 'qualifierId': 56, 'value': 'Back'}];1nbbgew67td8zayaffvr1zcb8;Joshua Rodríguez;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;47,5;17,3;3,26;33,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;33,5;47,5;;;;;;;0;0;0;0;Atlanta United II;0;FW;1,0
2684578917;4;1;1;0;4;2nnef9tr9g7m2s6n873qif95g;1;32,6;46,3;2024-05-08T23:34:37.694Z;2024-05-08T23:34:40Z;[{'id': 5014510031, 'qualifierId': 141, 'value': '28.2'}, {'id': 5014510025, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014510035, 'qualifierId': 213, 'value': '4.13'}, {'id': 5014510027, 'qualifierId': 140, 'value': '24.9'}, {'id': 5014510033, 'qualifierId': 212, 'value': '14.7'}];5jxj5s38o1nx0xbnapwl58bo4;J. Orejuela;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;28,2;14,7;4,13;24,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;24,9;28,2;;;;;;;0;0;0;4;Atlanta United II;4;AMC;1,0
2684578933;5;1;1;0;6;2nnef9tr9g7m2s6n873qif95g;1;24,6;28,2;2024-05-08T23:34:40.493Z;2024-05-08T23:34:43Z;[{'id': 5014510123, 'qualifierId': 213, 'value': '1.63'}, {'id': 5014510117, 'qualifierId': 140, 'value': '23.5'}, {'id': 5014510115, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014510121, 'qualifierId': 212, 'value': '19.2'}, {'id': 5014510119, 'qualifierId': 141, 'value': '56.4'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;56,4;19,2;1,63;23,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;23,5;56,4;;;;;;;0;0;0;6;Atlanta United II;6;DC;1,0
2684578951;6;1;1;0;9;2nnef9tr9g7m2s6n873qif95g;1;24,0;57,2;2024-05-08T23:34:43.548Z;2024-05-08T23:34:46Z;[{'id': 5014510185, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014510189, 'qualifierId': 141, 'value': '79.6'}, {'id': 5014510191, 'qualifierId': 212, 'value': '15.3'}, {'id': 5014510193, 'qualifierId': 213, 'value': '1.50'}, {'id': 5014510187, 'qualifierId': 140, 'value': '25.0'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;79,6;15,3;1,5;25,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;25,0;79,6;;;;;;;0;0;0;9;Atlanta United II;9;DC;1,0
2684578983;7;1;1;0;12;2nnef9tr9g7m2s6n873qif95g;1;24,2;79,1;2024-05-08T23:34:46.060Z;2024-05-08T23:34:50Z;[{'id': 5014510319, 'qualifierId': 213, 'value': '4.20'}, {'id': 5014510315, 'qualifierId': 141, 'value': '53.3'}, {'id': 5014510317, 'qualifierId': 212, 'value': '20.1'}, {'id': 5014510311, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014510313, 'qualifierId': 140, 'value': '14.9'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;53,3;20,1;4,2;14,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;14,9;53,3;;;;;;;0;0;0;12;Atlanta United II;12;DC;1,0
2684579011;8;1;1;0;16;2nnef9tr9g7m2s6n873qif95g;1;14,9;50,6;2024-05-08T23:34:49.933Z;2024-05-08T23:34:54Z;[{'id': 5014510425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014510431, 'qualifierId': 212, 'value': '20.9'}, {'id': 5014510429, 'qualifierId': 141, 'value': '79.0'}, {'id': 5014510433, 'qualifierId': 213, 'value': '1.18'}, {'id': 5014510427, 'qualifierId': 140, 'value': '22.4'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;cp9e4i6hfmxhdo1vsiw8gbcwk;Pass;;;;;;;;;;;79,0;20,9;1,18;22,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;22,4;79,0;;;;;;;0;0;0;16;Atlanta United II;16;DC;1,0
