field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;f1e7n1pmjklbr35g7uuqdr78q;1;42;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;GK;J. Hibbert;;;;;;
2;cbjd834y2hdx5jr3bda1zz6ga;2;52;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;DR;E. Centeno;;;;;;
2;bjk2ns3xadow18v3tkvqqrkh6;3;75;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;DC;J. Williams;;;;;;
3;6ahu72g0u39bxbjiz7ggefai1;4;45;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;MC;N. Okello;;;;;;
2;3uzxhd8g0jnft5xcd59yztm95;5;36;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;DL;R. Qawasmy;;;;216tgeofjnxr75ehcftkvxkpg;37,0;1,0
2;2iz7apzo49byqz0ws65h9d7v8;6;95;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;DC;K. Moore;;;;a71uh1se16gq1nxvo9swbzm6s;45,0;2,0
3;7y5v3oex0pnupaahm8arguluc;7;55;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;AMR;M. Gallardo;;;;;;
3;d5kcfgycj51y6aw82r38sl7o4;8;86;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;MC;Javier Armas;;;;;;
4;eg5gobm8zylt21enud00dfnmy;9;99;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;FW;K. Tmimi;;;;;;
3;astn4ytzoaav30ifi17s4dn8;10;41;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;AMC;A. Carleton;;;;;;
3;ctiorjdoewl12d0mtj1nqmas4;11;49;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;AML;M. Dejianne;;;;b56zx0iumlw5cpjctu307c74k;78,0;2,0
5;216tgeofjnxr75ehcftkvxkpg;0;23;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;Sub;A. Torres;3uzxhd8g0jnft5xcd59yztm95;37,0;1,0;;;
5;2dpxsh3ijdwmlkdi1xgiefpqs;0;44;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;Sub;;;;;;;
5;f69xf0cdfn1qe63t5tr5in10;0;50;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;Sub;;;;;;;
5;b56zx0iumlw5cpjctu307c74k;0;57;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;Sub;S. Hurlock;ctiorjdoewl12d0mtj1nqmas4;78,0;2,0;;;
5;a71uh1se16gq1nxvo9swbzm6s;0;64;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;Sub;M. Hadley;2iz7apzo49byqz0ws65h9d7v8;45,0;2,0;;;
5;c94hzs7c9bhmoc3iogsgwdjx0;0;77;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;Sub;;;;;;;
5;dtb9aa7wp7e73bm367myma1n9;0;88;8;erwnez7ksfkns4dqmyr1fhbe;cp9e4i6hfmxhdo1vsiw8gbcwk;home;1;Sub;;;;;;;
1;9i2pmc50q29y560ojvik3sdg4;1;98;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;GK;A. Sutton;;;;;;
3;3acyax22zfwdjw0cpgg4x7dre;2;14;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;DMR;J. Juarez;;;;;;
3;1j1ybmazykfh5nqs7egkcdxck;3;21;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;DML;D. Cuevas;;;;clvcgt5ofonse0q96sppu7hg4;83,0;2,0
2;2d9cw6dcm2wsgrr8mj5rt6zje;4;4;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;DC;K. Thomas;;;;;;
2;f0jwa1a61lxs31g47csjv7itw;5;20;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;DC;I. Covi;;;;;;
2;7s32iecltoopsjddclg0ixzx0;6;44;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;DC;C. Díaz;;;;;;
3;3jx1f1s8r150i6qo2juzooro4;7;24;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;MC;F. Canete;;;;;;
3;6oia90bi52zwmgdlvcvfnj1pm;8;10;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;MC;J. Evans;;;;;;
4;8p0k65b4c26ssfk0zh43lme7e;9;15;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;FW;D. Polanco;;;;4t078b0rnzmi8u83wzmdwze38;58,0;2,0
4;1nbbgew67td8zayaffvr1zcb8;10;13;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;FW;Joshua Rodríguez;;;;eehmjxbl4xwc3mz1geibnszkk;70,0;2,0
3;5jxj5s38o1nx0xbnapwl58bo4;11;8;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;AMC;J. Orejuela;;;;;;
5;1nnd0b4qwlni7tqot2n2st4yy;0;52;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;;;;;;;
5;8qgdg40qe62yreujy7rueil0p;0;1;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;;;;;;;
5;w92nbx3n5ztvgmf89sdp95re;0;5;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;;;;;;;
5;eehmjxbl4xwc3mz1geibnszkk;0;9;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;P. Ndoye;1nbbgew67td8zayaffvr1zcb8;70,0;2,0;;;
5;ami9xddgghvnly4mwtdj2tlyi;0;11;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;;;;;;;
5;4t078b0rnzmi8u83wzmdwze38;0;17;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;C. Díaz;8p0k65b4c26ssfk0zh43lme7e;58,0;2,0;;;
5;11ppoeb5n4q657bwbg4cdxck;0;18;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;;;;;;;
5;clvcgt5ofonse0q96sppu7hg4;0;29;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;S. Cambindo;1j1ybmazykfh5nqs7egkcdxck;83,0;2,0;;;
5;6qu8uu28fk2dbbeymuu6yii38;0;99;12;2nnef9tr9g7m2s6n873qif95g;cp9e4i6hfmxhdo1vsiw8gbcwk;away;1;Sub;;;;;;;
