field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;2y9o7d8tm1f8fnp6jewxzifis;1;76;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;GK;A. Rick;;;;;;
2;872ifpo3qufi9vv9vy7ty6uj8;2;58;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;DR;G. Wetzel;;;;;;
2;2qz3ojbfedl8psp1tvq0183ro;3;39;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;DC;F. Westfield;;;;;;
3;993vihjmsn70q9w237fatzgbu;4;24;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;DMC;N. Pariano;;;;a3qa9kw3vbh8nu5mgns92czro;91,0;2,0
2;3h4x6eh6zkcaww4g6rhkwpbf8;5;44;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;DL;Neil Pierre;;;;;;
2;5aszabja459117mqykvfpajh0;6;42;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;DC;C. Rojas;;;;;;
3;45v94x6b8g7n4xa3lsfdp6pzo;7;41;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;MR;D. Vazquez;;;;;;
3;20wmdzih6b1t0ekt1v2qd4b2s;8;6;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;AMC;C. Sullivan;;;;d4spt2529fmys8d26x61lk36c;82,0;2,0
4;ngmdu10fjli45jvddeljv8yc;9;35;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;FW;M. Anderson;;;;15v2azulwhof0p216i7bjp250;91,0;2,0
4;9j3va21w5i9ypf8qmt4g1vggk;10;77;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;FW;E. Davis;;;;434xf7moiduhzy9ivp7jxr10;62,0;2,0
3;7bodno8j3qjiqp9wy8kobwmqc;11;56;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;ML;C. Olney;;;;;;
5;7nd2w9ipveb6nfo413i8focus;0;32;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;;;;;;;
5;a3qa9kw3vbh8nu5mgns92czro;0;29;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;O. Makhanya;993vihjmsn70q9w237fatzgbu;91,0;2,0;;;
5;434xf7moiduhzy9ivp7jxr10;0;55;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;S. Olivas;9j3va21w5i9ypf8qmt4g1vggk;62,0;2,0;;;
5;15v2azulwhof0p216i7bjp250;0;30;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;J. Berdecio;ngmdu10fjli45jvddeljv8yc;91,0;2,0;;;
5;1ceqwz4ozqi6ft5l4hf5a04r8;0;57;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;;;;;;;
5;cjhjwaelyypl3ca9gpzu61vys;0;38;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;;;;;;;
5;d4spt2529fmys8d26x61lk36c;0;47;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;K. LeBlanc;20wmdzih6b1t0ekt1v2qd4b2s;82,0;2,0;;;
5;sqm6jwnogmzp7u7rsv3rtel0;0;62;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;;;;;;;
5;6rm114588bj7ro7639d8l4qvo;0;61;3;1zgjjyruyufrkh4xjvryqsb1i;crkzghs9x4ef053v50smmie50;home;1;Sub;;;;;;;
