field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;3gzatxlefe9axcrqyllbtrzmc;1;41;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;GK;E. Bandré;;;;;;
2;4wu5ystem7t4d7veep83j2qne;2;53;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;DR;S. Flores;;;;a9w6952jyw6x83gxp94zs8ro4;87,0;2,0
2;1ss7pdaxmlk0sijax5brwpkyy;3;48;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;DC;L. Batiste;;;;etyqw24tl6zko0qarctyv6ane;87,0;2,0
3;6kfmf44wdx1btf9mwqdmo36z8;4;24;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;MC;W. Frederick;;;;;;
2;33l6xyx4nhswaphl9ha38yx9l;5;6;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;DL;L. Abubakar;;;;63r5yw1u82xzwndp8c6rwvzoq;62,0;2,0
2;8p3y7tm4lzwp39tojonnohaay;6;56;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;DC;N. Jones;;;;;;
3;7gh46rkxaa7trgtp8lf1l591w;7;46;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;MR;F. Núñez;;;;;;
3;f1oc42nax0yel4gblge49py7e;8;45;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;MC;D. Amadou;;;;;;
4;28kg6zbpgbb8zrnhidogpxi0a;9;47;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;FW;A. Díaz;;;;1p1ektnr3l7lj518cbs2dnmdw;79,0;2,0
4;7pegcq6kh8s6naujxky714ys4;10;80;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;FW;N. Strellnauer;;;;;;
3;6hh057kb54ovy3lqxo5bvxlhw;11;49;2;iiolvosiuokkrl5iuoxcjo4p;csa4z7z8fak8aqtdsug4siej8;away;1;ML;A. García;;;;;;
