id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Captain;value_Involved;value_PlayerPosition;value_TeamFormation;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_Length;value_Angle;value_PassEndX;value_Zone;value_PassEndY;value_Offensive;value_BlockedPass;value_OppositeRelatedEventId;value_Defensive;value_NextEventGoalKick;value_Low;value_GoalKick;value_LayOff;value_TouchTypeClearance;value_Assist;value_BlockedX;value_RelatedEventId;value_OutOfBoxCentre;value_GoalmouthY;value_BlockedY;value_GkY;value_LeftFooted;value_RegularPlay;value_Blocked;value_IndividualPlay;value_GoalmouthZ;value_Assisted;value_GkX;value_LowLeft;value_DefBlock;value_FromShotOffTarget;value_Hands;value_Diving;value_HighGkIntervention;value_ParriedSafe;value_Left;value_Right;value_Cross;value_Chipped;value_LongBall;value_CornerTaken;value_InSwinger;value_OutOfPlay;value_RightFooted;value_IntendedTackleTarget;value_DeletedEventType;value_Overrun;value_TakeOnOvertake;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_LowGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_MediumGkIntervention;value_IntentionalAssist;value_CloseHigh;value_BoxLeft;value_NextEventThrowIn;value_ThrowIn;value_VideoCoverageLost;value_NotVisible;value_High;value_Launch;value_PullBack;value_BoxCentre;value_FirstTouch;value_ParriedDanger;value_PlayersCaughtOffside;value_Indirect;value_TouchTypePass;value_ShirtPull/Holding;value_SwitchOfPlay;value_OutSwinger;value_OverArm;value_Shove/Push;value_LowCentre;value_Stooping;value_Feet;value_Volley;value_HighLeft;value_NotAssisted;value_SmallBoxLeft;value_Head;value_FromCorner;value_CloseLeftAndHigh;value_FlickOn;value_GkKickFromHands;value_HeadPass;value_LowRight;value_Collected;value_Dissent;value_YellowCard;value_RecklessOffence;value_CloseRightAndHigh;value_SwerveLeft;value_NotPastGoalLine;value_TakeOnSpace;value_TacticalFoul;value_FreeKick;value_Minutes;value_EndType;value_FastBreak;value_BlockedClearance;value_LeadingToAttempt;value_RelatedError1Id;value_BoxRight;value_BlockedCross;value_OverhitCross;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Standing;value_IncorrectOutOfPlayDecision;value_FantasyAssistTeam;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_FantasyAssistId;value_GoalShotGameClock;value_FantasyAssistedBy;value_FantasyAssistType;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2686888635;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-12T23:30:01.492Z;2024-05-13T02:23:54Z;[{'id': 5027476977, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5027155763, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, auomns9j08ffqknhs9007ju38, 3risld5mac5ns2rrv6namc2l0, 939wjlo1zcnhfu6jy2px0zmui, 1j010cibh247p8kjchww6ny3u, e7vsajjh4e7t51ciycjg0skd0, 32c9e26wcnr5kmab8ep4zph5g, akgtib8zyv5lrvh9mxunj2rdg, 19ckwd2oz9uyfjznuq2c41btg, 6ggqe5gi2w2jjclmbjev6dd78, 3h8rx5wumr7hktll4hnvx7or8, 7al9w77ailhli8g487tkl32tw, f3bqitwkt3mitemcjd61hi044, 1iedtrzbcgj817i0ccin8dvro, da3mzb093sxf8i2xznedau8t0, 8vnnownnzz2ksuuitbw3ax5yi, 8oa72acrno9ybfo1hdof5efbo'}, {'id': 5027155765, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5027155769, 'qualifierId': 130, 'value': '13'}, {'id': 5027155771, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5027226315, 'qualifierId': 197, 'value': '23486'}, {'id': 5027155773, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5027155767, 'qualifierId': 59, 'value': '30, 2, 7, 15, 5, 4, 50, 35, 41, 10, 99, 6, 8, 16, 22, 51, 79'}];;;;ctfwrnq2yu97iskjca5a0u9zo;Team set up;;;;13,0;;23486,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;0;The Town;0;;
2686889537;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-05-12T23:31:49.511Z;2024-05-13T02:23:28Z;[{'id': 5027160193, 'qualifierId': 130, 'value': '4'}, {'id': 5027476547, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}, {'id': 5027225689, 'qualifierId': 197, 'value': '23745'}, {'id': 5027160189, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5027160195, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5027160191, 'qualifierId': 59, 'value': '98, 33, 72, 38, 63, 77, 64, 99, 60, 75, 71, 50, 52, 54, 59, 66, 68'}, {'id': 5027160187, 'qualifierId': 30, 'value': '4ss487gmb4rf044t895o21xm2, 3etb72wtwcrim97dyp9g2px5g, 3q8dpwqkikbugz3ikwcmkbg4q, 1on6mxrbdqnh12s4h1y0vb3mc, 35jkg2v338kipzlf0iwvvypuy, 79z5vt08ga8prn33vi2a260kq, dhrxi7hj8xh15ky7q6u5wqi5m, 5n1wehugx0qtun8oopg2jbndg, 1bmbt6h6bsiimpzxt07cqwfvu, 49ag6csupgt40gbs2snq1xs7o, 7jtxek694d60c5udhyv0zsjro, dwyatw1wz3nrh1fcwu27ie8ve, cac9hjmdwt1gsz0qt3f6d4b2s, bpfl7nj8llr3dfadhtju52rro, ekjdow8ebvcf1fnuqgds9wtg4, dqa88ma3jbk33lsyzo45uy2cq, 4ozih7wnybdxb1wgvd5fkjp5g'}, {'id': 5027160197, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;ctfwrnq2yu97iskjca5a0u9zo;Team set up;;;;4,0;;23745,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;0;North Texas;0;;
2686901537;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-05-13T00:05:25.803Z;2024-05-19T08:14:03Z;[{'id': 5027231695, 'qualifierId': 127, 'value': 'Right to Left'}];;;;ctfwrnq2yu97iskjca5a0u9zo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;0;North Texas;0;;
2686901533;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-13T00:05:25.803Z;2024-05-13T00:05:25Z;[{'id': 5027231679, 'qualifierId': 127, 'value': 'Left to Right'}];;;;ctfwrnq2yu97iskjca5a0u9zo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;0;0;The Town;0;;
2686901563;3;1;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;49,5;49,9;2024-05-13T00:05:25.804Z;2024-05-13T00:05:32Z;[{'id': 5027231893, 'qualifierId': 279, 'value': 'S'}, {'id': 5027231889, 'qualifierId': 212, 'value': '25.8'}, {'id': 5027231891, 'qualifierId': 213, 'value': '3.44'}, {'id': 5027231885, 'qualifierId': 140, 'value': '26.0'}, {'id': 5027231883, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027231887, 'qualifierId': 141, 'value': '38.6'}];19ckwd2oz9uyfjznuq2c41btg;T. Scott;;ctfwrnq2yu97iskjca5a0u9zo;Pass;;;;;;;;;;;25,8;3,44;26,0;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;26,0;38,6;;;;;;;0;0;0;0;The Town;0;FW;1,0
2686901567;4;1;1;0;6;99l7fsj6ykgbyqcb9zqqu9dgq;1;28,9;38,9;2024-05-13T00:05:32.031Z;2024-05-13T00:05:33Z;[{'id': 5027231927, 'qualifierId': 212, 'value': '17.5'}, {'id': 5027231923, 'qualifierId': 140, 'value': '29.9'}, {'id': 5027231921, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027231925, 'qualifierId': 141, 'value': '64.6'}, {'id': 5027231929, 'qualifierId': 213, 'value': '1.51'}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;ctfwrnq2yu97iskjca5a0u9zo;Pass;;;;;;;;;;;17,5;1,51;29,9;;64,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;29,9;64,6;;;;;;;0;0;0;6;The Town;6;DC;1,0
2686901575;5;1;1;0;7;99l7fsj6ykgbyqcb9zqqu9dgq;1;30,0;67,0;2024-05-13T00:05:33.047Z;2024-05-13T00:05:34Z;[{'id': 5027231985, 'qualifierId': 140, 'value': '36.4'}, {'id': 5027231983, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027231987, 'qualifierId': 141, 'value': '78.8'}, {'id': 5027231991, 'qualifierId': 213, 'value': '0.87'}, {'id': 5027231989, 'qualifierId': 212, 'value': '10.5'}];939wjlo1zcnhfu6jy2px0zmui;I. Parker;;ctfwrnq2yu97iskjca5a0u9zo;Pass;;;;;;;;;;;10,5;0,87;36,4;;78,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;36,4;78,8;;;;;;;0;0;0;7;The Town;7;DC;1,0
2686901581;6;1;1;0;8;99l7fsj6ykgbyqcb9zqqu9dgq;1;35,6;76,9;2024-05-13T00:05:34.630Z;2024-05-13T00:05:36Z;[{'id': 5027232035, 'qualifierId': 141, 'value': '75.4'}, {'id': 5027232031, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027232033, 'qualifierId': 140, 'value': '30.9'}, {'id': 5027232039, 'qualifierId': 213, 'value': '3.35'}, {'id': 5027232037, 'qualifierId': 212, 'value': '5.0'}];3risld5mac5ns2rrv6namc2l0;A. Zanne;;ctfwrnq2yu97iskjca5a0u9zo;Pass;;;;;;;;;;;5,0;3,35;30,9;;75,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;30,9;75,4;;;;;;;0;0;0;8;The Town;8;DML;1,0
2686901583;7;1;1;0;10;99l7fsj6ykgbyqcb9zqqu9dgq;1;31,3;75,4;2024-05-13T00:05:36.335Z;2024-05-13T00:05:37Z;[{'id': 5027232061, 'qualifierId': 213, 'value': '0.32'}, {'id': 5027232057, 'qualifierId': 141, 'value': '77.9'}, {'id': 5027232053, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027232055, 'qualifierId': 140, 'value': '36.2'}, {'id': 5027232059, 'qualifierId': 212, 'value': '5.4'}];939wjlo1zcnhfu6jy2px0zmui;I. Parker;;ctfwrnq2yu97iskjca5a0u9zo;Pass;;;;;;;;;;;5,4;0,32;36,2;;77,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;36,2;77,9;;;;;;;0;0;0;10;The Town;10;DC;1,0
2686901595;8;1;1;0;11;99l7fsj6ykgbyqcb9zqqu9dgq;1;36,2;77,9;2024-05-13T00:05:36.991Z;2024-05-13T00:05:40Z;[{'id': 5027232129, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027232137, 'qualifierId': 213, 'value': '3.31'}, {'id': 5027232135, 'qualifierId': 212, 'value': '6.6'}, {'id': 5027232131, 'qualifierId': 140, 'value': '30.0'}, {'id': 5027232133, 'qualifierId': 141, 'value': '76.3'}];3risld5mac5ns2rrv6namc2l0;A. Zanne;;ctfwrnq2yu97iskjca5a0u9zo;Pass;;;;;;;;;;;6,6;3,31;30,0;;76,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;30,0;76,3;;;;;;;0;0;0;11;The Town;11;DML;1,0
