field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;dcypf9mqtlcn5wetj1z7g3mui;1;20;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;GK;A. Cervantes;;;;;;
2;8ly83pm2mbtz4u7jwsv0o96qy;2;2;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;DR;C. Touré;;;;7nxqbiq6fics5w3qnwhz249as;81,0;2,0
2;9nlw8tihbzfnvkt5uproa79jo;3;3;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;DC;Rubén Bonachera;;;;;;
3;2yxzh220ndd4s4wqditruo0h6;4;6;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;MC;A. Ramírez;;;;;;
2;ec3xdenc4ncg4sc8ni4kkyln8;5;4;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;DL;A. Gomez;;;;;;
2;d0riqrsz7ojwb9m94rbvx7r6y;6;5;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;DC;S. Mazzaferro;;;;;;
3;ov91zkisppven9tp72gfbjf8;7;18;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;MC;B. Byaruhanga;;;;;;
3;7m5wyvhq876dyap45egqs2tjo;8;30;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;MC;E. Torres;;;;35ds2xu43z6jccyhlr8jsomzu;45,0;2,0
4;4521gkm1oemvrfsgksz7b6zxm;9;9;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;FW;S. Pineau;;;;;;
4;641bsr9un81t6sds51fhvijh0;10;10;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;FWR;B. Farkarlun;;;;;;
4;elvrjpt1jlko4henaqvfid7o4;11;32;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;FWL;M. Burton;;;;9yldym4386a2icfk6qb6i90r8;68,0;2,0
5;81a5mbcfvbxke0w3cbq65ld2i;0;1;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;;;;;;;
5;7nxqbiq6fics5w3qnwhz249as;0;8;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;S. Louis-Jean;8ly83pm2mbtz4u7jwsv0o96qy;81,0;2,0;;;
5;35ds2xu43z6jccyhlr8jsomzu;0;17;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;B. Arellano;7m5wyvhq876dyap45egqs2tjo;45,0;2,0;;;
5;35ds2xu43z6jccyhlr8jsomzu;0;17;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;B. Arellano;1yohdc0hkzkom8hlhw3rjfn8q;45,0;2,0;;;
5;9yldym4386a2icfk6qb6i90r8;0;25;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;A. De Anda;elvrjpt1jlko4henaqvfid7o4;68,0;2,0;;;
5;3dtt0czm41hnuw8mvyn14ys4;0;33;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;;;;;;;
5;5rusq0uqak1y920vdwpg2f190;0;35;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;;;;;;;
5;6y4dhco5w4ontgfdtl1oj06xg;0;36;4;d0c07im4a6oj8qa7f1zlt3pqs;cuxzuvwotldz8kmzgfwac03kk;home;1;Sub;;;;;;;
1;8xpddjq19wzsf3mdlnjdx6e7e;1;36;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;GK;R. Schewe;;;;;;
2;aifybz5snfmoiwlq6qpweitxw;2;87;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;DR;A. Cunningham;;;;7m5wyvhq876dyap45egqs2tjo;59,0;2,0
2;aifybz5snfmoiwlq6qpweitxw;2;87;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;DR;A. Cunningham;;;;1yohdc0hkzkom8hlhw3rjfn8q;59,0;2,0
2;5n0su1a4r7kb7it3ghxbhrf56;3;35;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;DC;J. Robinson;;;;bhhdcubw5vyxzf0lc1fcfftka;71,0;2,0
3;1pm343qga3zwdbrjngpeqhtnu;4;80;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;MC;J. Swallen;;;;a8ngovgs2qfu5udzb97kelg16;59,0;2,0
2;1wa60ccrpw2zqguj4ayeeacyc;5;74;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;DL;D. Montoute;;;;;;
2;4cfvnypovkt900sfxmdhvxtec;6;28;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;DC;C. Rindov;;;;;;
3;c7luarkv7hwdspd9xhidhisk4;7;52;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;MC;C. Tschantret;;;;;;
3;4oz12ku4mdjsq7y4sgogpwg2y;8;47;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;MC;K. Habibullah;;;;;;
4;cqmvrx028gh19yh8qh7w01y0a;9;99;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;FW;R. Avila;;;;i15xuf6lug0m5twd06n2pus4;77,0;2,0
4;32t6g252ti1peycjite40qiy2;10;70;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;FWR;R. Hațegan;;;;vhjelesjaxtgjcgfv7yxp2lm;71,0;2,0
4;3tkdn8arq1j3il4ako7rcio2y;11;38;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;FWL;M. Goumballe;;;;;;
5;bhhdcubw5vyxzf0lc1fcfftka;0;31;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;D. Flores;5n0su1a4r7kb7it3ghxbhrf56;71,0;2,0;;;
5;1yohdc0hkzkom8hlhw3rjfn8q;0;33;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;N. Clarke;aifybz5snfmoiwlq6qpweitxw;59,0;2,0;;;
5;a8ngovgs2qfu5udzb97kelg16;0;39;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;E. Bryant;1pm343qga3zwdbrjngpeqhtnu;59,0;2,0;;;
5;i15xuf6lug0m5twd06n2pus4;0;67;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;Pau Vidal;cqmvrx028gh19yh8qh7w01y0a;77,0;2,0;;;
5;da8l0zjb57m23t0nsz9e3j40k;0;81;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;;;;;;;
5;2gawx03wls5vwtlocjir3u7vu;0;90;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;;;;;;;
5;3f52lf1p2xmtzysfi8n18m044;0;91;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;;;;;;;
5;hranx8amv6zdzmvzda4to0lw;0;96;4;7fbej4xwoq4imaf5l39304m37;cuxzuvwotldz8kmzgfwac03kk;away;1;Sub;;;;;;;
