id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Captain;value_JerseyNumber;value_TeamFormation;value_Involved;value_PlayerPosition;value_TeamPlayerFormation;value_Resume;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Angle;value_Length;value_Zone;value_PassEndX;value_LongBall;value_Launch;value_LowGkIntervention;value_GkKickFromHands;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_IntendedTackleTarget;value_Chipped;value_SwitchOfPlay;value_LayOff;value_TakeOnSpace;value_Offensive;value_Defensive;value_BlockedPass;value_TakeOnOvertake;value_Assist;value_IntentionalAssist;value_LowRight;value_Assisted;value_GoalmouthZ;value_BlockedY;value_BigChance;value_LeftFooted;value_BlockedX;value_RegularPlay;value_RelatedEventId;value_SmallBoxLeft;value_GoalmouthY;value_Diving;value_ParriedSafe;value_Hands;value_Left;value_InSwinger;value_RightFooted;value_CornerTaken;value_Cross;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_DeletedEventType;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_OutSwinger;value_TouchTypeClearance;value_OutOfPlay;value_ShirtPull/Holding;value_BoxRight;value_LowCentre;value_IndividualPlay;value_Collected;value_Stooping;value_PlayersCaughtOffside;value_Indirect;value_TouchTypePass;value_NextEventGoalKick;value_Low;value_GoalKick;value_LowLeft;value_OutOfBoxCentre;value_TouchTypeControl;value_Defensive1V1;value_AttemptedTackle;value_Head;value_YellowCard;value_CoachId;value_Dissent;value_NotVisible;value_GkY;value_GkX;value_35Centre;value_FastBreak;value_NotAssisted;value_MisHit;value_HighRight;value_BoxCentre;value_Volley;value_FirstTouch;value_Right;value_FromCorner;value_MediumGkIntervention;value_SetPiece;value_Blocked;value_DefBlock;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_ParriedDanger;value_Feet;value_NotPastGoalLine;value_RecklessOffence;value_LeadingToAttempt;value_HighLeft;value_RelatedError1Id;value_High;value_FlickOn;value_Minutes;value_HighCentre;value_Reaching;value_Caught;value_OverArm;value_OverhitCross;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_SwerveRight;value_FreeKick;value_OutOfBoxDeepRight;value_InjuredPlayerId;value_Injury;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FloatedCross;value_Straight;value_PullBack;value_AerialFoul;value_SixYardBlocked;value_SmallBoxCentre;value_CloseRight;value_SwerveLeft;value_BoxLeft;value_VideoCoverageLost;value_Handball;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_TacticalFoul;value_TimeWasting;value_Overrun;value_BlockedCross;value_HitWoodwork;value_HitLeftPost;value_Argument;value_DrivenCross;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689220531;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-05-18T23:33:59.121Z;2024-05-19T01:06:28Z;[{'id': 5039952095, 'qualifierId': 197, 'value': '4451'}, {'id': 5040159259, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 5039820845, 'qualifierId': 59, 'value': '42, 52, 75, 45, 64, 38, 55, 86, 49, 41, 99, 23, 44, 47, 57, 88'}, {'id': 5039820847, 'qualifierId': 130, 'value': '8'}, {'id': 5039820841, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, cbjd834y2hdx5jr3bda1zz6ga, bjk2ns3xadow18v3tkvqqrkh6, 6ahu72g0u39bxbjiz7ggefai1, a71uh1se16gq1nxvo9swbzm6s, 3lafo3mzfkp2kmf2fj8d6lnv8, 7y5v3oex0pnupaahm8arguluc, d5kcfgycj51y6aw82r38sl7o4, ctiorjdoewl12d0mtj1nqmas4, astn4ytzoaav30ifi17s4dn8, eg5gobm8zylt21enud00dfnmy, 216tgeofjnxr75ehcftkvxkpg, 2dpxsh3ijdwmlkdi1xgiefpqs, 5c7gqtyra887hjyg502tvzn1m, b56zx0iumlw5cpjctu307c74k, dtb9aa7wp7e73bm367myma1n9'}, {'id': 5039820843, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5'}, {'id': 5039820849, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5039820851, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cvbjrq3ymmwb2msnm5jeyjn6c;Team set up;4451,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;0;0;Huntsville City;0;;
2689225677;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-05-18T23:43:05.260Z;2024-05-19T02:12:57Z;[{'id': 5039848069, 'qualifierId': 30, 'value': 'efek04gkkjjwr6vo2mi008dm, 42zmyz1t6mqap5pyfqxiaadqs, 9ncybediodv8share9pox2kno, 5myzzter0uza8ro6hwbqxyntg, d9cioqeofh2tfg3171r5nlb10, bmax1bmduvrpp0lfh4do0yj9w, 1kr4ax5uy3f9gbjzr34u0svf8, 6z58yyouaevipxrmrmorcz0no, 6prn3rxp49rsfl8mxq2tqzf9w, dz7v9xfcwdvjioeyv4z54neqy, b9f1pwdmp99p5penlqwuwcjkk, 5m3bxdstyhzoplpzam8c94t90, 2mmciwk6gllcf11plcch710yc, bshus335cwlnpdzl7ct1gpn9w, 8bvwbem3nusjso8jxzrlhbi8k, aycrxmhbroqjp1nenfb4dlwr8, 7edr5aal1wga8ufahy4xt2b6c, 4asymhhhbegn8w8apbkxiehhw, 7udp171hmb1rdixg9awx93h1w, dkihhvecnitq5il3mmi33eivo'}, {'id': 5039848079, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5040339183, 'qualifierId': 194, 'value': 'efek04gkkjjwr6vo2mi008dm'}, {'id': 5039911195, 'qualifierId': 197, 'value': '19319'}, {'id': 5039848073, 'qualifierId': 59, 'value': '67, 40, 3, 6, 2, 25, 47, 8, 77, 17, 19, 9, 1, 24, 99, 14, 46, 55, 78, 45'}, {'id': 5039848077, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5039848075, 'qualifierId': 130, 'value': '4'}, {'id': 5039848071, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;cvbjrq3ymmwb2msnm5jeyjn6c;Team set up;19319,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2689236921;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-05-19T00:03:37.860Z;2024-05-19T00:03:40Z;[{'id': 5039910529, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cvbjrq3ymmwb2msnm5jeyjn6c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;0;0;Huntsville City;0;;
2689236913;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-05-19T00:03:37.860Z;2024-05-21T11:52:12Z;[{'id': 5039910505, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cvbjrq3ymmwb2msnm5jeyjn6c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2689236961;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;50,1;49,9;2024-05-19T00:03:38.142Z;2024-05-19T00:03:42Z;[{'id': 5039910701, 'qualifierId': 141, 'value': '45.8'}, {'id': 5039910707, 'qualifierId': 279, 'value': 'S'}, {'id': 5039910705, 'qualifierId': 213, 'value': '3.31'}, {'id': 5039910703, 'qualifierId': 212, 'value': '16.9'}, {'id': 5039910697, 'qualifierId': 56, 'value': 'Back'}, {'id': 5039910699, 'qualifierId': 140, 'value': '34.2'}];5myzzter0uza8ro6hwbqxyntg;Sergi Oriol;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;45,8;;3,31;16,9;;34,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;34,2;45,8;;;;;;;0;0;0;0;Atlanta United II;0;MC;1,0
2689236991;4;1;1;0;4;4gymgvqmve0m2vh89v84tt3x0;0;35,8;45,2;2024-05-19T00:03:41.987Z;2024-05-21T11:55:51Z;[{'id': 5039910879, 'qualifierId': 140, 'value': '96.4'}, {'id': 5039910885, 'qualifierId': 213, 'value': '0.29'}, {'id': 5039910881, 'qualifierId': 141, 'value': '73.2'}, {'id': 5039910887, 'qualifierId': 1}, {'id': 5039910877, 'qualifierId': 56, 'value': 'Center'}, {'id': 5039910883, 'qualifierId': 212, 'value': '66.4'}, {'id': 5047006209, 'qualifierId': 157}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;73,2;;0,29;66,4;;96,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;96,4;73,2;;;;;;;0;0;0;4;Atlanta United II;4;MC;1,0
2689236993;3;52;1;0;8;erwnez7ksfkns4dqmyr1fhbe;1;10,0;52,8;2024-05-19T00:03:46.398Z;2024-05-21T11:55:59Z;[{'id': 5047006405, 'qualifierId': 376}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;cvbjrq3ymmwb2msnm5jeyjn6c;Keeper pick-up;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;0;0;0;8;Huntsville City;8;GK;1,0
2689237127;4;1;1;0;23;erwnez7ksfkns4dqmyr1fhbe;0;12,2;49,0;2024-05-19T00:04:01.556Z;2024-05-19T00:04:05Z;[{'id': 5039911663, 'qualifierId': 141, 'value': '74.4'}, {'id': 5039911661, 'qualifierId': 140, 'value': '62.4'}, {'id': 5039911667, 'qualifierId': 213, 'value': '0.32'}, {'id': 5039911665, 'qualifierId': 212, 'value': '55.5'}, {'id': 5039911659, 'qualifierId': 56, 'value': 'Center'}, {'id': 5039911657, 'qualifierId': 199}, {'id': 5039911669, 'qualifierId': 1}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;74,4;;0,32;55,5;;62,4;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;62,4;74,4;;;;;;;0;0;0;23;Huntsville City;23;GK;1,0
2689237153;5;1;1;0;26;4gymgvqmve0m2vh89v84tt3x0;1;32,1;43,1;2024-05-19T00:04:04.307Z;2024-05-21T11:56:20Z;[{'id': 5039911755, 'qualifierId': 56, 'value': 'Back'}, {'id': 5039911757, 'qualifierId': 140, 'value': '44.6'}, {'id': 5039911753, 'qualifierId': 3}, {'id': 5039911759, 'qualifierId': 141, 'value': '42.2'}, {'id': 5039911761, 'qualifierId': 212, 'value': '13.1'}, {'id': 5039911763, 'qualifierId': 213, 'value': '6.24'}];d9cioqeofh2tfg3171r5nlb10;C. Applewhite;;;cvbjrq3ymmwb2msnm5jeyjn6c;Pass;;;;;;;;;;42,2;;6,24;13,1;;44,6;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;44,6;42,2;;;;;;;0;0;0;26;Atlanta United II;26;DL;1,0
2690550859;820;49;1;0;28;4gymgvqmve0m2vh89v84tt3x0;1;43,4;40,6;2024-05-19T00:04:06.170Z;2024-05-21T11:56:28Z;[];5myzzter0uza8ro6hwbqxyntg;Sergi Oriol;;;cvbjrq3ymmwb2msnm5jeyjn6c;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;28;Atlanta United II;28;MC;1,0
