field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;f1e7n1pmjklbr35g7uuqdr78q;1;42;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;GK;J. Hibbert;;;;;;
2;cbjd834y2hdx5jr3bda1zz6ga;2;52;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;DR;E. Centeno;;;;;;
2;bjk2ns3xadow18v3tkvqqrkh6;3;75;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;DC;J. Williams;;;;216tgeofjnxr75ehcftkvxkpg;45,0;2,0
3;6ahu72g0u39bxbjiz7ggefai1;4;45;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;MC;N. Okello;;;;;;
2;a71uh1se16gq1nxvo9swbzm6s;5;64;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;DL;M. Hadley;;;;;;
2;3lafo3mzfkp2kmf2fj8d6lnv8;6;38;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;DC;E. Dudley;;;;;;
3;7y5v3oex0pnupaahm8arguluc;7;55;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;AMR;M. Gallardo;;;;b56zx0iumlw5cpjctu307c74k;79,0;2,0
3;d5kcfgycj51y6aw82r38sl7o4;8;86;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;MC;Javier Armas;;;;;;
4;ctiorjdoewl12d0mtj1nqmas4;9;49;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;FW;M. Dejianne;;;;2dpxsh3ijdwmlkdi1xgiefpqs;88,0;2,0
3;astn4ytzoaav30ifi17s4dn8;10;41;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;AMC;A. Carleton;;;;;;
3;eg5gobm8zylt21enud00dfnmy;11;99;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;AML;K. Tmimi;;;;;;
5;216tgeofjnxr75ehcftkvxkpg;0;23;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;Sub;A. Torres;bjk2ns3xadow18v3tkvqqrkh6;45,0;2,0;5c7gqtyra887hjyg502tvzn1m;70,0;2,0
5;2dpxsh3ijdwmlkdi1xgiefpqs;0;44;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;Sub;S. Lanza;ctiorjdoewl12d0mtj1nqmas4;88,0;2,0;;;
5;5c7gqtyra887hjyg502tvzn1m;0;47;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;Sub;M. Edwards;216tgeofjnxr75ehcftkvxkpg;70,0;2,0;;;
5;b56zx0iumlw5cpjctu307c74k;0;57;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;Sub;S. Hurlock;7y5v3oex0pnupaahm8arguluc;79,0;2,0;;;
5;dtb9aa7wp7e73bm367myma1n9;0;88;8;erwnez7ksfkns4dqmyr1fhbe;cvbjrq3ymmwb2msnm5jeyjn6c;away;1;Sub;;;;;;;
1;efek04gkkjjwr6vo2mi008dm;1;67;4;4gymgvqmve0m2vh89v84tt3x0;cvbjrq3ymmwb2msnm5jeyjn6c;home;1;GK;B. Martino;;;;;;
