id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_PlayerPosition;value_Captain;value_Resume;value_JerseyNumber;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Angle;value_PassEndX;value_Zone;value_Length;value_Chipped;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_TouchTypePass;value_TakeOnOvertake;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_Launch;value_Right;value_Left;value_CornerTaken;value_RightFooted;value_Cross;value_InSwinger;value_MediumGkIntervention;value_GkKickFromHands;value_Shove/Push;value_NotVisible;value_IntendedTackleTarget;value_AttemptedTackle;value_LeadingToAttempt;value_TouchTypeControl;value_GkY;value_OutOfBoxCentre;value_NotAssisted;value_GoalmouthY;value_RegularPlay;value_IndividualPlay;value_GkX;value_RelatedError1Id;value_CloseRight;value_BigChance;value_GoalmouthZ;value_SwerveLeft;value_NextEventGoalKick;value_GoalKick;value_Low;value_Head;value_TakeOnSpace;value_OutOfPlay;value_LayOff;value_IntentionalAssist;value_Assist;value_LowCentre;value_Assisted;value_FirstTouch;value_BlockedY;value_BlockedX;value_RelatedEventId;value_SetPiece;value_Blocked;value_DefBlock;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_OutSwinger;value_BlockedCross;value_FromCorner;value_BoxCentre;value_NotPastGoalLine;value_LeftFooted;value_HighLeft;value_Overrun;value_FlickOn;value_LowLeft;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_KeeperTouched;value_ThroughBall;value_SwitchOfPlay;value_PullBack;value_YellowCard;value_RecklessOffence;value_OverArm;value_AerialFoul;value_ProfessionalFoulLastMan;value_RedCard;value_HighClaim;value_HighGkIntervention;value_GkHoof;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_FreeKick;value_ByWall;value_LowRight;value_High;value_HighCentre;value_ParriedSafe;value_Reaching;value_Hands;value_MisHit;value_Minutes;value_EndType;value_Volley;value_Collected;value_Stooping;value_InjuredPlayerId;value_Injury;value_BlockedClearance;value_PlayersCaughtOffside;value_Indirect;value_CaptainChange;value_2NdAssist;value_2NdRelatedEventId;value_SmallBoxCentre;value_OtherBodyPart;value_2NdAssisted;value_TacticalFoul;value_Weak;value_CloseLeft;value_VideoCoverageLost;value_35Centre;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_Diving;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689939309;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-05-19T22:06:17.872Z;2024-05-19T23:25:48Z;[{'id': 5043757169, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5043912595, 'qualifierId': 197, 'value': '15001'}, {'id': 5043757161, 'qualifierId': 30, 'value': '7x098qxoirgwlu38q1v969s6h, 4kng7wg83mastngy9hw7j6v6y, infc7r3a8oktbajwp4pff7dg, cjjvy22j5q0piz5omn2tf18us, c1fvknrf94i05q738d5r7vmdw, 3x8f4j8q49d8hft60a6k8l5as, 55y26r9mz105vrqmnq739l62, 7ve3vmg19c3g91j7zs32oecd0, 1874nj27f507jqja4e8zla1as, cliiemf1ih37qhh1wi1olk9ka, 3jiy9srl213w2s5abet3m3ys5, 19igj31auu88fhwdpfz8c1coa, bn5ic0uuxaupf6hs2tgqqq0b8, 9hxomhr5g6zy05ei4z4lhrklw, 87plrqqcwrv16d5v8mretfp7u, 9z7fz0c95ib7oniguzwbihs0k, 40za2m92ngp5og8pxyrkxl3is, 9owtf360wi6ky1cr4qwnnfk0k, 8l4bqb8gtyzqpx3pti200phqs'}, {'id': 5043757163, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5043912593, 'qualifierId': 194, 'value': '4kng7wg83mastngy9hw7j6v6y'}, {'id': 5043757171, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5043757165, 'qualifierId': 59, 'value': '31, 2, 17, 8, 4, 12, 11, 23, 70, 9, 20, 1, 10, 13, 19, 22, 62, 85, 90'}, {'id': 5043757167, 'qualifierId': 130, 'value': '8'}];;;;;cw2m60tca4b8gxp2sr2r0lwyc;Team set up;;15001,0;;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;0;Carolina Core;0;;
2689939759;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-05-19T22:07:28.110Z;2024-05-19T23:22:57Z;[{'id': 5043759547, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 3acyax22zfwdjw0cpgg4x7dre, 1j1ybmazykfh5nqs7egkcdxck, 2d9cw6dcm2wsgrr8mj5rt6zje, f0jwa1a61lxs31g47csjv7itw, 7s32iecltoopsjddclg0ixzx0, 5jxj5s38o1nx0xbnapwl58bo4, 3jx1f1s8r150i6qo2juzooro4, 1nbbgew67td8zayaffvr1zcb8, 6oia90bi52zwmgdlvcvfnj1pm, 1nnd0b4qwlni7tqot2n2st4yy, 8qgdg40qe62yreujy7rueil0p, w92nbx3n5ztvgmf89sdp95re, 8p0k65b4c26ssfk0zh43lme7e, 4t078b0rnzmi8u83wzmdwze38, 11ppoeb5n4q657bwbg4cdxck, 4n2c7qt6r6qqhzjs64nvytqs, clvcgt5ofonse0q96sppu7hg4'}, {'id': 5043759551, 'qualifierId': 59, 'value': '99, 14, 21, 4, 20, 44, 8, 24, 13, 10, 52, 1, 5, 15, 17, 18, 25, 29'}, {'id': 5043913065, 'qualifierId': 197, 'value': '23612'}, {'id': 5043759549, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5043775061, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5043759553, 'qualifierId': 130, 'value': '13'}, {'id': 5043759555, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5043759557, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;cw2m60tca4b8gxp2sr2r0lwyc;Team set up;;23612,0;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;0;Inter Miami II;0;;
2689967559;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-05-19T23:18:21.817Z;2024-05-19T23:18:22Z;[{'id': 5043918401, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cw2m60tca4b8gxp2sr2r0lwyc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;0;Inter Miami II;0;;
2689967567;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-05-19T23:18:21.817Z;2024-05-24T21:13:29Z;[{'id': 5043918441, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cw2m60tca4b8gxp2sr2r0lwyc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;0;Carolina Core;0;;
2689967595;3;1;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;50,0;50,0;2024-05-19T23:18:21.818Z;2024-05-19T23:18:26Z;[{'id': 5043918631, 'qualifierId': 141, 'value': '40.3'}, {'id': 5043918637, 'qualifierId': 279, 'value': 'S'}, {'id': 5043918635, 'qualifierId': 213, 'value': '3.60'}, {'id': 5043918629, 'qualifierId': 140, 'value': '37.2'}, {'id': 5043918627, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043918633, 'qualifierId': 212, 'value': '15.0'}];1nbbgew67td8zayaffvr1zcb8;Joshua Rodríguez;;;cw2m60tca4b8gxp2sr2r0lwyc;Pass;;;;;;;;;;40,3;;3,6;37,2;;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;37,2;40,3;;;;;;;;0;0;0;Inter Miami II;0;FW;1,0
2689967605;4;1;1;0;4;2nnef9tr9g7m2s6n873qif95g;1;37,2;40,3;2024-05-19T23:18:26.149Z;2024-05-19T23:56:12Z;[{'id': 5043918697, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043918701, 'qualifierId': 141, 'value': '52.5'}, {'id': 5043918699, 'qualifierId': 140, 'value': '30.8'}, {'id': 5043918703, 'qualifierId': 212, 'value': '10.7'}, {'id': 5043918705, 'qualifierId': 213, 'value': '2.25'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;cw2m60tca4b8gxp2sr2r0lwyc;Pass;;;;;;;;;;52,5;;2,25;30,8;;10,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;30,8;52,5;;;;;;;;0;0;4;Inter Miami II;4;MC;1,0
2689967617;5;1;1;0;5;2nnef9tr9g7m2s6n873qif95g;1;31,0;53,1;2024-05-19T23:18:27.645Z;2024-05-19T23:56:15Z;[{'id': 5043918781, 'qualifierId': 141, 'value': '78.6'}, {'id': 5043918779, 'qualifierId': 140, 'value': '31.3'}, {'id': 5043918785, 'qualifierId': 213, 'value': '1.55'}, {'id': 5043918777, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043918783, 'qualifierId': 212, 'value': '17.3'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;cw2m60tca4b8gxp2sr2r0lwyc;Pass;;;;;;;;;;78,6;;1,55;31,3;;17,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;31,3;78,6;;;;;;;;0;0;5;Inter Miami II;5;DC;1,0
2689967653;6;1;1;0;7;2nnef9tr9g7m2s6n873qif95g;1;30,6;79,5;2024-05-19T23:18:29.069Z;2024-05-19T23:58:31Z;[{'id': 5043918969, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043918977, 'qualifierId': 213, 'value': '3.93'}, {'id': 5043918975, 'qualifierId': 212, 'value': '25.8'}, {'id': 5043918973, 'qualifierId': 141, 'value': '52.7'}, {'id': 5043918971, 'qualifierId': 140, 'value': '13.2'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;cw2m60tca4b8gxp2sr2r0lwyc;Pass;;;;;;;;;;52,7;;3,93;13,2;;25,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;13,2;52,7;;;;;;;;0;0;7;Inter Miami II;7;DC;1,0
2689967673;7;1;1;0;14;2nnef9tr9g7m2s6n873qif95g;0;12,8;50,3;2024-05-19T23:18:35.909Z;2024-05-19T23:18:39Z;[{'id': 5043919059, 'qualifierId': 140, 'value': '35.5'}, {'id': 5043919061, 'qualifierId': 141, 'value': '95.4'}, {'id': 5043919057, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043919055, 'qualifierId': 155}, {'id': 5043919065, 'qualifierId': 212, 'value': '38.8'}, {'id': 5043919067, 'qualifierId': 213, 'value': '0.91'}, {'id': 5043919069, 'qualifierId': 1}];9i2pmc50q29y560ojvik3sdg4;A. Sutton;;;cw2m60tca4b8gxp2sr2r0lwyc;Pass;;;;;;;;;;95,4;;0,91;35,5;;38,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;35,5;95,4;;;;;;;;0;0;14;Inter Miami II;14;GK;1,0
2689967671;3;44;1;0;15;c7c4wwva2u1vb3rr7rwava044;1;65,2;6,6;2024-05-19T23:18:37.033Z;2024-05-19T23:18:40Z;[{'id': 5043919051, 'qualifierId': 286}, {'id': 5043919159, 'qualifierId': 233, 'value': '8'}, {'id': 5043919049, 'qualifierId': 56, 'value': 'Right'}];4kng7wg83mastngy9hw7j6v6y;N. Sessock;;;cw2m60tca4b8gxp2sr2r0lwyc;Aerial;;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;15;Carolina Core;15;DR;1,0
