field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;ab8jzmb5h0lh7mt66h3zgm5ex;1;31;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;GK;B. Scott;;;;;;
2;70e7dozhms3xdkr0n6kas00es;2;75;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;DR;H. Miller;;;;ct1a7ex39pnemouuv4klyj85w;79,0;2,0
2;4blue6g56i3t9iffjcmjs6hhw;3;50;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;DC;R. Dalgado;;;;;;
3;1o0ew8fp44fuo3o7c8ef8pd2i;4;21;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;MC;T. Lepley;;;;58akq0ojntf5n123msb1tzeok;91,0;2,0
2;2vq2t4ttpcwey95jzofd60qy2;5;47;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;DL;C. Klein;;;;;;
2;e23yyl43xtcve09dx234uuj8;6;51;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;DC;A. Essengue;;;;;;
3;2io6rajwkftjli8i14hf606ei;7;71;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;AMR;E. Hernandez;;;;byzzgz3ix7vuh6c3hqf7580lw;79,0;2,0
3;c44bkncqmptribnxki1dyppbe;8;52;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;MC;I. Parente;;;;;;
4;5zawuirp825t4brhaj90k9duy;9;61;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;FW;S. Karani;;;;1kl9112b8rcbr3k1s5hs353x0;61,0;2,0
3;4o8ulvahxfb06x5xhvflvwhzo;10;84;8;8ijkk62897so5r3bq0wgwx4bu;cxxvowzwtg4btdpurx5h9ot1w;home;1;AMC;R. Ramos;;;;4283da2hccprbybkv4nvmos2c;91,0;2,0
