field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;37vbc16ejxmfkssydcdxq69zo;1;55;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;GK;N. Bishop;;;;;;
2;7h6a0x05z2laewfq7spicxwd0;2;71;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;DR;N. McGuire;;;;2dqtrnq0k1fphyw71yh41gvtg;60,0;2,0
2;7zkzjmk1go1u2vi5qkqlmezu;3;99;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;DC;J. Reid;;;;;;
3;3dyn7hheqvs3gm3m84jrra9lg;4;49;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;MC;S. Antwi;;;;;;
2;910fd7rfysvvfzp2s1ywna5pm;5;40;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;DL;M. Wentzel;;;;;;
2;bbnk87q7t8pahznohwjjcvu5m;6;72;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;DC;E. Kinzner;;;;9ulwk81vyj5rbz88h62i2ejv8;68,0;2,0
3;632mpv8dpnxjm69f8ip1e4l5g;7;64;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;MR;D. Armstrong;;;;5jigl7kp5d2i5ws1602jm7n1m;45,0;2,0
3;276kl5oc1k19y1linbxml0xec;8;42;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;MC;Ó. Benítez;;;;4eh46qse8ocmutobremniuolw;60,0;2,0
4;f2nvagw4mjjpn1ytj6rdl5ene;9;80;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;FW;B. McSorley;;;;9gswafduy82n4o6f0uk0khhck;60,0;2,0
4;92oqt9q51us5rpmqmvvrdso6i;10;56;6;dqx48fglv1l96cyrmjdod0xec;cyqa6n2yrvy3gwvoc1xj1q7mc;away;1;AMC;R. Becher;;;;;;
