field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;dt797hve9mdpnuyy1z4pnpp1w;1;40;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;GK;A. De Rosario;;;;;;
3;7z57s6veqr3k87quyd6i7fgx6;2;72;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;DMR;M. Fisher;;;;;;
3;7w2rw1jd8ouhu8bbvswvysu8k;3;73;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;DML;J. Batiz;;;;;;
2;e7tp50kohe1u9hts0geeh3578;4;76;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;DC;L. Stefanovic;;;;;;
2;8pvvljn4uasfjxdleh56pm38;5;51;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;DC;A. Pearlman;;;;;;
2;d8u6lnk9lmbrgv9obcshpec8a;6;85;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;DC;M. Stojadinovic;;;;u5v1owoegnvaqvk214qlvh90;68,0;2,0
3;e8i5fg3tp35k8iys32eiv7jmc;7;89;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;MC;C. Staniland;;;;7q8y6gbmg9j75zgm3nhs3bfh0;68,0;2,0
3;3wn0nn5q8g2mjzuc8yb4dvu2;8;71;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;MC;M. Cimermancic;;;;;;
4;d5del7kcf1zgkd2uvhius8y22;9;38;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;FW;C. Sharp;;;;;;
4;6xu5v7x5zge1k83w40mmbxyzu;10;81;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;FWR;H. Ayari;;;;5l9js12tsf18c7st0oac3swes;45,0;2,0
4;c760g3hvhvi7nra7gpdrynn1m;11;82;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;FWL;J. Altobelli;;;;5qfwg7j8xrfv19ouu4gvrs00k;83,0;2,0
5;9n4pw401dtt30wlnwrxvads7o;0;80;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;;;;;;;
5;7q8y6gbmg9j75zgm3nhs3bfh0;0;68;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;L. Olguin;e8i5fg3tp35k8iys32eiv7jmc;68,0;2,0;;;
5;2figny7hhxiw29vizhlyta3o4;0;58;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;;;;;;;
5;bje8wvncnbbx5w0l08uno88ru;0;70;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;;;;;;;
5;51mr4jcfm42888lds1temurro;0;84;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;;;;;;;
5;5l9js12tsf18c7st0oac3swes;0;92;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;T. Rigopoulos;6xu5v7x5zge1k83w40mmbxyzu;45,0;2,0;;;
5;5qfwg7j8xrfv19ouu4gvrs00k;0;95;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;N. Edwards;c760g3hvhvi7nra7gpdrynn1m;83,0;2,0;;;
5;u5v1owoegnvaqvk214qlvh90;0;97;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;T. Pusztahegyi;d8u6lnk9lmbrgv9obcshpec8a;68,0;2,0;;;
5;5bqykg2h7so4c20htynfp242c;0;98;13;29nx7yxy1rdqv2oobqn5pjf8p;cz3q3oax9gbetgzjrrqr6d3pw;home;1;Sub;;;;;;;
1;9i2pmc50q29y560ojvik3sdg4;1;98;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;GK;A. Sutton;;;;;;
3;11ppoeb5n4q657bwbg4cdxck;2;18;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;DMR;J. White;;;;9isbk9daqxgtj196349irnkk;83,0;2,0
3;3acyax22zfwdjw0cpgg4x7dre;3;14;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;DML;J. Juarez;;;;;;
2;w92nbx3n5ztvgmf89sdp95re;4;5;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;DC;A. Aguas;;;;;;
2;f0jwa1a61lxs31g47csjv7itw;5;20;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;DC;I. Covi;;;;;;
2;7s32iecltoopsjddclg0ixzx0;6;44;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;DC;C. Díaz;;;;;;
3;3jx1f1s8r150i6qo2juzooro4;7;24;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;MC;F. Canete;;;;;;
3;1j1ybmazykfh5nqs7egkcdxck;8;21;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;MC;D. Cuevas;;;;;;
4;1nnd0b4qwlni7tqot2n2st4yy;9;52;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;FW;O. Cisneros;;;;ew25ktcp76pmryz5psl1ctlka;45,0;2,0
4;8p0k65b4c26ssfk0zh43lme7e;10;15;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;FW;D. Polanco;;;;;;
3;6oia90bi52zwmgdlvcvfnj1pm;11;10;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;AMC;J. Evans;;;;;;
5;ew25ktcp76pmryz5psl1ctlka;0;7;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;Sub;Y. Subah;1nnd0b4qwlni7tqot2n2st4yy;45,0;2,0;;;
5;1x89wne2srx1dupb7vt5gf3ai;0;23;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;Sub;;;;;;;
5;4n2c7qt6r6qqhzjs64nvytqs;0;25;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;Sub;;;;;;;
5;1irhjiafn9ushepjvevbkn6ui;0;28;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;Sub;;;;;;;
5;6le9ztbx7n6ogg6fdxmnrk9w4;0;31;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;Sub;;;;;;;
5;9isbk9daqxgtj196349irnkk;0;77;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;Sub;J. Bazaes;11ppoeb5n4q657bwbg4cdxck;83,0;2,0;;;
5;6qu8uu28fk2dbbeymuu6yii38;0;99;12;2nnef9tr9g7m2s6n873qif95g;cz3q3oax9gbetgzjrrqr6d3pw;away;1;Sub;;;;;;;
